date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,21116,14006,25302,29085,13827,17154,7110,-3783,-3327
2006-01-10,26703,4969,12877,39564,15752,10799,21734,-26687,4953
2006-01-17,27102,4393,12878,45695,21545,11437,22709,-32817,10108
2006-01-24,29898,10522,13517,42780,20563,10676,19376,-29263,9887
2006-01-31,38523,9265,12794,54552,22496,9996,29258,-41758,12500
2006-02-07,31309,10528,19114,44065,18102,13932,20781,-24951,4170
2006-02-14,22669,14618,25417,33199,14844,15113,8051,-7782,-269
2006-02-21,19649,15648,26327,31353,16997,15972,4001,-5026,1025
2006-02-28,16175,14800,26143,29205,15786,14099,1375,-3062,1687
2006-03-07,16803,19699,36511,32067,13815,15363,-2896,4444,-1548
2006-03-14,16571,14937,15857,12127,10666,16030,1634,3730,-5364
2006-03-21,19065,30392,28478,9527,13515,21139,-11327,18951,-7624
2006-03-28,18522,31854,36285,14187,13961,22727,-13332,22098,-8766
2006-04-04,21629,27479,30227,16853,13266,20790,-5850,13374,-7524
2006-04-11,23254,16317,19038,22291,12324,16008,6937,-3253,-3684
2006-04-18,20597,9436,17592,27800,13785,14738,11161,-10208,-953
2006-04-25,23684,15927,13441,24437,15391,12152,7757,-10996,3239
2006-05-02,27297,5524,12098,45089,18466,7248,21773,-32991,11218
2006-05-09,34685,5831,15610,60601,24365,8228,28854,-44991,16137
2006-05-16,36522,5937,17242,66322,25067,6572,30585,-49080,18495
2006-05-23,28453,12143,28741,61558,24378,7871,16310,-32817,16507
2006-05-30,33720,6932,18797,61867,23879,7597,26788,-43070,16282
2006-06-06,24106,10188,24680,53267,24165,9496,13918,-28587,14669
2006-06-13,23302,11350,37012,61109,20648,8503,11952,-24097,12145
2006-06-20,11753,14165,10406,15936,15470,7528,-2412,-5530,7942
2006-06-27,14220,11514,10614,21734,17180,8766,2706,-11120,8414
2006-07-03,17141,12080,11331,24672,17143,8863,5061,-13341,8280
2006-07-11,21901,4965,10403,36251,19062,10150,16936,-25848,8912
2006-07-18,30614,2399,4185,44690,19850,7560,28215,-40505,12290
2006-07-25,37046,3654,3560,50202,21733,8483,33392,-46642,13250
2006-08-01,40195,2082,3493,57753,24243,8096,38113,-54260,16147
2006-08-08,36364,3307,4646,53975,24343,8071,33057,-49329,16272
2006-08-15,42751,3659,4684,62087,25458,7147,39092,-57403,18311
2006-08-22,31584,1509,6071,53113,24476,7509,30075,-47042,16967
2006-08-29,34383,1142,4827,55290,24138,6916,33241,-50463,17222
2006-09-05,49725,1779,4187,71468,27460,8125,47946,-67281,19335
2006-09-12,25739,1205,19295,55186,22378,11021,24534,-35891,11357
2006-09-19,39055,5423,2905,48997,19992,7532,33632,-46092,12460
2006-09-26,34442,4353,3532,44390,19363,8594,30089,-40858,10769
2006-10-03,31493,9912,7190,37403,17609,8977,21581,-30213,8632
2006-10-10,43831,8581,3157,47002,18433,9838,35250,-43845,8595
2006-10-17,49027,9338,4191,56534,20807,8153,39689,-52343,12654
2006-10-24,61738,5314,2506,72762,23258,9426,56424,-70256,13832
2006-10-31,78430,7077,2322,89841,26642,10476,71353,-87519,16166
2006-11-07,94014,8399,832,105593,28645,9499,85615,-104761,19146
2006-11-14,71619,6669,3090,89581,30520,8979,64950,-86491,21541
2006-11-21,75236,7775,2370,90452,30647,10026,67461,-88082,20621
2006-11-28,90263,10505,1602,103506,31223,9077,79758,-101904,22146
2006-12-05,88467,13156,6613,108357,33691,7258,75311,-101744,26433
2006-12-12,92025,11111,40752,145481,33542,9727,80914,-104729,23815
2006-12-19,95543,6643,3877,117463,30376,5690,88900,-113586,24686
2006-12-26,92051,7016,7440,115522,29241,6194,85035,-108082,23047
2007-01-03,97410,8587,5058,115664,29757,7974,88823,-110606,21783
2007-01-09,61978,12100,26843,94404,26676,8993,49878,-67561,17683
2007-01-16,73505,6749,17498,103896,30610,10968,66756,-86398,19642
2007-01-23,86840,9592,11257,108961,29469,9013,77248,-97704,20456
2007-01-30,70120,5915,18993,98520,26464,11142,64205,-79527,15322
