contract,label,sector,method,method_name,direction,n_signals,win_rate,avg_return,avg_loss,avg_weeks,reward_risk,horizon
sp500,S&P 500 E-mini,Equities,A,Current,long,35,0.6571428571428571,0.015940555620514874,-0.04349854889195561,,,3m
sp500,S&P 500 E-mini,Equities,A,Current,short,29,0.3793103448275862,-0.016244499230436228,-0.05879852864194579,,,3m
sp500,S&P 500 E-mini,Equities,B,Hybrid,long,29,0.6896551724137931,0.009115516818013744,-0.02639261591245006,3.827586206896551,0.9508029302576598,
sp500,S&P 500 E-mini,Equities,B,Hybrid,short,34,0.23529411764705882,-0.016236718585845366,-0.02664302147607409,5.710084033613446,0.659976415332192,
sp500,S&P 500 E-mini,Equities,C,Shapiro,long,23,0.5652173913043478,0.0065414799391403135,-0.024094110701557946,3.8633540372670803,1.2495717010039646,
sp500,S&P 500 E-mini,Equities,C,Shapiro,short,18,0.2777777777777778,-0.014131509918154496,-0.03353470233004071,6.23015873015873,1.0829614646740648,
nasdaq,Nasdaq 100,Equities,A,Current,long,34,0.5294117647058824,0.011722608726132717,-0.03465506007092097,,,3m
nasdaq,Nasdaq 100,Equities,A,Current,short,27,0.18518518518518517,-0.06025089716949516,-0.08346700446076512,,,3m
nasdaq,Nasdaq 100,Equities,B,Hybrid,long,27,0.9259259259259259,0.06479820824312567,-0.010528098596787216,9.174603174603176,6.727170356471741,
nasdaq,Nasdaq 100,Equities,B,Hybrid,short,30,0.26666666666666666,-0.01406813775122148,-0.029254738680760613,4.133333333333334,0.9466847442129013,
nasdaq,Nasdaq 100,Equities,C,Shapiro,long,17,1.0,0.0745591873393503,0.0,9.30252100840336,,
nasdaq,Nasdaq 100,Equities,C,Shapiro,short,20,0.35,-0.012858499305043587,-0.03292724601413122,4.821428571428571,0.7413930180213354,
dow,Dow Jones,Equities,A,Current,long,41,0.6585365853658537,0.01264687686578109,-0.03914969756996029,,,3m
dow,Dow Jones,Equities,A,Current,short,24,0.08333333333333333,-0.05258390643506449,-0.06312575798933545,,,3m
dow,Dow Jones,Equities,B,Hybrid,long,24,0.8333333333333334,0.054203570517293735,-0.009124418269479295,7.130952380952382,7.328595237498289,
dow,Dow Jones,Equities,B,Hybrid,short,41,0.4878048780487805,-0.00011918372921151063,-0.02505734141318936,5.320557491289199,1.0402492989637364,
