date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2018-04-10,1077,1315,0,0,599,361,-238,0,238
2018-04-17,1305,1645,0,0,682,342,-340,0,340
2018-04-24,1497,2018,0,0,829,308,-521,0,521
2018-05-01,1375,1631,0,0,589,333,-256,0,256
2018-05-08,1675,2075,0,0,790,390,-400,0,400
2018-05-15,1675,2052,0,0,804,427,-377,0,377
2018-05-22,1785,2228,0,0,849,406,-443,0,443
2018-05-29,1696,2253,0,0,960,403,-557,0,557
2018-06-05,1713,2179,0,0,816,350,-466,0,466
2018-06-12,1805,2182,0,0,819,442,-377,0,377
2018-06-19,1718,2063,0,0,804,459,-345,0,345
2018-06-26,1708,2131,0,0,839,416,-423,0,423
2018-07-03,1680,2089,0,0,786,377,-409,0,409
2018-07-10,1808,2139,0,0,701,370,-331,0,331
2018-07-17,1987,2334,0,77,784,360,-347,-77,424
2018-07-24,2295,2792,0,77,931,357,-497,-77,574
2018-07-31,1981,2433,0,85,815,278,-452,-85,537
2018-08-07,1616,1982,0,85,800,349,-366,-85,451
2018-08-14,2203,2425,0,77,705,406,-222,-77,299
2018-08-21,2189,2454,0,90,711,356,-265,-90,355
2018-08-28,1915,2354,0,90,859,330,-439,-90,529
2018-09-04,1862,2184,0,145,820,353,-322,-145,467
2018-09-11,1746,2105,0,143,743,241,-359,-143,502
2018-09-18,1656,2037,0,139,858,338,-381,-139,520
2018-09-25,1625,1952,0,139,789,323,-327,-139,466
2018-10-02,1590,1918,0,155,741,258,-328,-155,483
2018-10-09,2038,2289,0,170,786,365,-251,-170,421
2018-10-16,1962,2190,0,170,704,306,-228,-170,398
2018-10-23,1870,1997,0,171,665,367,-127,-171,298
2018-10-30,1973,2033,0,167,553,326,-60,-167,227
2018-11-06,2248,2458,0,167,665,288,-210,-167,377
2018-11-13,2892,3055,0,167,637,307,-163,-167,330
2018-11-20,2467,2576,0,174,663,380,-109,-174,283
2018-11-27,2677,2750,0,251,734,410,-73,-251,324
2018-12-04,2638,2752,0,153,585,318,-114,-153,267
2018-12-11,3091,3331,4,173,751,342,-240,-169,409
2018-12-18,3407,3759,0,169,800,279,-352,-169,521
