date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,79794,89136,380663,350970,131647,151998,-9342,29693,-20351
2006-01-10,60699,98633,389000,318465,128570,161171,-37934,70535,-32601
2006-01-17,77732,97252,382381,355323,146774,154312,-19520,27058,-7538
2006-01-24,81604,93406,390729,365572,134645,148000,-11802,25157,-13355
2006-01-31,71325,100476,402062,327030,123136,169017,-29151,75032,-45881
2006-02-07,119955,94222,405276,350559,121127,201577,25733,54717,-80450
2006-02-14,126801,117379,413261,357891,125825,190617,9422,55370,-64792
2006-02-21,124162,103454,397834,362150,128864,185256,20708,35684,-56392
2006-02-28,94270,91284,393067,356834,142393,181612,2986,36233,-39219
2006-03-07,46217,90458,437198,320797,124277,196437,-44241,116401,-72160
2006-03-14,40887,98653,419329,296228,110636,175971,-57766,123101,-65335
2006-03-21,51276,111242,443589,295091,101263,189795,-59966,148498,-88532
2006-03-28,57095,133783,440366,288202,103116,178592,-76688,152164,-75476
2006-04-04,75987,164444,454969,303782,116474,179204,-88457,151187,-62730
2006-04-11,78209,192594,488774,311263,119254,182380,-114385,177511,-63126
2006-04-18,81622,209973,513496,308448,123617,200314,-128351,205048,-76697
2006-04-25,98653,252622,573028,326378,122694,215375,-153969,246650,-92681
2006-05-02,99924,278424,607526,342225,116593,203394,-178500,265301,-86801
2006-05-09,107106,274987,582668,338968,130210,206029,-167881,243700,-75819
2006-05-16,107868,273277,608715,354250,126137,215193,-165409,254465,-89056
2006-05-23,111914,227728,574786,392878,137501,203595,-115814,181908,-66094
2006-05-30,81111,205759,531600,343040,140680,204592,-124648,188560,-63912
2006-06-06,104827,198863,487102,359816,140196,173446,-94036,127286,-33250
2006-06-13,128124,192076,478908,379243,135166,170879,-63952,99665,-35713
2006-06-20,111183,202823,509147,337095,115810,196222,-91640,172052,-80412
2006-06-27,104921,222719,531191,342042,119609,190960,-117798,189149,-71351
2006-07-03,99814,190922,520560,359145,114551,184858,-91108,161415,-70307
2006-07-11,86138,176395,527745,393480,128356,172364,-90257,134265,-44008
2006-07-18,95360,184271,529589,377296,114118,177500,-88911,152293,-63382
2006-07-25,120458,156858,510265,426402,121557,169020,-36400,83863,-47463
2006-08-01,121663,172878,509522,414475,126951,170783,-51215,95047,-43832
2006-08-08,116822,191310,524908,422635,139041,166826,-74488,102273,-27785
2006-08-15,98393,191402,527122,429780,155872,160205,-93009,97342,-4333
2006-08-22,120506,200810,521839,417877,152016,175674,-80304,103962,-23658
2006-08-29,143719,202350,487420,400025,163912,192676,-58631,87395,-28764
2006-09-05,146306,202111,460260,385136,160581,179900,-55805,75124,-19319
2006-09-12,147407,196197,433297,375399,160208,169316,-48790,57898,-9108
2006-09-19,140083,188411,424506,375169,167950,168959,-48328,49337,-1009
2006-09-26,160374,201527,439404,386986,162740,174005,-41153,52418,-11265
2006-10-03,162157,204958,440079,402963,168951,163266,-42801,37116,5685
2006-10-10,135106,174644,437912,394123,156320,160571,-39538,43789,-4251
2006-10-17,126012,170343,453905,387836,135952,157690,-44331,66069,-21738
2006-10-24,101604,169487,474346,374492,133696,165667,-67883,99854,-31971
2006-10-31,117406,177189,485775,398176,148576,176392,-59783,87599,-27816
2006-11-07,123119,199841,481151,404398,157135,157166,-76722,76753,-31
2006-11-14,133589,203154,487289,428215,169300,158809,-69565,59074,10491
2006-11-21,127238,215057,504495,407579,117689,126786,-87819,96916,-9097
2006-11-28,123648,173745,537480,508493,189257,168147,-50097,28987,21110
2006-12-05,143583,192404,502899,464772,174622,163928,-48821,38127,10694
2006-12-12,147850,190332,496728,455783,172626,171089,-42482,40945,1537
2006-12-19,116869,185449,514925,436752,147363,156956,-68580,78173,-9593
2006-12-26,111078,179878,510397,427771,131081,144907,-68800,82626,-13826
2007-01-03,106859,176921,531238,426576,124130,158730,-70062,104662,-34600
2007-01-09,117737,170404,526900,436211,127556,165578,-52667,90689,-38022
2007-01-16,125473,192468,548129,430233,111789,162690,-66995,117896,-50901
2007-01-23,139979,209262,565935,436434,118873,179091,-69283,129501,-60218
2007-01-30,142069,209288,608329,484400,126371,183081,-67219,123929,-56710
2007-02-06,130727,203984,614361,482315,128935,187724,-73257,132046,-58789
2007-02-13,125595,196879,612314,486785,125047,179292,-71284,125529,-54245
2007-02-20,124869,184472,600294,508646,131608,163653,-59603,91648,-32045
2007-02-27,112018,199517,623683,506374,168646,198456,-87499,117309,-29810
2007-03-06,115714,227017,602141,478253,148973,161558,-111303,123888,-12585
2007-03-13,128581,223531,566564,463594,151935,159955,-94950,102970,-8020
2007-03-20,121999,221298,573551,465532,137968,146688,-99299,108019,-8720
2007-03-27,91326,198424,591881,444842,126640,166581,-107098,147039,-39941
2007-04-03,103770,192420,599120,466133,124071,168408,-88650,132987,-44337
2007-04-10,152013,205307,606961,480733,111796,184730,-53294,126228,-72934
2007-04-17,119629,231185,642638,463771,116212,183523,-111556,178867,-67311
2007-04-24,122463,191048,595348,486028,135986,176721,-68585,109320,-40735
2007-05-01,115259,216548,632175,483400,133459,180945,-101289,148775,-47486
2007-05-08,138571,210622,604522,493888,131033,169616,-72051,110634,-38583
2007-05-15,127802,221325,643686,503081,136056,183138,-93523,140605,-47082
2007-05-22,132633,236606,714901,546796,128055,192187,-103973,168105,-64132
2007-05-29,123237,241325,723140,523513,155410,236949,-118088,199627,-81539
2007-06-05,117718,257541,654154,456261,139463,197533,-139823,197893,-58070
2007-06-12,149778,266657,662570,496342,148102,197451,-116879,166228,-49349
2007-06-19,157107,273923,702193,534374,139582,190585,-116816,167819,-51003
2007-06-26,148864,269050,711256,532893,129490,187667,-120186,178363,-58177
2007-07-03,146913,255475,727067,533703,110804,195606,-108562,193364,-84802
2007-07-10,118694,242866,730660,548808,136015,193695,-124172,181852,-57680
2007-07-17,114083,237881,728462,545829,129941,188776,-123798,182633,-58835
2007-07-24,130986,251160,723398,565556,122806,160474,-120174,157842,-37668
2007-07-31,133332,231239,733182,595787,140235,179723,-97907,137395,-39488
2007-08-07,146703,245478,728399,592095,133257,170786,-98775,136304,-37529
2007-08-14,126857,261003,731357,586507,138698,149402,-134146,144850,-10704
2007-08-21,144855,233189,700453,597650,137764,152233,-88334,102803,-14469
2007-08-28,156005,180766,698595,646479,142529,169884,-24761,52116,-27355
2007-09-04,151846,195279,642897,577412,149552,171604,-43433,65485,-22052
2007-09-11,158490,188041,639439,588372,143292,164808,-29551,51067,-21516
2007-09-18,129868,176633,621300,568232,148529,154832,-46765,53068,-6303
2007-09-25,102689,157124,632548,548615,140789,170287,-54435,83933,-29498
2007-10-02,110988,177724,667850,580986,142511,162639,-66736,86864,-20128
2007-10-09,112563,172922,670103,578745,139504,170503,-60359,91358,-30999
2007-10-16,120781,170104,676517,602989,136501,160706,-49323,73528,-24205
2007-10-23,142280,163902,657675,629839,149220,155434,-21622,27836,-6214
2007-10-30,180185,181858,642160,630588,152001,161900,-1673,11572,-9899
2007-11-06,203795,174477,624574,646254,162576,170214,29318,-21680,-7638
2007-11-13,191318,187430,657349,653671,164852,172418,3888,3678,-7566
