date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,45749,9062,24990,81233,33935,14379,36687,-56243,19556
2006-01-10,32628,9311,27623,75711,37378,12607,23317,-48088,24771
2006-01-17,39506,12573,27012,76863,34719,11801,26933,-49851,22918
2006-01-24,35048,7915,28685,76880,37387,16325,27133,-48195,21062
2006-01-31,50705,13221,27053,85577,37995,16955,37484,-58524,21040
2006-02-07,56298,11453,24823,93013,39030,15685,44845,-68190,23345
2006-02-14,52220,11756,27397,89061,37118,15918,40464,-61664,21200
2006-02-21,46710,11513,29696,87592,37758,15059,35197,-57896,22699
2006-02-28,54931,14297,27081,89171,41363,19907,40634,-62090,21456
2006-03-07,55226,13903,40234,105162,40005,16400,41323,-64928,23605
2006-03-14,33979,19958,50076,89290,38520,13327,14021,-39214,25193
2006-03-21,18295,22037,32225,46797,33273,14959,-3742,-14572,18314
2006-03-28,13274,21085,37502,48602,35148,16237,-7811,-11100,18911
2006-04-04,12081,16227,37058,50463,33673,16122,-4146,-13405,17551
2006-04-11,24639,10697,29815,58926,31705,16536,13942,-29111,15169
2006-04-18,23225,16307,36184,59243,32294,16153,6918,-23059,16141
2006-04-25,31949,16326,31603,67108,34790,14908,15623,-35505,19882
2006-05-02,48997,16845,29719,79539,30021,12353,32152,-49820,17668
2006-05-09,52111,23238,29342,77518,38305,19002,28873,-48176,19303
2006-05-16,46060,26532,32921,72276,37554,17727,19528,-39355,19827
2006-05-23,36980,21278,36757,71810,36056,16705,15702,-35053,19351
2006-05-30,45937,14230,25988,74774,34415,17336,31707,-48786,17079
2006-06-06,44443,21581,34859,76060,36920,18581,22862,-41201,18339
2006-06-13,46579,13228,44715,95815,36201,18452,33351,-51100,17749
2006-06-20,37024,13046,51442,92859,33343,15904,23978,-41417,17439
2006-06-27,38165,7856,15974,65982,34569,14870,30309,-50008,19699
2006-07-03,42762,6315,14847,71446,35149,14997,36447,-56599,20152
2006-07-11,29942,18321,24501,55460,37007,17669,11621,-30959,19338
2006-07-18,23302,14018,24893,48876,33659,18960,9284,-23983,14699
2006-07-25,23613,29032,31421,41951,35272,19323,-5419,-10530,15949
2006-08-01,18809,26225,31501,40698,34603,17990,-7416,-9197,16613
2006-08-08,23185,13355,21619,51755,36571,16265,9830,-30136,20306
2006-08-15,27206,18609,24981,47565,33493,19506,8597,-22584,13987
2006-08-22,27805,12312,22640,53596,34519,19056,15493,-30956,15463
2006-08-29,45977,15372,23495,69190,34304,19214,30605,-45695,15090
2006-09-05,49440,21974,25144,68572,34309,18347,27466,-43428,15962
2006-09-12,37739,22957,62313,92568,35912,20439,14782,-30255,15473
2006-09-19,41043,40188,68379,75332,27666,21568,855,-6953,6098
2006-09-26,38542,32032,25052,39995,29441,21008,6510,-14943,8433
2006-10-03,45535,36256,24368,43043,28894,19498,9279,-18675,9396
2006-10-10,34272,32413,26819,37285,28752,20145,1859,-10466,8607
2006-10-17,26833,51331,53383,32888,28564,24561,-24498,20495,4003
2006-10-24,24985,39218,45246,37415,28879,22477,-14233,7831,6402
2006-10-31,23818,47496,50020,33744,29081,21679,-23678,16276,7402
2006-11-07,24999,45341,48484,36062,28836,20916,-20342,12422,7920
2006-11-14,25902,73277,70328,32426,31907,22434,-47375,37902,9473
2006-11-21,23236,82129,81123,29095,32076,25211,-58893,52028,6865
2006-11-28,26934,67216,69001,30727,26951,24943,-40282,38274,2008
2006-12-05,24557,71036,77624,31126,27787,27806,-46479,46498,-19
2006-12-12,26173,78181,105049,52332,28571,29280,-52008,52717,-709
2006-12-19,27186,84578,118141,64063,35658,32344,-57392,54078,3314
2006-12-26,21479,87773,89638,18964,24053,28433,-66294,70674,-4380
2007-01-03,23583,97851,96263,18737,26893,30151,-74268,77526,-3258
2007-01-09,20637,105543,105129,18080,28165,30308,-84906,87049,-2143
2007-01-16,22030,100997,99999,20027,28348,29353,-78967,79972,-1005
