date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,72727,19808,79345,97234,21971,57001,52919,-17889,-35030
2006-01-10,72990,21358,84883,98869,26351,63997,51632,-13986,-37646
2006-01-17,65410,21721,95710,100045,30686,70040,43689,-4335,-39354
2006-01-24,63541,23589,101058,101586,31279,70703,39952,-528,-39424
2006-01-31,58648,22567,102924,102344,31244,67905,36081,580,-36661
2006-02-07,50977,21318,100981,95823,30799,65616,29659,5158,-34817
2006-02-14,46180,18557,97855,93259,30345,62564,27623,4596,-32219
2006-02-21,43709,19123,99674,93121,29207,60346,24586,6553,-31139
2006-02-28,39966,22804,104875,95671,24741,51107,17162,9204,-26366
2006-03-07,40647,26069,107519,93452,24776,53421,14578,14067,-28645
2006-03-14,41577,36621,107793,85219,27812,55342,4956,22574,-27530
2006-03-21,39682,43176,111754,82454,28227,54033,-3494,29300,-25806
2006-03-28,42221,46147,112891,84981,29514,53498,-3926,27910,-23984
2006-04-04,47846,45081,114017,93842,30930,53870,2765,20175,-22940
2006-04-11,43884,46060,118269,91790,29894,54197,-2176,26479,-24303
2006-04-18,44239,48721,117274,89785,28676,51683,-4482,27489,-23007
2006-04-25,44557,49517,120495,92876,28614,51273,-4960,27619,-22659
2006-05-02,49331,48053,120644,99217,18262,40967,1278,21427,-22705
2006-05-09,53763,50700,122085,100186,31637,56599,3063,21899,-24962
2006-05-16,52161,45884,128618,108853,34320,60362,6277,19765,-26042
2006-05-23,52137,45864,131444,108834,28589,57472,6273,22610,-28883
2006-05-30,51994,42747,127849,107129,26612,56579,9247,20720,-29967
2006-06-06,54642,34827,119518,106994,23150,55489,19815,12524,-32339
2006-06-13,54531,32147,115608,104636,26549,59905,22384,10972,-33356
2006-06-20,49839,24045,113912,107576,19385,51515,25794,6336,-32130
2006-06-27,50670,21892,111104,107890,20717,52709,28778,3214,-31992
2006-07-03,55632,18230,107132,109629,19917,54822,37402,-2497,-34905
2006-07-11,53808,19399,116064,115815,21955,56613,34409,249,-34658
2006-07-18,50947,21145,111697,108425,22865,55939,29802,3272,-33074
2006-07-25,47918,21551,113161,109302,24830,55056,26367,3859,-30226
2006-08-01,45687,19139,112522,107432,25496,57134,26548,5090,-31638
2006-08-08,50521,18466,111631,112220,27114,58580,32055,-589,-31466
2006-08-15,49514,19487,96370,96495,23335,53237,30027,-125,-29902
2006-08-22,52348,23126,92758,92757,21638,50861,29222,1,-29223
2006-08-29,55012,24856,91498,89883,21044,52815,30156,1615,-31771
2006-09-05,60222,30599,92624,92169,22289,52367,29623,455,-30078
2006-09-12,60501,29941,91192,93820,25288,53220,30560,-2628,-27932
2006-09-19,52026,26267,96877,94229,24341,52748,25759,2648,-28407
2006-09-26,50129,28508,98555,93920,23502,49758,21621,4635,-26256
2006-10-03,50070,29934,100212,95046,23604,48906,20136,5166,-25302
2006-10-10,49948,27225,98262,93606,21223,48602,22723,4656,-27379
2006-10-17,46237,26439,93730,88388,24357,49497,19798,5342,-25140
2006-10-24,47219,27826,92721,84767,19632,46979,19393,7954,-27347
2006-10-31,48204,27190,92406,88206,17329,42543,21014,4200,-25214
2006-11-07,53077,27447,92167,88926,17569,46440,25630,3241,-28871
2006-11-14,52075,28065,96490,92614,21301,49187,24010,3876,-27886
2006-11-21,50841,28775,101092,94854,20955,49259,22066,6238,-28304
2006-11-28,50490,30261,102481,94654,20456,48512,20229,7827,-28056
2006-12-05,52004,29126,100841,94839,21220,50100,22878,6002,-28880
2006-12-12,54879,30048,100839,96056,22330,51944,24831,4783,-29614
2006-12-19,56250,28248,101415,98881,21450,51986,28002,2534,-30536
2006-12-26,57584,28555,101029,98609,21160,52609,29029,2420,-31449
2007-01-03,59712,25430,103169,105420,22450,54481,34282,-2251,-32031
2007-01-09,62042,27638,107842,109440,26532,59338,34404,-1598,-32806
2007-01-16,64640,30934,111312,109613,25043,60448,33706,1699,-35405
2007-01-23,64581,30378,112231,113257,23902,57079,34203,-1026,-33177
2007-01-30,63578,31319,114041,112868,23442,56874,32259,1173,-33432
