date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,15002,31513,53848,24025,8518,21830,-16511,29823,-13312
2006-01-10,24138,24378,41059,39837,13832,14814,-240,1222,-982
2006-01-17,21356,19896,46484,44430,12640,16154,1460,2054,-3514
2006-01-24,24328,19965,46191,52763,15357,13148,4363,-6572,2209
2006-01-31,26222,25239,44582,41872,13246,16939,983,2710,-3693
2006-02-07,23624,38314,60312,35349,8196,18469,-14690,24963,-10273
2006-02-14,21612,52800,77521,33516,9109,21926,-31188,44005,-12817
2006-02-21,23789,60764,78821,28237,9798,23407,-36975,50584,-13609
2006-02-28,16309,84571,107965,24547,10144,25300,-68262,83418,-15156
2006-03-07,15975,62198,102536,38689,9155,26779,-46223,63847,-17624
2006-03-14,7429,55807,78117,14175,8131,23695,-48378,63942,-15564
2006-03-21,3462,50327,70686,10420,9159,22560,-46865,60266,-13401
2006-03-28,5820,51155,72362,11321,6314,22020,-45335,61041,-15706
2006-04-04,7412,45540,62580,11064,9028,22416,-38128,51516,-13388
2006-04-11,6470,35121,61557,23376,10283,19813,-28651,38181,-9530
2006-04-18,10744,32912,55955,29450,14103,18440,-22168,26505,-4337
2006-04-25,12113,36542,56211,29554,15751,17979,-24429,26657,-2228
2006-05-02,17518,30147,56625,45190,15813,14619,-12629,11435,1194
2006-05-09,18306,29319,56191,48706,20100,16572,-11013,7485,3528
2006-05-16,23935,25516,54887,62764,21753,12295,-1581,-7877,9458
2006-05-23,30138,21756,51282,68412,20234,11486,8382,-17130,8748
2006-05-30,30264,19733,50973,70528,19535,10511,10531,-19555,9024
2006-06-06,26639,17319,60428,77026,19938,12660,9320,-16598,7278
2006-06-13,21176,24058,86167,85686,15279,12878,-2882,481,2401
2006-06-20,20297,25769,24895,19561,12389,12251,-5472,5334,138
2006-06-27,14509,30398,36665,19565,12346,13557,-15889,17100,-1211
2006-07-03,21327,25641,26070,20703,11412,12465,-4314,5367,-1053
2006-07-11,20120,27379,30495,23670,12156,11722,-7259,6825,434
2006-07-18,18116,33533,40527,18602,10969,17477,-15417,21925,-6508
2006-07-25,16611,37571,45151,17788,11762,18165,-20960,27363,-6403
2006-08-01,17487,26881,35522,21491,12096,16733,-9394,14031,-4637
2006-08-08,21484,36337,36065,22775,15094,13531,-14853,13290,1563
2006-08-15,13082,28329,40934,22521,12005,15171,-15247,18413,-3166
2006-08-22,16847,27312,38181,27544,12950,13122,-10465,10637,-172
2006-08-29,12618,25253,44256,29265,11449,13805,-12635,14991,-2356
2006-09-05,11221,30367,46601,25569,12231,14117,-19146,21032,-1886
2006-09-12,12013,45254,74761,31857,11168,20831,-33241,42904,-9663
