date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,36499,11235,53567,83707,11722,6567,25264,-30140,5155
2006-01-10,39253,10951,51346,85168,10649,4672,28302,-33822,5977
2006-01-17,38486,11440,48121,81654,11537,4973,27046,-33533,6564
2006-01-24,37329,10914,51625,82451,10590,5842,26415,-30826,4748
2006-01-31,34159,10983,52032,79958,9941,4767,23176,-27926,5174
2006-02-07,35763,13049,51806,79950,11932,6080,22714,-28144,5852
2006-02-14,34321,12487,42288,68691,8762,3988,21834,-26403,4774
2006-02-21,32702,15938,44829,65908,8947,4906,16764,-21079,4041
2006-02-28,32046,21195,47894,63225,7847,3112,10851,-15331,4735
2006-03-07,30608,24800,51873,61990,8395,3669,5808,-10117,4726
2006-03-14,30311,23739,52153,62096,8783,5189,6572,-9943,3594
2006-03-21,29793,21559,51950,63459,9163,5562,8234,-11509,3601
2006-03-28,30247,22284,49986,59819,9410,7447,7963,-9833,1963
2006-04-04,30766,23383,46464,57037,10961,7466,7383,-10573,3495
2006-04-11,30092,29745,46025,48565,9802,7272,347,-2540,2530
2006-04-18,32274,40864,48181,41073,9075,7341,-8590,7108,1734
2006-04-25,31639,39104,48399,42892,9336,7187,-7465,5507,2149
2006-05-02,32291,36407,44862,43795,9854,6461,-4116,1067,3393
2006-05-09,33907,31182,39522,46424,11136,6991,2725,-6902,4145
2006-05-16,33558,23112,38255,53011,11266,6392,10446,-14756,4874
2006-05-23,29749,21331,40598,52939,10447,5839,8418,-12341,4608
2006-05-30,28524,28762,46794,49400,9722,6271,-238,-2606,3451
2006-06-06,27487,30848,48328,46279,11437,9715,-3361,2049,1722
2006-06-13,28636,32869,47802,45159,9331,6972,-4233,2643,2359
2006-06-20,26800,28822,35318,36534,8688,4678,-2022,-1216,4010
2006-06-27,26416,26170,31864,34526,10249,6214,246,-2662,4035
2006-07-03,29747,19221,26029,41249,11813,6615,10526,-15220,5198
2006-07-11,51783,18948,23143,60737,12939,7596,32835,-37594,5343
2006-07-18,44092,19735,23192,52355,13503,6764,24357,-29163,6739
2006-07-25,31738,18117,24229,41749,11454,4864,13621,-17520,6590
2006-08-01,19027,14098,21475,28610,11473,6763,4929,-7135,4710
2006-08-08,8307,7118,15420,20276,11704,6543,1189,-4856,5161
2006-08-15,1154,112,3485,6204,9609,5729,1042,-2719,3880
2006-08-22,88,0,668,897,8795,5104,88,-229,3691
2006-08-29,23,0,329,354,10669,6604,23,-25,4065
2006-09-05,33330,25384,80056,91059,10723,7417,7946,-11003,3306
2006-09-12,32729,26197,83037,92819,11433,7979,6532,-9782,3454
2006-09-19,30332,33601,90491,89966,11477,8582,-3269,525,2895
2006-09-26,29062,24808,86659,92615,10550,8805,4254,-5956,1745
2006-10-03,30879,29834,86569,89792,13614,11286,1045,-3223,2328
2006-10-10,30975,32047,87662,89680,12324,8988,-1072,-2018,3336
2006-10-17,32965,43212,92477,87571,13732,8251,-10247,4906,5481
2006-10-24,35978,47255,91894,85407,13624,8664,-11277,6487,4960
2006-10-31,36190,39522,83579,84270,12307,8167,-3332,-691,4140
2006-11-07,35191,31911,75900,83506,11933,7485,3280,-7606,4448
2006-11-14,35782,24448,61299,74697,9575,7539,11334,-13398,2036
2006-11-21,34315,26987,65956,75882,9525,6753,7328,-9926,2772
2006-11-28,34487,30737,68129,75680,9920,6043,3750,-7551,3877
2006-12-05,38895,26377,65235,81547,10545,6766,12518,-16312,3779
2006-12-12,40564,12831,63167,95093,11334,7171,27733,-31926,4163
2006-12-19,46733,13151,61577,99675,11993,7547,33582,-38098,4446
2006-12-26,46868,13386,60840,99245,11916,6811,33482,-38405,5105
2007-01-03,49993,12523,59561,103397,13188,6447,37470,-43836,6741
2007-01-09,46868,11669,61799,102627,13750,7680,35199,-40828,6070
2007-01-16,44387,11839,59799,97797,11518,5696,32548,-37998,5822
2007-01-23,43672,14863,59036,93286,10059,4436,28809,-34250,5623
2007-01-30,43826,14628,56510,90015,9195,4725,29198,-33505,4470
2007-02-06,48172,13161,50269,90747,14691,9138,35011,-40478,5553
2007-02-13,54991,11969,46140,94301,10697,5327,43022,-48161,5370
2007-02-20,59954,14995,45388,95244,12566,7236,44959,-49856,5330
2007-02-27,58279,13083,44441,95023,13119,7181,45196,-50582,5938
2007-03-06,58684,12331,48380,99495,12487,7238,46353,-51115,5249
2007-03-13,57146,13853,48211,96910,12855,6892,43293,-48699,5963
2007-03-20,57975,14596,46936,96823,13605,6735,43379,-49887,6870
2007-03-27,64122,15870,45672,98727,12746,7280,48252,-53055,5466
2007-04-03,57820,13305,42952,92986,13142,6704,44515,-50034,6438
2007-04-10,57100,12522,40942,90687,13204,6979,44578,-49745,6225
2007-04-17,56746,12909,36484,85695,11117,4739,43837,-49211,6378
2007-04-24,50969,10911,35425,81648,10759,3612,40058,-46223,7147
2007-05-01,47714,13064,35873,76582,10851,4258,34650,-40709,6593
2007-05-08,47393,14178,35886,74516,11019,5033,33215,-38630,5986
2007-05-15,49864,14769,35784,75694,10739,5292,35095,-39910,5447
2007-05-22,50727,16308,34429,74949,11567,4899,34419,-40520,6668
2007-05-29,52387,16028,32889,75519,11548,4701,36359,-42630,6847
2007-06-05,45066,13493,35096,73279,10295,2652,31573,-38183,7643
2007-06-12,41812,14237,28106,61555,12392,5396,27575,-33449,6996
2007-06-19,44996,13335,23406,60670,10814,3860,31661,-37264,6954
2007-06-26,50042,14234,21888,64082,13125,4940,35808,-42194,8185
2007-07-03,61368,16156,19364,70812,13394,5608,45212,-51448,7786
2007-07-10,62931,15774,18081,70596,12856,5670,47157,-52515,7186
2007-07-17,61377,15759,17370,67978,13617,6931,45618,-50608,6686
2007-07-24,57579,16526,17782,64206,13479,6242,41053,-46424,7237
2007-07-31,41817,14612,18560,50186,12279,5142,27205,-31626,7137
2007-08-07,16300,10529,14509,21889,12166,6465,5771,-7380,5701
2007-08-14,2792,2074,2865,4262,11351,5249,718,-1397,6102
2007-08-21,0,258,466,127,10855,5739,-258,339,5116
2007-08-28,0,255,429,121,9272,4806,-255,308,4466
2007-09-04,37910,12868,56622,85799,9569,5459,25042,-29177,4110
2007-09-11,38384,12349,54354,85024,10112,5487,26035,-30670,4625
2007-09-18,39888,11424,53178,87177,10365,4834,28464,-33999,5531
2007-09-25,49619,9233,51092,97509,10141,4124,40386,-46417,6017
2007-10-02,55629,9341,46636,100356,11207,3857,46288,-53720,7350
2007-10-09,50036,8495,47455,95284,9939,3596,41541,-47829,6343
2007-10-16,48379,9932,49962,93446,10513,5420,38447,-43484,5093
2007-10-23,48650,11201,48573,89454,9876,6379,37449,-40881,3497
2007-10-30,50489,11829,50152,93471,9911,5265,38660,-43319,4646
2007-11-06,57473,11844,42847,92681,10338,5949,45629,-49834,4389
2007-11-13,57282,13157,43622,92439,10072,5198,44125,-48817,4874
2007-11-20,60631,14276,44751,97156,10331,4130,46355,-52405,6201
2007-11-27,60606,14772,43447,96126,11106,4018,45834,-52679,7088
2007-12-04,67754,19985,44632,99955,12579,4702,47769,-55323,7877
2007-12-11,75253,25895,47327,104565,13076,4804,49358,-57238,8272
2007-12-18,79930,27826,48262,107662,12947,5174,52104,-59400,7773
2007-12-24,83287,29506,48465,109754,12487,4952,53781,-61289,7535
2007-12-31,78888,24682,45974,107687,12699,4875,54206,-61713,7824
2008-01-08,85018,28639,45486,110737,13954,4613,56379,-65251,9341
2008-01-15,90496,29679,45814,115286,14549,5468,60817,-69472,9081
2008-01-22,79125,23855,51976,113601,17473,10736,55270,-61625,6737
2008-01-29,79960,25656,52638,113472,15386,8421,54304,-60834,6965
2008-02-05,87896,28769,50211,114830,9608,3799,59127,-64619,5809
2008-02-12,89348,31936,46739,107096,14627,11460,57412,-60357,3167
2008-02-19,88215,31152,39791,103686,13583,6300,57063,-63895,7283
2008-02-26,83667,32705,43715,102199,13472,5260,50962,-58484,8212
2008-03-04,79894,33131,45333,99555,13461,5150,46763,-54222,8311
2008-03-11,73084,30598,45661,95584,14086,6104,42486,-49923,7982
2008-03-18,62720,26784,48098,90053,13408,6691,35936,-41955,6717
2008-03-25,49688,19743,47629,83427,13392,6968,29945,-35798,6424
