date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,20329,18465,41951,48082,10439,6362,1864,-6131,4077
2006-01-10,30108,17287,40160,57766,10505,5858,12821,-17606,4647
2006-01-17,33531,16231,41877,63594,11554,7351,17300,-21717,4203
2006-01-24,36056,15270,42699,68509,11567,6846,20786,-25810,4721
2006-01-31,36495,14032,42196,70515,13605,8064,22463,-28319,5541
2006-02-07,35190,13643,42265,69488,12948,7596,21547,-27223,5352
2006-02-14,30527,12446,43716,66156,10410,6477,18081,-22440,3933
2006-02-21,23738,13146,44882,59492,10542,6954,10592,-14610,3588
2006-02-28,23232,14960,44704,56887,11361,7766,8272,-12183,3595
2006-03-07,23304,15348,45544,57018,10620,7553,7956,-11474,3067
2006-03-14,22436,16470,47786,56254,9237,7124,5966,-8468,2113
2006-03-21,23164,16556,48576,57721,9439,7545,6608,-9145,1894
2006-03-28,24520,18200,50086,58487,9925,8552,6320,-8401,1373
2006-04-04,25278,17421,47644,58953,10979,8043,7857,-11309,2936
2006-04-11,24901,18893,50270,59443,10972,8188,6008,-9173,2784
2006-04-18,24992,19280,46307,55109,11093,8412,5712,-8802,2681
2006-04-25,25650,16683,44489,58200,10904,6374,8967,-13711,4530
2006-05-02,26356,16492,41886,56412,11053,6481,9864,-14526,4572
2006-05-09,25546,17881,42290,54345,11101,6572,7665,-12055,4529
2006-05-16,25554,25448,46381,49626,11440,7973,106,-3245,3467
2006-05-23,26427,29566,47598,47403,11351,8191,-3139,195,3160
2006-05-30,26630,32990,52571,49157,11408,8109,-6360,3414,3299
2006-06-06,26121,35866,59489,52664,11347,8006,-9745,6825,3341
2006-06-13,25396,37975,63946,54781,13597,9753,-12579,9165,3844
2006-06-20,24948,39444,58003,46709,11417,7860,-14496,11294,3557
2006-06-27,26566,43636,50595,36991,11315,7588,-17070,13604,3727
2006-07-03,25502,38208,46139,38319,11669,6518,-12706,7820,5151
