date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,33082,30378,44126,48300,13356,11886,2704,-4174,1470
2006-01-10,32890,31780,41484,45538,13797,10853,1110,-4054,2944
2006-01-17,32186,29930,39656,45227,14628,11313,2256,-5571,3315
2006-01-24,33342,30596,39962,45796,15187,12099,2746,-5834,3088
2006-01-31,32581,31408,39529,45680,15671,10693,1173,-6151,4978
2006-02-07,33321,29569,40482,47378,14437,11293,3752,-6896,3144
2006-02-14,28653,28050,42499,46215,14033,10920,603,-3716,3113
2006-02-21,23242,25672,43499,44265,13814,10618,-2430,-766,3196
2006-02-28,18584,23143,44281,42203,12247,9766,-4559,2078,2481
2006-03-07,18392,21099,44178,42923,12355,10903,-2707,1255,1452
2006-03-14,20042,19331,44496,46536,12699,11370,711,-2040,1329
2006-03-21,22278,19268,44190,49810,14167,11557,3010,-5620,2610
2006-03-28,22521,20979,44304,48725,14101,11222,1542,-4421,2879
2006-04-04,23570,23958,46714,49108,13603,10821,-388,-2394,2782
2006-04-11,22134,23562,47250,50306,15095,10611,-1428,-3056,4484
2006-04-18,20225,21789,49989,53357,15679,10747,-1564,-3368,4932
2006-04-25,16532,19161,49802,51022,17668,13819,-2629,-1220,3849
2006-05-02,15054,17058,45755,47489,15176,11438,-2004,-1734,3738
2006-05-09,14392,15307,48326,51305,13678,9784,-915,-2979,3894
2006-05-16,12894,15376,49045,49662,13539,10440,-2482,-617,3099
2006-05-23,10904,17415,49802,45002,12443,10732,-6511,4800,1711
2006-05-30,10356,16728,48536,42617,11440,10987,-6372,5919,453
2006-06-06,8775,16077,48327,40942,11647,11730,-7302,7385,-83
2006-06-13,8380,14036,48871,42115,9688,10788,-5656,6756,-1100
2006-06-20,8447,11699,46803,42171,10207,11587,-3252,4632,-1380
2006-06-27,8197,11907,45691,40892,9626,10715,-3710,4799,-1089
2006-07-03,8460,10899,44973,41681,9902,10755,-2439,3292,-853
2006-07-11,10614,12828,44222,41917,10285,10376,-2214,2305,-91
2006-07-18,10848,14197,45418,40889,9799,10979,-3349,4529,-1180
2006-07-25,8471,14165,45378,38435,8907,10156,-5694,6943,-1249
2006-08-01,8643,14950,44007,37256,9600,10044,-6307,6751,-444
2006-08-08,9387,15981,45271,38274,10479,10882,-6594,6997,-403
2006-08-15,9324,17348,46678,37981,9939,10612,-8024,8697,-673
2006-08-22,8211,17929,46774,36079,9797,10774,-9718,10695,-977
2006-08-29,8156,19336,44990,33146,9440,10104,-11180,11844,-664
2006-09-05,9376,18099,44553,34451,9307,10686,-8723,10102,-1379
2006-09-12,7881,17275,45033,34870,10181,10950,-9394,10163,-769
2006-09-19,9170,20212,45531,34371,8408,8526,-11042,11160,-118
2006-09-26,10566,20167,44450,32361,8303,10791,-9601,12089,-2488
2006-10-03,10554,22847,45107,33169,8808,8453,-12293,11938,355
2006-10-10,10562,23849,43796,28785,9335,11059,-13287,15011,-1724
2006-10-17,13068,21992,42204,32753,10879,11406,-8924,9451,-527
2006-10-24,12435,22183,43102,32837,11184,11701,-9748,10265,-517
2006-10-31,11748,22691,42763,31449,11022,11393,-10943,11314,-371
2006-11-07,11443,25083,43446,29319,10465,10952,-13640,14127,-487
2006-11-14,10013,27023,45520,26348,11031,13193,-17010,19172,-2162
2006-11-21,9130,27232,47397,26453,10312,13154,-18102,20944,-2842
2006-11-28,9859,27495,45218,22879,9998,14701,-17636,22339,-4703
2006-12-05,9550,26632,44655,23437,9325,13461,-17082,21218,-4136
2006-12-12,9439,26965,44210,23227,9483,12940,-17526,20983,-3457
2006-12-19,8423,27394,46285,23433,9790,13671,-18971,22852,-3881
2006-12-26,6507,26714,46853,22568,9676,13754,-20207,24285,-4078
2007-01-03,5847,25841,48084,24189,11469,15370,-19994,23895,-3901
2007-01-09,6335,25590,49018,26028,9803,13538,-19255,22990,-3735
2007-01-16,5358,25985,48370,24442,10245,13546,-20627,23928,-3301
2007-01-23,5190,26561,48626,24991,11270,13534,-21371,23635,-2264
2007-01-30,5545,27129,48462,24932,11395,13341,-21584,23530,-1946
2007-02-06,5449,27347,49215,26048,11805,13074,-21898,23167,-1269
2007-02-13,5710,26386,48111,26416,11030,12049,-20676,21695,-1019
2007-02-20,5156,25867,49013,26974,11338,12666,-20711,22039,-1328
2007-02-27,5301,24153,45559,24756,10333,12284,-18852,20803,-1951
2007-03-06,5207,24486,44591,24607,11566,12271,-19279,19984,-705
2007-03-13,4642,22907,45244,25291,10639,12327,-18265,19953,-1688
2007-03-20,7761,22839,46270,30206,10473,11459,-15078,16064,-986
2007-03-27,8680,24470,46101,31535,12914,11690,-15790,14566,1224
2007-04-03,9927,22818,45184,32818,15100,14575,-12891,12366,525
2007-04-10,12333,22357,45191,35468,16795,16494,-10024,9723,301
2007-04-17,13787,22572,46119,36597,15536,16273,-8785,9522,-737
2007-04-24,13923,22406,46176,37255,15803,16241,-8483,8921,-438
2007-05-01,15079,23409,45582,38315,16252,15189,-8330,7267,1063
2007-05-08,15900,23965,45814,39413,14172,12508,-8065,6401,1664
2007-05-15,15317,24368,46358,38351,13521,12477,-9051,8007,1044
2007-05-22,12655,23772,47161,35982,12648,12710,-11117,11179,-62
2007-05-29,12093,23624,47238,36593,11308,10422,-11531,10645,886
2007-06-05,12740,22323,45945,37358,13838,12842,-9583,8587,996
2007-06-12,13222,22204,45830,36826,11936,11958,-8982,9004,-22
2007-06-19,13894,22256,45287,37271,11579,11233,-8362,8016,346
2007-06-26,13474,22397,46577,36741,11668,12581,-8923,9836,-913
2007-07-03,15360,23710,46637,38895,12272,11664,-8350,7742,608
2007-07-10,20648,24557,46557,43380,12895,12163,-3909,3177,732
2007-07-17,20639,24406,47405,43808,13320,13150,-3767,3597,170
2007-07-24,21993,24958,48330,45565,13903,13703,-2965,2765,200
2007-07-31,19544,24959,47701,41486,12304,13104,-5415,6215,-800
2007-08-07,18463,24017,47685,40315,12429,14245,-5554,7370,-1816
2007-08-14,13970,19908,47371,38218,9750,12965,-5938,9153,-3215
2007-08-21,12313,19380,49923,38335,8525,13046,-7067,11588,-4521
