date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,159802,137695,363849,337639,138948,208849,22107,26210,-69901
2006-01-10,161152,133213,374181,349393,138659,214942,27939,24788,-76283
2006-01-17,153517,147551,401231,352995,140088,221420,5966,48236,-81332
2006-01-24,145075,173449,416252,338853,146965,221968,-28374,77399,-75003
2006-01-31,179713,147349,395462,373146,149665,243991,32364,22316,-94326
2006-02-07,201941,156033,394930,383767,152359,262639,45908,11163,-110280
2006-02-14,202363,152032,380792,380961,160408,266405,50331,-169,-105997
2006-02-21,216649,150586,381566,399202,160219,265157,66063,-17636,-104938
2006-02-28,209439,140065,385513,405194,153249,263594,69374,-19681,-110345
2006-03-07,199893,146960,379386,389280,155224,263816,52933,-9894,-108592
2006-03-14,201753,146215,371623,377815,143673,263284,55538,-6192,-119611
2006-03-21,173474,171354,382031,349129,152180,256383,2120,32902,-104203
2006-03-28,170724,187979,385191,337705,156360,257467,-17255,47486,-101107
2006-04-04,177496,150735,371942,368879,152916,263470,26761,3063,-110554
2006-04-11,188428,153299,371964,382394,168696,280540,35129,-10430,-111844
2006-04-18,197271,152742,375140,394085,160594,278535,44529,-18945,-117941
2006-04-25,194288,156719,366808,382487,154771,273949,37569,-15679,-119178
2006-05-02,198608,163591,360176,378382,128499,244063,35017,-18206,-115564
2006-05-09,196376,184744,366848,359168,156813,269889,11632,7680,-113076
2006-05-16,196147,150845,360416,389934,176504,293521,45302,-29518,-117017
2006-05-23,199189,168216,362334,383251,166899,278003,30973,-20917,-111104
2006-05-30,195195,163741,360476,380457,162094,275608,31454,-19981,-113514
2006-06-06,183968,166485,358373,365343,174238,285354,17483,-6970,-111116
2006-06-13,169708,180916,347621,328528,180133,286585,-11208,19093,-106452
2006-06-20,139510,186967,349717,298833,172411,276775,-47457,50884,-104364
2006-06-27,112432,184788,341424,267457,170768,264192,-72356,73967,-93424
2006-07-03,110092,171187,320794,252983,168613,259934,-61095,67811,-91321
2006-07-11,105603,177699,312785,232915,160031,259096,-72096,79870,-99065
2006-07-18,95039,169209,290411,208031,162494,268930,-74170,82380,-106436
2006-07-25,98212,190083,280928,183352,167275,275910,-91871,97576,-108635
2006-08-01,79189,176539,248511,150330,172801,276299,-97350,98181,-103498
2006-08-08,62612,123837,168615,110629,170052,277184,-61225,57986,-107132
2006-08-15,57128,50743,67068,83309,162504,270477,6385,-16241,-107973
2006-08-22,49202,33666,42300,70058,163773,267472,15536,-27758,-103699
2006-08-29,20804,8572,20032,37825,159642,262593,12232,-17793,-102951
2006-09-05,231479,217950,541344,476921,158080,265533,13529,64423,-107453
2006-09-12,223739,229460,549395,468160,173395,277834,-5721,81235,-104439
2006-09-19,220321,218066,539352,466331,169687,273141,2255,73021,-103454
2006-09-26,224844,182324,544742,499672,157833,273780,42520,45070,-115947
2006-10-03,229146,169862,542352,513359,158118,276554,59284,28993,-118436
2006-10-10,231770,158668,541353,530278,160142,276290,73102,11075,-116148
2006-10-17,230198,139750,558230,560065,163639,279926,90448,-1835,-116287
2006-10-24,233747,131165,570669,582143,158791,281218,102582,-11474,-122427
2006-10-31,227502,129933,582067,589500,160216,285238,97569,-7433,-125022
2006-11-07,245032,123121,549138,598276,182272,293948,121911,-49138,-111676
2006-11-14,245031,119472,559111,615643,168616,276766,125559,-56532,-108150
2006-11-21,239670,89940,555417,625433,138949,255172,149730,-70016,-116223
2006-11-28,233070,87194,546290,629920,166577,264039,145876,-83630,-97462
2006-12-05,224876,90302,530916,603675,151991,252572,134574,-72759,-100581
2006-12-12,229442,94120,527558,596187,149620,257163,135322,-68629,-107543
2006-12-19,233367,97354,526736,590942,142463,257769,136013,-64206,-115306
2006-12-26,234768,96282,524771,591736,145057,260136,138486,-66965,-115079
2007-01-03,234612,107305,520057,583075,155893,267959,127307,-63018,-112066
2007-01-09,218550,117251,519607,551460,147397,266427,101299,-31853,-119030
2007-01-16,242549,109420,491153,568944,173870,275019,133129,-77791,-101149
2007-01-23,233186,113227,502262,586138,185182,269222,119959,-83876,-84040
2007-01-30,237026,111724,484440,576233,193790,276360,125302,-91793,-82570
2007-02-06,230011,112988,483214,566752,193460,273711,117023,-83538,-80251
2007-02-13,251668,109227,465492,571846,192429,278895,142441,-106354,-86466
2007-02-20,260737,113168,473162,585915,190591,274962,147569,-112753,-84371
2007-02-27,254348,95662,440049,566196,192738,277332,158686,-126147,-84594
2007-03-06,232318,110090,435526,532202,184257,263131,122228,-96676,-78874
2007-03-13,210517,128919,444739,505867,173756,250634,81598,-61128,-76878
2007-03-20,183742,116290,438595,487205,175401,252384,67452,-48610,-76983
