date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,21702,27646,62578,62643,15215,9309,-5944,-65,5906
2006-01-10,25685,21591,60310,69476,14744,9653,4094,-9166,5091
2006-01-17,26889,17851,61307,77254,15917,9284,9038,-15947,6633
2006-01-24,32394,16548,60472,83768,17161,9978,15846,-23296,7183
2006-01-31,30675,16872,62147,82996,20174,13301,13803,-20849,6873
2006-02-07,34906,15373,63369,90476,17437,9926,19533,-27107,7511
2006-02-14,32281,14186,70723,96295,18303,10746,18095,-25572,7557
2006-02-21,30528,15351,67494,87989,14394,9169,15177,-20495,5225
2006-02-28,24693,18411,67912,78499,14709,10443,6282,-10587,4266
2006-03-07,19573,26347,70146,66531,15359,12225,-6774,3615,3134
2006-03-14,18754,30544,69333,60308,15452,12680,-11790,9025,2772
2006-03-21,18524,37261,70876,54688,15947,13071,-18737,16188,2876
2006-03-28,18443,47749,73695,46388,16328,13674,-29306,27307,2654
2006-04-04,20211,50281,73212,45760,16668,13415,-30070,27452,3253
2006-04-11,18671,49121,72110,45089,18462,14542,-30450,27021,3920
2006-04-18,18697,48921,71783,44898,18088,13558,-30224,26885,4530
2006-04-25,16719,56017,72895,33927,16492,14321,-39298,38968,2171
2006-05-02,19319,57368,74944,37474,16110,13847,-38049,37470,2263
2006-05-09,19126,58079,75177,37831,18015,13847,-38953,37346,4168
2006-05-16,22357,58432,74553,41643,20612,14899,-36075,32910,5713
2006-05-23,20231,60922,76319,37766,19400,14195,-40691,38553,5205
2006-05-30,19966,59724,74218,36302,20499,14778,-39758,37916,5721
2006-06-06,16051,43710,60694,35218,19906,13878,-27659,25476,6028
2006-06-13,12179,25281,26918,18923,20046,13746,-13102,7995,6300
2006-06-20,2833,7859,17914,16394,17786,11909,-5026,1520,5877
2006-06-27,0,36,540,265,15322,12629,-36,275,2693
2006-07-03,39919,56779,93112,78312,16081,13529,-16860,14800,2552
2006-07-11,38391,59540,94022,74386,16343,14193,-21149,19636,2150
2006-07-18,37133,57233,93850,76385,16693,13502,-20100,17465,3191
2006-07-25,34824,51284,94748,80724,16394,13386,-16460,14024,3008
2006-08-01,34536,47484,95524,86287,16951,12754,-12948,9237,4197
2006-08-08,31846,39148,94017,92500,17274,11187,-7302,1517,6087
2006-08-15,31904,39553,95222,90472,16064,12770,-7649,4750,3294
2006-08-22,32676,40065,95667,91560,16184,12477,-7389,4107,3707
2006-08-29,32854,41415,96848,91698,16321,12531,-8561,5150,3790
2006-09-05,33430,47568,98637,87277,16687,13464,-14138,11360,3223
2006-09-12,33776,53106,100131,81898,16740,15126,-19330,18233,1614
2006-09-19,34141,56021,103208,82381,17163,15511,-21880,20827,1652
2006-09-26,34615,55098,103221,83707,16402,14768,-20483,19514,1634
2006-10-03,30351,58837,105386,78350,19011,17084,-28486,27036,1927
2006-10-10,27981,62037,105797,73628,16207,13813,-34056,32169,2394
2006-10-17,27937,61507,105382,74633,17592,14177,-33570,30749,3415
2006-10-24,27536,63541,103674,71391,19595,15172,-36005,32283,4423
2006-10-31,28532,61670,103887,74974,18905,13924,-33138,28913,4981
2006-11-07,28309,60024,100488,72376,20963,16293,-31715,28112,4670
2006-11-14,28593,70271,99135,59935,19107,15434,-41678,39200,3673
