date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,131842,146245,532650,503932,56512,70827,-14403,28718,-14315
2006-01-10,145309,146031,535003,531922,68952,71311,-722,3081,-2359
2006-01-17,148056,149732,550045,547558,67199,68010,-1676,2487,-811
2006-01-24,151138,145597,548218,554903,60684,59540,5541,-6685,1144
2006-01-31,157003,137033,577385,602159,68463,63659,19970,-24774,4804
2006-02-07,137673,138212,581157,586702,70205,64121,-539,-5545,6084
2006-02-14,129197,147698,580179,566940,65618,60356,-18501,13239,5262
2006-02-21,112024,142152,582703,549345,53299,56529,-30128,33358,-3230
2006-02-28,120612,146263,609660,574726,64271,73554,-25651,34934,-9283
2006-03-07,125295,144421,629460,604761,64908,70481,-19126,24699,-5573
2006-03-14,130086,145344,626316,607141,64609,68526,-15258,19175,-3917
2006-03-21,128840,135177,591054,568164,54807,71360,-6337,22890,-16553
2006-03-28,135158,127940,575511,572701,57165,67193,7218,2810,-10028
2006-04-04,149602,119577,571827,583515,55996,74333,30025,-11688,-18337
2006-04-11,157568,129319,575785,598821,62948,68161,28249,-23036,-5213
2006-04-18,183102,116353,557424,616604,65853,73422,66749,-59180,-7569
2006-04-25,198211,124188,547166,613121,67501,75569,74023,-65955,-8068
2006-05-02,216298,122204,566318,654404,67756,73764,94094,-88086,-6008
2006-05-09,200949,114607,572734,655010,75507,79573,86342,-82276,-4066
2006-05-16,199020,120813,549687,623409,68676,73161,78207,-73722,-4485
2006-05-23,171787,117187,541891,585459,57094,68126,54600,-43568,-11032
2006-05-30,175621,127164,556137,599026,65010,70578,48457,-42889,-5568
2006-06-06,179813,135933,575586,612987,64550,71029,43880,-37401,-6479
2006-06-13,173067,135515,597343,621997,53313,66211,37552,-24654,-12898
2006-06-20,161715,134969,563221,576325,51717,65359,26746,-13104,-13642
2006-06-27,171371,134557,559567,583683,55904,68602,36814,-24116,-12698
2006-07-03,176166,130888,563193,596678,60593,72386,45278,-33485,-11793
2006-07-11,193203,135437,578453,625400,63294,74113,57766,-46947,-10819
2006-07-18,191819,135050,596480,652937,69159,69471,56769,-56457,-312
2006-07-25,185092,124807,570447,624736,60596,66592,60285,-54289,-5996
2006-08-01,189224,123129,610969,674562,59919,62421,66095,-63593,-2502
2006-08-08,197612,127082,647964,716391,62513,64616,70530,-68427,-2103
2006-08-15,196301,112507,690208,765049,60237,69190,83794,-74841,-8953
2006-08-22,183323,114408,640982,704973,56331,61255,68915,-63991,-4924
2006-08-29,179681,118820,676822,726335,60225,71573,60861,-49513,-11348
2006-09-05,179017,131700,700190,735683,56923,68747,47317,-35493,-11824
2006-09-12,177047,140027,730801,752627,68685,83879,37020,-21826,-15194
2006-09-19,161535,139037,717492,719409,69021,89602,22498,-1917,-20581
2006-09-26,166460,152775,693367,690611,59578,76019,13685,2756,-16441
2006-10-03,159235,159104,711235,697748,63081,76699,131,13487,-13618
2006-10-10,159359,159058,720323,702636,64195,82183,301,17687,-17988
2006-10-17,152971,155667,726932,709889,67740,82087,-2696,17043,-14347
2006-10-24,159629,164654,694661,677504,65473,77605,-5025,17157,-12132
2006-10-31,162794,174105,693010,674656,78490,85533,-11311,18354,-7043
2006-11-07,171129,175923,698770,685537,70062,78501,-4794,13233,-8439
2006-11-14,165257,147904,742030,741315,62929,80997,17353,715,-18068
2006-11-21,164956,152519,690924,701626,65796,67531,12437,-10702,-1735
2006-11-28,169872,158058,700084,702698,61524,70724,11814,-2614,-9200
2006-12-05,167778,148767,719307,717578,66619,87359,19011,1729,-20740
2006-12-12,167097,154639,729439,736196,73919,79620,12458,-6757,-5701
2006-12-19,157670,138823,713041,714703,60876,78061,18847,-1662,-17185
2006-12-26,160309,140461,724075,727830,64923,81016,19848,-3755,-16093
2007-01-03,167725,165531,754040,744275,68114,80073,2194,9765,-11959
2007-01-09,164334,186692,787948,763322,75842,78110,-22358,24626,-2268
2007-01-16,176223,178255,799360,797050,75930,76208,-2032,2310,-278
2007-01-23,171292,179791,783782,774631,74828,75480,-8499,9151,-652
2007-01-30,166578,180920,818277,798053,77394,83276,-14342,20224,-5882
2007-02-06,152746,174070,822984,784268,62746,80138,-21324,38716,-17392
2007-02-13,172152,179365,846255,824808,60610,74844,-7213,21447,-14234
2007-02-20,168334,160472,791297,783167,59299,75291,7862,8130,-15992
2007-02-27,178043,152004,809294,819492,69129,84970,26039,-10198,-15841
2007-03-06,172082,135759,813652,833204,59522,76293,36323,-19552,-16771
2007-03-13,172387,135273,841942,863258,71639,87437,37114,-21316,-15798
2007-03-20,170982,126616,851705,883689,66113,78495,44366,-31984,-12382
2007-03-27,179645,139466,857149,884128,66986,80186,40179,-26979,-13200
2007-04-03,196329,129654,865686,922271,66652,76742,66675,-56585,-10090
2007-04-10,202367,127183,805157,877168,78042,81215,75184,-72011,-3173
2007-04-17,206586,125771,787440,863540,73680,78395,80815,-76100,-4715
2007-04-24,199503,135674,802849,863657,73752,76773,63829,-60808,-3021
2007-05-01,195239,129116,830557,890444,70918,77154,66123,-59887,-6236
2007-05-08,188498,132500,878277,928131,70694,76838,55998,-49854,-6144
2007-05-15,192274,147702,922957,937291,79281,109519,44572,-14334,-30238
2007-05-22,175892,122431,854885,899264,68377,77459,53461,-44379,-9082
2007-05-29,180467,145223,878166,910866,69934,72478,35244,-32700,-2544
2007-06-05,180566,125651,897214,947336,81030,85823,54915,-50122,-4793
2007-06-12,184720,120249,894844,942743,71962,88534,64471,-47899,-16572
2007-06-19,200772,133351,885045,951249,80140,81357,67421,-66204,-1217
2007-06-26,197493,130329,876792,949216,86887,81627,67164,-72424,5260
2007-07-03,228644,131271,902584,997112,76415,79260,97373,-94528,-2845
2007-07-10,250071,136758,917338,1030407,77059,77303,113313,-113069,-244
2007-07-17,248968,137421,906067,1012454,80551,85711,111547,-106387,-5160
2007-07-24,255068,144162,876777,990712,72787,69758,110906,-113935,3029
2007-07-31,266519,136904,895645,1017457,75798,83601,129615,-121812,-7803
2007-08-07,233568,124646,893870,1014069,85051,73774,108922,-120199,11277
2007-08-14,220585,154478,789913,860484,79069,74605,66107,-70571,4464
2007-08-21,206977,184170,779594,804306,65623,63718,22807,-24712,1905
2007-08-28,202843,195413,782357,789516,68585,68856,7430,-7159,-271
2007-09-04,221536,188679,796540,812988,68294,84703,32857,-16448,-16409
2007-09-11,231243,204634,804758,822797,76374,84944,26609,-18039,-8570
2007-09-18,238336,199267,777413,806861,80121,89742,39069,-29448,-9621
2007-09-25,243458,215377,716674,746503,72393,70645,28081,-29829,1748
2007-10-02,239250,197788,719520,764046,78782,75718,41462,-44526,3064
2007-10-09,247233,193863,722288,772262,80108,83504,53370,-49974,-3396
2007-10-16,251001,182401,756424,814867,84452,94609,68600,-58443,-10157
2007-10-23,243931,201489,708107,750224,73109,73434,42442,-42117,-325
2007-10-30,246342,180630,727223,787214,84225,89946,65712,-59991,-5721
2007-11-06,251944,163343,765466,832439,66365,87993,88601,-66973,-21628
2007-11-13,225232,214410,774613,781005,74675,79105,10822,-6392,-4430
2007-11-20,236026,201460,746107,759417,65873,87129,34566,-13310,-21256
2007-11-27,230982,186421,748921,788382,67756,72856,44561,-39461,-5100
2007-12-04,215237,181083,737563,769928,73753,75542,34154,-32365,-1789
2007-12-11,214193,176167,732035,761245,74166,82982,38026,-29210,-8816
2007-12-18,213103,184050,714368,737563,69530,75388,29053,-23195,-5858
2007-12-24,219382,171020,700750,746970,72115,74257,48362,-46220,-2142
2007-12-31,238970,151315,689341,775037,76820,78779,87655,-85696,-1959
2008-01-08,244299,147208,702120,804794,86797,81214,97091,-102674,5583
2008-01-15,232774,143916,735031,830952,95380,88317,88858,-95921,7063
2008-01-22,200595,168208,708730,742425,74943,73635,32387,-33695,1308
2008-01-29,211680,190335,727239,749814,69449,68219,21345,-22575,1230
2008-02-05,205649,184815,731825,750186,73544,76017,20834,-18361,-2473
2008-02-12,217510,185936,717080,745614,106307,109347,31574,-28534,-3040
2008-02-19,232424,177226,704558,753061,82716,89411,55198,-48503,-6695
2008-02-26,257989,172319,709189,788987,88150,94022,85670,-79798,-5872
2008-03-04,261451,159390,717686,823043,85549,82253,102061,-105357,3296
2008-03-11,260590,145445,740892,839961,74834,90910,115145,-99069,-16076
2008-03-18,248557,165435,726265,793243,71731,87875,83122,-66978,-16144
2008-03-25,226381,181418,700979,744207,67764,69499,44963,-43228,-1735
2008-04-01,225434,187730,705007,735800,65704,72615,37704,-30793,-6911
2008-04-08,238320,181152,702375,744416,71231,86358,57168,-42041,-15127
2008-04-15,247474,183942,722404,767014,69661,88583,63532,-44610,-18922
2008-04-22,249283,169430,664898,714650,64495,94596,79853,-49752,-30101
2008-04-29,258388,188091,665205,719520,76167,92149,70297,-54315,-15982
2008-05-06,266733,194690,685343,718277,84085,123194,72043,-32934,-39109
2008-05-13,267721,191611,730973,774688,80845,113240,76110,-43715,-32395
2008-05-20,247469,193318,665701,689065,82587,113374,54151,-23364,-30787
2008-05-27,229157,190132,667020,691347,83676,98374,39025,-24327,-14698
2008-06-03,218962,188092,681448,703698,68426,77046,30870,-22250,-8620
2008-06-10,218484,196207,734166,745132,71899,83210,22277,-10966,-11311
2008-06-17,203806,198081,686667,677778,86725,101339,5725,8889,-14614
2008-06-24,211137,190540,661176,652921,71171,100023,20597,8255,-28852
2008-07-01,221478,194966,641480,664448,80792,84336,26512,-22968,-3544
2008-07-08,216841,202695,672082,679465,67088,73851,14146,-7383,-6763
2008-07-15,210013,187631,670135,686747,94497,100267,22382,-16612,-5770
2008-07-22,198019,201659,641265,626528,55452,66549,-3640,14737,-11097
2008-07-29,201622,202282,629322,616483,61573,73752,-660,12839,-12179
2008-08-05,197332,202882,644820,629928,57331,66673,-5550,14892,-9342
2008-08-12,192081,201211,639599,620621,55364,65212,-9130,18978,-9848
2008-08-19,204335,192676,623370,625635,62563,71957,11659,-2265,-9394
2008-08-26,205459,185293,600916,612306,57871,66647,20166,-11390,-8776
2008-09-02,193540,179209,609817,612323,78864,90689,14331,-2506,-11825
2008-09-09,198328,191992,616150,613628,73507,82365,6336,2522,-8858
2008-09-16,202219,182840,618286,638509,59311,58467,19379,-20223,844
2008-09-23,204940,163212,553627,580678,57203,71880,41728,-27051,-14677
2008-09-30,192759,152666,553752,576164,47804,65485,40093,-22412,-17681
2008-10-07,165772,162082,582858,569694,46001,62855,3690,13164,-16854
2008-10-14,164118,166017,587458,569899,51929,67589,-1899,17559,-15660
2008-10-21,174773,174290,573958,563736,43016,53721,483,10222,-10705
2008-10-28,185108,193514,582536,559399,42890,57621,-8406,23137,-14731
2008-11-04,191433,201976,589839,555550,42323,66069,-10543,34289,-23746
2008-11-11,192267,245251,615996,568518,53817,48311,-52984,47478,5506
2008-11-18,184453,173468,573044,576098,64768,72699,10985,-3054,-7931
2008-11-25,179329,176539,591490,594492,59021,58809,2790,-3002,212
2008-12-02,180960,178711,598755,596533,65486,69957,2249,2222,-4471
2008-12-09,192419,181612,584622,597611,77850,75668,10807,-12989,2182
2008-12-16,205840,141720,566896,627663,83192,86545,64120,-60767,-3353
2008-12-22,215665,143095,550623,621312,61437,63318,72570,-70689,-1881
2008-12-30,224746,160198,571955,636786,64453,64170,64548,-64831,283
2009-01-06,235246,158588,588650,655186,81263,91385,76658,-66536,-10122
2009-01-13,228912,175618,621835,674340,84711,85500,53294,-52505,-789
2009-01-20,225424,179290,633949,672365,86923,94641,46134,-38416,-7718
2009-01-27,226101,174449,635238,676012,84481,95359,51652,-40774,-10878
2009-02-03,234724,205448,638532,665187,78805,81426,29276,-26655,-2621
2009-02-10,239563,222985,623432,640457,70928,70481,16578,-17025,447
2009-02-17,243728,198712,629554,665245,68435,77760,45016,-35691,-9325
2009-02-24,234105,205356,588487,619031,71502,69707,28749,-30544,1795
2009-03-03,214302,214834,613910,610109,76270,79539,-532,3801,-3269
2009-03-10,197055,203070,641564,648468,73812,60893,-6015,-6904,12919
2009-03-17,195950,182443,660645,677035,71933,69050,13507,-16390,2883
2009-03-24,192871,175234,639673,662394,63882,58798,17637,-22721,5084
2009-03-31,184850,178304,647102,658553,71215,66310,6546,-11451,4905
2009-04-07,186928,174435,650424,669668,65517,58766,12493,-19244,6751
2009-04-14,180982,176020,671472,685580,75905,66759,4962,-14108,9146
2009-04-21,180383,194988,635931,633346,75405,63385,-14605,2585,12020
2009-04-28,174308,174000,650007,642918,73927,81324,308,7089,-7397
2009-05-05,175443,186728,667069,662705,93311,86390,-11285,4364,6921
2009-05-12,170991,167925,673149,690277,125360,111298,3066,-17128,14062
2009-05-19,175047,139810,578870,626843,82719,69983,35237,-47973,12736
