date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,37001,22039,18853,21511,8813,21117,14962,-2658,-12304
2006-01-10,41015,24998,24335,27568,10457,23241,16017,-3233,-12784
2006-01-17,40919,23127,21664,28074,12071,23453,17792,-6410,-11382
2006-01-24,36961,31537,32961,25763,10140,22762,5424,7198,-12622
2006-01-31,38609,29987,32507,31638,11549,21040,8622,869,-9491
2006-02-07,39314,31721,38208,36001,11568,21368,7593,2207,-9800
2006-02-14,46399,25121,35683,38941,9125,27145,21278,-3258,-18020
2006-02-21,48224,26573,34750,39988,8156,24569,21651,-5238,-16413
2006-02-28,43252,27751,34878,37391,8577,21565,15501,-2513,-12988
2006-03-07,43670,30491,36200,34518,9118,23979,13179,1682,-14861
2006-03-14,45105,34314,43683,45402,11620,20692,10791,-1719,-9072
2006-03-21,51562,19217,8009,20251,9180,29283,32345,-12242,-20103
2006-03-28,47422,17268,8738,22397,8629,25124,30154,-13659,-16495
2006-04-04,52610,18395,9211,28753,9764,24437,34215,-19542,-14673
2006-04-11,50267,21858,11595,25499,9241,23746,28409,-13904,-14505
2006-04-18,51643,16052,14698,33872,9588,26005,35591,-19174,-16417
2006-04-25,52976,18881,13784,34488,9914,23305,34095,-20704,-13391
2006-05-02,55921,18974,14497,36376,10361,25429,36947,-21879,-15068
2006-05-09,63986,16337,12624,40750,10265,29788,47649,-28126,-19523
2006-05-16,59628,13617,12175,46695,18620,30111,46011,-34520,-11491
2006-05-23,55161,16725,18349,44286,13012,25511,38436,-25937,-12499
2006-05-30,60666,14210,15647,49126,11115,24092,46456,-33479,-12977
2006-06-06,63020,12421,13537,50239,12199,26096,50599,-36702,-13897
2006-06-13,61191,13137,16372,52349,13409,25486,48054,-35977,-12077
2006-06-20,46970,24720,28274,7120,8981,52385,22250,21154,-43404
2006-06-27,47922,23266,25733,8935,10216,51670,24656,16798,-41454
2006-07-03,52724,19850,25717,15613,7726,50704,32874,10104,-42978
2006-07-11,55183,20264,22956,14761,9330,52444,34919,8195,-43114
2006-07-18,55325,25625,26989,16366,11397,51720,29700,10623,-40323
2006-07-25,61488,24518,24480,16869,8752,53333,36970,7611,-44581
2006-08-01,21590,21392,66210,21051,6924,52281,198,45159,-45357
2006-08-08,22966,21495,65476,21086,8340,54201,1471,44390,-45861
2006-08-15,22665,24960,67310,22853,9368,51530,-2295,44457,-42162
2006-08-22,26522,23229,66981,25500,10122,54896,3293,41481,-44774
2006-08-29,26729,24866,65874,23071,9019,53685,1863,42803,-44666
2006-09-05,29882,24528,67519,26349,8566,55090,5354,41170,-46524
2006-09-12,34347,32071,78715,38142,16110,58959,2276,40573,-42849
2006-09-19,26005,15429,62036,32121,8912,49403,10576,29915,-40491
2006-09-26,29706,18438,69933,38431,8077,50847,11268,31502,-42770
2006-10-03,33552,19355,76467,46013,8149,52800,14197,30454,-44651
2006-10-10,36445,18776,82179,57330,10416,52934,17669,24849,-42518
2006-10-17,36443,18673,82617,57076,10240,53551,17770,25541,-43311
2006-10-24,40458,25441,84293,55120,10979,55169,15017,29173,-44190
2006-10-31,41290,24022,79061,57374,10539,49494,17268,21687,-38955
2006-11-07,42224,22895,77690,57325,10904,50598,19329,20365,-39694
2006-11-14,47120,24406,72630,54539,9782,50587,22714,18091,-40805
2006-11-21,45860,23508,72127,53348,10208,51339,22352,18779,-41131
2006-11-28,37799,25455,71699,43295,11020,51768,12344,28404,-40748
2006-12-05,36603,26250,66245,42367,17424,51655,10353,23878,-34231
2006-12-12,42244,32901,72747,45533,24038,60595,9343,27214,-36557
