date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,36013,24782,36844,48533,43961,43503,11231,-11689,458
2006-01-10,42096,20135,34870,63074,47965,41722,21961,-28204,6243
2006-01-17,41207,19996,36151,69669,49477,37170,21211,-33518,12307
2006-01-24,56834,19370,33491,89341,50968,32582,37464,-55850,18386
2006-01-31,58564,22182,36469,89459,50538,33930,36382,-52990,16608
2006-02-07,45622,26657,44620,75293,48217,36509,18965,-30673,11708
2006-02-14,43279,31323,50461,69907,45530,38040,11956,-19446,7490
2006-02-21,42097,32012,58946,75683,48523,41871,10085,-16737,6652
2006-02-28,50882,32480,56481,82130,50836,43589,18402,-25649,7247
2006-03-07,49877,35999,75783,98478,49145,40328,13878,-22695,8817
2006-03-14,55058,27074,35565,69607,42812,36754,27984,-34042,6058
2006-03-21,58377,16925,33700,88412,48974,35714,41452,-54712,13260
2006-03-28,56336,15525,35558,93460,48011,30920,40811,-57902,17091
2006-04-04,67859,15467,43679,113080,49728,32719,52392,-69401,17009
2006-04-11,58717,17087,46263,110321,52318,29890,41630,-64058,22428
2006-04-18,70019,14677,38561,118525,55841,31219,55342,-79964,24622
2006-04-25,79841,14316,38061,130344,58625,31867,65525,-92283,26758
2006-05-02,90615,16141,39152,138150,55961,31437,74474,-98998,24524
2006-05-09,87975,15064,43091,142504,65655,39153,72911,-99413,26502
2006-05-16,87436,14060,45579,143424,60408,35939,73376,-97845,24469
2006-05-23,87361,15285,50079,146064,58049,34140,72076,-95985,23909
2006-05-30,96864,16980,39005,138891,58387,38385,79884,-99886,20002
2006-06-06,102560,14364,40541,154767,65272,39242,88196,-114226,26030
2006-06-13,72732,10886,64770,152800,63519,37335,61846,-88030,26184
2006-06-20,66017,13527,17807,94376,48399,24320,52490,-76569,24079
2006-06-27,77942,13272,18274,106720,51554,27778,64670,-88446,23776
2006-07-03,87088,18543,21368,114031,53130,29012,68545,-92663,24118
2006-07-11,92291,14396,19781,128562,55720,24834,77895,-108781,30886
2006-07-18,67816,16122,29176,101106,55354,35118,51694,-71930,20236
2006-07-25,66687,16386,30207,100022,48873,29359,50301,-69815,19514
2006-08-01,85072,11643,20935,118798,51204,26770,73429,-97863,24434
2006-08-08,101133,9025,22548,144363,53545,23838,92108,-121815,29707
2006-08-15,99050,8846,25418,143147,53607,26082,90204,-117729,27525
2006-08-22,89994,8524,27222,139078,57928,27542,81470,-111856,30386
2006-08-29,88423,8786,25123,129589,54968,30139,79637,-104466,24829
2006-09-05,86223,11207,25562,129665,56478,27391,75016,-104103,29087
2006-09-12,79626,12909,34073,118677,52744,34857,66717,-84604,17887
2006-09-19,69197,18083,15429,79941,45551,32153,51114,-64512,13398
