date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,13026,28047,42720,20271,13758,21186,-15021,22449,-7428
2006-01-10,17074,21847,45988,36928,14011,18298,-4773,9060,-4287
2006-01-17,17411,20714,48630,45024,17088,17391,-3303,3606,-303
2006-01-24,22028,19180,47377,52493,20097,17829,2848,-5116,2268
2006-01-31,21296,23206,53808,51561,18876,19213,-1910,2247,-337
2006-02-07,15492,29554,62786,43168,15474,21030,-14062,19618,-5556
2006-02-14,12019,36663,71768,38093,15697,24728,-24644,33675,-9031
2006-02-21,14722,34603,66600,39946,15853,22626,-19881,26654,-6773
2006-02-28,15055,23244,66047,55160,17523,20221,-8189,10887,-2698
2006-03-07,14981,27325,71871,52999,18302,24830,-12344,18872,-6528
2006-03-14,10989,25621,44935,22224,14083,22162,-14632,22711,-8079
2006-03-21,13183,18418,39994,30911,14895,18743,-5235,9083,-3848
2006-03-28,12491,18775,41984,27751,13250,21199,-6284,14233,-7949
2006-04-04,14015,24699,48888,32217,16468,22455,-10684,16671,-5987
2006-04-11,16971,22595,42536,37687,19620,18845,-5624,4849,775
2006-04-18,27302,22208,33982,41930,21694,18840,5094,-7948,2854
2006-04-25,35005,22715,34973,52796,23665,18132,12290,-17823,5533
2006-05-02,34133,15509,31213,58070,23643,15410,18624,-26857,8233
2006-05-09,41071,15304,32834,71023,30005,17583,25767,-38189,12422
2006-05-16,39358,15086,39736,78830,30482,15660,24272,-39094,14822
2006-05-23,42928,12370,40784,87163,30944,15123,30558,-46379,15821
2006-05-30,51965,12268,30254,83711,29830,16070,39697,-53457,13760
2006-06-06,33771,11485,42204,79213,29258,14535,22286,-37009,14723
2006-06-13,34221,12127,63665,98305,27467,14921,22094,-34640,12546
2006-06-20,29010,5608,26575,61283,22776,11470,23402,-34708,11306
2006-06-27,17709,11138,38284,53525,22557,13887,6571,-15241,8670
2006-07-03,22169,10306,34262,55238,22226,13113,11863,-20976,9113
2006-07-11,25268,11519,35168,61681,25233,12469,13749,-26513,12764
2006-07-18,28460,11383,35604,62241,24011,14451,17077,-26637,9560
2006-07-25,34685,12026,43032,76575,24384,13500,22659,-33543,10884
2006-08-01,56297,11294,27756,87974,29979,14764,45003,-60218,15215
2006-08-08,65228,9602,30603,101574,32278,16933,55626,-70971,15345
2006-08-15,74152,10956,27206,109568,34536,15370,63196,-82362,19166
2006-08-22,66586,9770,30487,102648,30817,15472,56816,-72161,15345
2006-08-29,66676,10551,31850,104355,31933,15553,56125,-72505,16380
2006-09-05,63587,9655,37607,104080,30622,18081,53932,-66473,12541
2006-09-12,50259,12678,43986,88470,27963,21060,37581,-44484,6903
2006-09-19,60218,17265,18723,72331,25222,14567,42953,-53608,10655
