date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,180688,29726,51741,239049,58381,22035,150962,-187308,36346
2006-01-10,184408,38602,59932,240141,61809,27406,145806,-180209,34403
2006-01-17,191650,43171,66156,248147,65404,31892,148479,-181991,33512
2006-01-24,188928,46079,63004,238009,64709,32553,142849,-175005,32156
2006-01-31,187406,48156,63986,231268,54985,26953,139250,-167282,28032
2006-02-07,180971,53622,67909,222347,55271,28182,127349,-154438,27089
2006-02-14,167910,48996,71566,220771,54583,24292,118914,-149205,30291
2006-02-21,163886,45202,69049,219002,55325,24056,118684,-149953,31269
2006-02-28,169963,42593,69177,226038,54473,24982,127370,-156861,29491
2006-03-07,167144,46255,71482,221233,53527,24665,120889,-149751,28862
2006-03-14,143697,47757,78233,208569,55786,21390,95940,-130336,34396
2006-03-21,149946,45682,72080,207882,55025,23487,104264,-135802,31538
2006-03-28,163056,42470,66109,215821,61431,32305,120586,-149712,29126
2006-04-04,178040,45832,60499,231414,65835,27128,132208,-170915,38707
2006-04-11,175000,50668,62155,228104,59508,17891,124332,-165949,41617
2006-04-18,177870,47576,58342,230866,62897,20667,130294,-172524,42230
2006-04-25,175346,45968,62298,229153,60792,23315,129378,-166855,37477
2006-05-02,177709,47421,60931,232651,62728,21296,130288,-171720,41432
2006-05-09,175709,41773,61535,232868,60531,23134,133936,-171333,37397
2006-05-16,163773,37616,62710,225860,58916,21923,126157,-163150,36993
2006-05-23,144247,33149,61059,210062,55841,17936,111098,-149003,37905
2006-05-30,133475,31988,78942,218251,52763,14941,101487,-139309,37822
2006-06-06,134649,38753,51439,180808,48122,14649,95896,-129369,33473
2006-06-13,138766,39479,51699,186100,46632,11518,99287,-134401,35114
2006-06-20,131864,41643,58813,181084,44571,12521,90221,-122271,32050
2006-06-27,128310,42686,61095,177336,47827,17210,85624,-116241,30617
2006-07-03,131186,39266,60102,182269,44854,14607,91920,-122167,30247
2006-07-11,142194,40265,64408,196455,44878,14760,101929,-132047,30118
2006-07-18,143202,35828,63969,204060,49757,17040,107374,-140091,32717
2006-07-25,132268,30713,65461,204950,47839,9905,101555,-139489,37934
2006-08-01,132781,30020,59866,198299,49636,13964,102761,-138433,35672
2006-08-08,138971,32873,60258,202183,47215,11388,106098,-141925,35827
2006-08-15,132019,31475,61402,196531,54613,20028,100544,-135129,34585
2006-08-22,128897,32949,64509,192582,46567,14442,95948,-128073,32125
2006-08-29,124421,36705,70804,188049,45199,15670,87716,-117245,29529
2006-09-05,133991,35657,66731,197996,51855,18924,98334,-131265,32931
2006-09-12,121455,37233,76201,186896,44613,18140,84222,-110695,26473
2006-09-19,116119,38251,86123,188048,43421,19364,77868,-101925,24057
2006-09-26,108117,36873,88639,184004,45719,21598,71244,-95365,24121
2006-10-03,107570,38136,88721,180715,47406,24846,69434,-91994,22560
2006-10-10,106211,43762,95161,177763,40503,20350,62449,-82602,20153
2006-10-17,107993,46734,92428,175566,38990,17111,61259,-83138,21879
2006-10-24,104099,48049,93641,174150,40864,16405,56050,-80509,24459
2006-10-31,107472,42756,84097,175993,46122,18942,64716,-91896,27180
2006-11-07,121406,40240,78904,193360,49509,16219,81166,-114456,33290
2006-11-14,126907,38073,87908,211429,51034,16347,88834,-123521,34687
2006-11-21,123021,38728,87188,206164,51718,17035,84293,-118976,34683
2006-11-28,120078,40212,79380,197104,55708,17850,79866,-117724,37858
2006-12-05,122145,38506,70965,191133,53634,17105,83639,-120168,36529
2006-12-12,120128,38299,76784,193066,48888,14435,81829,-116282,34453
2006-12-19,109682,39789,89467,191199,46897,15058,69893,-101732,31839
2006-12-26,110486,42394,89611,192679,47850,12874,68092,-103068,34976
2007-01-03,120639,42756,82085,194532,51926,17362,77883,-112447,34564
2007-01-09,105157,52289,95765,177439,48166,19360,52868,-81674,28806
2007-01-16,109386,46436,94910,187019,45998,16839,62950,-92109,29159
