date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,22356,15034,99897,105184,26885,28920,7322,-5287,-2035
2006-01-10,26066,16051,96835,106050,28521,29321,10015,-9215,-800
2006-01-17,23691,17935,96919,103687,28963,27951,5756,-6768,1012
2006-01-24,27326,17382,93488,106149,30077,27360,9944,-12661,2717
2006-01-31,26211,18967,94221,102270,27047,26242,7244,-8049,805
2006-02-07,24050,20072,90642,91723,25460,28357,3978,-1081,-2897
2006-02-14,24278,23869,93184,88858,27360,32095,409,4326,-4735
2006-02-21,25362,24513,98574,90632,24857,33648,849,7942,-8791
2006-02-28,24317,25099,98363,89406,21946,30121,-782,8957,-8175
2006-03-07,24841,22190,99559,93979,26583,34814,2651,5580,-8231
2006-03-14,24463,20719,98342,95159,24379,31306,3744,3183,-6927
2006-03-21,24254,18365,96845,97305,25593,31022,5889,-460,-5429
2006-03-28,25733,16678,90358,94763,25292,29942,9055,-4405,-4650
2006-04-04,25486,15361,85088,93463,26414,28164,10125,-8375,-1750
2006-04-11,27431,14165,87336,100831,27169,26940,13266,-13495,229
2006-04-18,29780,17050,87182,103297,27539,24154,12730,-16115,3385
2006-04-25,33341,18105,85491,104823,31195,27099,15236,-19332,4096
2006-05-02,35377,22114,86036,105000,31459,25758,13263,-18964,5701
2006-05-09,28280,22437,89404,100708,31466,26005,5843,-11304,5461
2006-05-16,23548,22820,89774,97574,32312,25240,728,-7800,7072
2006-05-23,24270,20328,91432,101979,31533,24928,3942,-10547,6605
2006-05-30,23519,17271,91909,103791,28947,23313,6248,-11882,5634
2006-06-06,25587,15968,88087,107012,31313,22007,9619,-18925,9306
2006-06-13,22115,15955,98685,110332,30184,24697,6160,-11647,5487
2006-06-20,23187,15640,98105,110013,28983,24622,7547,-11908,4361
2006-06-27,25421,11931,95059,113172,27956,23333,13490,-18113,4623
2006-07-03,26967,12737,92867,111550,27264,22811,14230,-18683,4453
2006-07-11,24000,11949,94985,112018,31146,26164,12051,-17033,4982
2006-07-18,30391,10958,102930,128873,30757,24247,19433,-25943,6510
