date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,26111,14618,53596,52148,19325,32125,11493,1448,-12800
2006-01-10,25507,16051,60630,56057,19909,33948,9456,4573,-14039
2006-01-17,20773,21949,72032,56756,21429,35615,-1176,15276,-14186
2006-01-24,16656,20390,71971,55723,19995,32489,-3734,16248,-12494
2006-01-31,18568,28795,73426,50562,20739,33290,-10227,22864,-12551
2006-02-07,17849,32000,74240,48178,21217,33351,-14151,26062,-12134
2006-02-14,19536,28499,72485,51401,20378,32825,-8963,21084,-12447
2006-02-21,19415,26313,73191,53694,20221,33335,-6898,19497,-13114
2006-02-28,20606,28929,74003,52626,20432,33937,-8323,21377,-13505
2006-03-07,17647,27323,74672,51436,19944,33927,-9676,23236,-13983
2006-03-14,17904,29687,77660,50860,18496,33980,-11783,26800,-15484
2006-03-21,18712,29527,77922,50559,15927,32999,-10815,27363,-17072
2006-03-28,17726,27637,78442,52124,15681,32462,-9911,26318,-16781
2006-04-04,18006,30684,77287,49550,15805,31431,-12678,27737,-15626
2006-04-11,16501,34045,76298,44010,15870,31074,-17544,32288,-15204
2006-04-18,14093,34624,74049,38690,15625,31333,-20531,35359,-15708
2006-04-25,15250,33934,72174,38472,16556,32751,-18684,33702,-16195
2006-05-02,18090,34184,72787,41565,9731,26447,-16094,31222,-16716
2006-05-09,19863,32598,72585,43450,17441,35865,-12735,29135,-18424
2006-05-16,21473,33832,71518,43625,18260,36056,-12359,27893,-17796
2006-05-23,20563,34924,71504,41859,16866,35365,-14361,29645,-18499
2006-05-30,18610,35452,71654,40951,17536,34855,-16842,30703,-17319
2006-06-06,21846,33168,72291,45313,14372,33511,-11322,26978,-19139
2006-06-13,25396,28279,71769,52393,17611,37761,-2883,19376,-20150
2006-06-20,27847,25238,73049,61871,19196,36939,2609,11178,-17743
2006-06-27,30294,24426,72866,65108,18337,36169,5868,7758,-17832
2006-07-03,30427,25239,72906,65140,18861,36658,5188,7766,-17797
2006-07-11,28620,26299,72281,59834,18168,37792,2321,12447,-19624
2006-07-18,26269,27076,68505,55405,18886,36542,-807,13100,-17656
2006-07-25,24573,31630,68735,49226,18691,36790,-7057,19509,-18099
2006-08-01,24901,35381,69853,46815,18551,37953,-10480,23038,-19402
2006-08-08,26443,39407,66788,41974,18679,37495,-12964,24814,-18816
2006-08-15,26024,45137,62842,33787,18080,34587,-19113,29055,-16507
2006-08-22,28542,47340,62693,34313,19532,35416,-18798,28380,-15884
2006-08-29,30731,49662,60623,30565,19858,37995,-18931,30058,-18137
2006-09-05,29405,48442,58001,28709,22997,39627,-19037,29292,-16630
2006-09-12,25545,28697,30916,20738,21894,39127,-3152,10178,-17233
2006-09-19,20375,9264,6630,13344,19671,39419,11111,-6714,-19748
2006-09-26,13953,6137,2751,7254,19936,38997,7816,-4503,-19061
2006-10-03,33186,17309,80280,76608,20818,40367,15877,3672,-19549
2006-10-10,33459,20495,81335,73984,19727,40042,12964,7351,-20315
2006-10-17,32217,19533,79815,74044,18594,37043,12684,5771,-18449
2006-10-24,32696,18952,80170,74153,17538,37232,13744,6017,-19694
2006-10-31,38236,18258,81141,83889,22013,39117,19978,-2748,-17104
2006-11-07,43117,17848,82585,91067,22730,39398,25269,-8482,-16668
2006-11-14,37013,15698,84945,92560,23872,37391,21315,-7615,-13519
2006-11-21,33310,16916,87996,91584,25579,38242,16394,-3588,-12663
2006-11-28,32171,16435,88834,90576,22247,36033,15736,-1742,-13786
2006-12-05,30804,17219,88957,89816,22328,34890,13585,-859,-12562
2006-12-12,31806,15082,88155,91292,22220,35595,16724,-3137,-13375
2006-12-19,29217,15061,85176,90212,23121,32072,14156,-5036,-8951
2006-12-26,27706,16790,84673,87370,22944,30960,10916,-2697,-8016
2007-01-03,26643,21211,84272,80571,23300,32139,5432,3701,-8839
2007-01-09,26987,25649,84374,77131,23950,32189,1338,7243,-8239
2007-01-16,30952,24318,77510,76131,24517,31728,6634,1379,-7211
2007-01-23,29155,25180,77279,75470,25238,30126,3975,1809,-4888
2007-01-30,33087,25716,78720,81127,24825,28676,7371,-2407,-3851
2007-02-06,32176,25365,77966,80329,25878,28965,6811,-2363,-3087
2007-02-13,32285,26999,79465,81866,25730,27205,5286,-2401,-1475
2007-02-20,33099,25465,78874,83365,24994,26981,7634,-4491,-1987
2007-02-27,29939,24115,78625,82925,26694,26713,5824,-4300,-19
2007-03-06,28058,22539,82001,84283,26977,28476,5519,-2282,-1499
2007-03-13,29608,21272,78848,84963,25950,26856,8336,-6115,-906
2007-03-20,24775,21679,78141,79807,25821,26178,3096,-1666,-357
2007-03-27,23995,24096,79861,79105,26107,25791,-101,756,316
2007-04-03,25626,25868,78741,75845,23100,25446,-242,2896,-2346
2007-04-10,26185,26007,77813,76592,23599,24638,178,1221,-1039
2007-04-17,29647,28261,74357,73258,21485,23534,1386,1099,-2049
2007-04-24,29373,27266,75096,74585,21629,24067,2107,511,-2438
2007-05-01,25088,27562,77506,73951,22996,23788,-2474,3555,-792
2007-05-08,26355,29580,78083,72217,22727,25183,-3225,5866,-2456
2007-05-15,26344,31748,76199,68156,21743,24314,-5404,8043,-2571
2007-05-22,28057,34183,77703,69449,19512,21673,-6126,8254,-2161
2007-05-29,30188,37454,77537,68213,21818,24487,-7266,9324,-2669
2007-06-05,31957,43133,78573,66053,21345,24060,-11176,12520,-2715
2007-06-12,32298,45678,76678,62758,23812,26248,-13380,13920,-2436
2007-06-19,30177,47810,76011,57368,19721,22433,-17633,18643,-2712
2007-06-26,21600,48751,74407,40999,17998,26255,-27151,33408,-8257
