date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,22192,46929,105548,84108,27838,24541,-24737,21440,3297
2006-01-10,30472,50001,103194,95280,36184,24569,-19529,7914,11615
2006-01-17,30062,48321,103792,93718,33795,25610,-18259,10074,8185
2006-01-24,29698,48976,103532,94693,33338,22899,-19278,8839,10439
2006-01-31,32287,74032,126595,83469,29810,31191,-41745,43126,-1381
2006-02-07,31219,87566,141301,79899,25225,30280,-56347,61402,-5055
2006-02-14,27560,82617,141417,80756,26635,32239,-55057,60661,-5604
2006-02-21,26959,98143,149692,70696,26792,34604,-71184,78996,-7812
2006-02-28,41587,64408,127801,107765,32169,29384,-22821,20036,2785
2006-03-07,36738,78569,176747,134264,34781,35433,-41831,42483,-652
2006-03-14,24814,70103,135112,85072,29436,34187,-45289,50040,-4751
2006-03-21,23115,52471,123357,93753,29136,29384,-29356,29604,-248
2006-03-28,27229,57641,125904,90414,26607,31685,-30412,35490,-5078
2006-04-04,30603,63319,126842,93976,31913,32063,-32716,32866,-150
2006-04-11,36213,90684,140062,80234,29223,34580,-54471,59828,-5357
2006-04-18,38749,79890,129443,88624,33487,33165,-41141,40819,322
2006-04-25,40997,47487,118831,124394,41111,29058,-6490,-5563,12053
2006-05-02,44389,41700,118301,144592,43026,19424,2689,-26291,23602
2006-05-09,46769,27925,113023,157197,49880,24550,18844,-44174,25330
2006-05-16,47053,27932,116805,158078,47428,25276,19121,-41273,22152
2006-05-23,49669,31340,116134,154398,45436,25501,18329,-38264,19935
2006-05-30,56019,30278,108021,153269,43828,24321,25741,-45248,19507
2006-06-06,47148,26145,113610,146902,40371,28082,21003,-33292,12289
2006-06-13,39360,48957,157545,152880,45675,40743,-9597,4665,4932
2006-06-20,23877,46884,104582,85187,32745,29133,-23007,19395,3612
2006-06-27,25190,60762,116383,81209,32407,32009,-35572,35174,398
2006-07-03,25330,49239,110040,90220,32611,28522,-23909,19820,4089
2006-07-11,27639,48343,112062,99551,32705,24512,-20704,12511,8193
2006-07-18,27724,96773,145874,74172,29769,32422,-69049,71702,-2653
2006-07-25,26299,103185,152876,73589,29247,31648,-76886,79287,-2401
2006-08-01,25391,68375,138866,97439,30293,28736,-42984,41427,1557
2006-08-08,25031,76822,141054,94420,31421,26264,-51791,46634,5157
2006-08-15,29646,91920,153461,92252,33299,32234,-62274,61209,1065
2006-08-22,30853,105930,163702,87185,32543,33983,-75077,76517,-1440
2006-08-29,33920,122249,175367,85176,34955,36817,-88329,90191,-1862
2006-09-05,32941,102439,160209,89614,35193,36290,-69498,70595,-1097
2006-09-12,34942,134394,205621,86590,34112,53691,-99452,119031,-19579
2006-09-19,34955,125759,160209,62383,29592,36614,-90804,97826,-7022
2006-09-26,42518,129876,150583,55335,27690,35580,-87358,95248,-7890
2006-10-03,47430,151581,165283,55727,30650,36055,-104151,109556,-5405
2006-10-10,50595,174193,182858,53712,33926,39474,-123598,129146,-5548
2006-10-17,53173,165751,173899,58427,34092,36986,-112578,115472,-2894
2006-10-24,50401,187691,195865,57498,35694,36771,-137290,138367,-1077
2006-10-31,46776,106376,139703,87349,38380,31134,-59600,52354,7246
2006-11-07,48102,111614,141299,85210,37244,29821,-63512,56089,7423
2006-11-14,48106,103118,144572,98891,38991,29660,-55012,45681,9331
2006-11-21,50648,131069,168766,93687,36997,31655,-80421,75079,5342
2006-11-28,56033,97991,150874,122417,42671,29170,-41958,28457,13501
2006-12-05,62344,85881,153868,150125,49023,29229,-23537,3743,19794
2006-12-12,50622,106182,177991,138635,45330,29126,-55560,39356,16204
2006-12-19,48950,141469,151142,63344,37892,33171,-92519,87798,4721
2006-12-26,55629,160543,165030,65428,40448,35136,-104914,99602,5312
2007-01-03,54819,173411,182315,66903,41669,38489,-118592,115412,3180
2007-01-09,54341,177684,182880,66875,48303,40965,-123343,116005,7338
2007-01-16,56031,194177,206149,69822,44572,42753,-138146,136327,1819
2007-01-23,52200,217060,246414,85624,44598,40528,-164860,160790,4070
2007-01-30,42579,215584,255656,87884,44130,38897,-173005,167772,5233
2007-02-06,41025,169551,230123,107247,41842,36192,-128526,122876,5650
2007-02-13,43467,210972,269569,109947,47191,39308,-167505,159622,7883
2007-02-20,42286,158481,237985,135354,49699,36135,-116195,102631,13564
2007-02-27,39383,154009,236369,133677,49723,37789,-114626,102692,11934
2007-03-06,30479,93365,202412,146414,40448,33560,-62886,55998,6888
2007-03-13,38194,91047,185748,143512,52373,41756,-52853,42236,10617
2007-03-20,34269,84222,98301,63646,42036,26738,-49953,34655,15298
2007-03-27,37765,85245,125945,87199,37883,29149,-47480,38746,8734
2007-04-03,36845,100703,140812,81355,41714,37313,-63858,59457,4401
2007-04-10,42718,107559,141946,82979,43034,37160,-64841,58967,5874
2007-04-17,43281,113800,150691,83251,39941,36862,-70519,67440,3079
2007-04-24,37900,119672,158243,82310,38579,32740,-81772,75933,5839
2007-05-01,47618,166400,188716,78461,42721,34194,-118782,110255,8527
2007-05-08,51213,163472,190671,84855,41494,35051,-112259,105816,6443
2007-05-15,46650,174546,204220,85983,44958,35299,-127896,118237,9659
2007-05-22,52301,204047,230085,83736,42538,37141,-151746,146349,5397
2007-05-29,51301,197544,222725,83306,43830,37006,-146243,139419,6824
2007-06-05,53781,177787,209829,97812,46581,34592,-124006,112017,11989
2007-06-12,48791,176353,279030,162878,50620,39210,-127562,116152,11410
2007-06-19,45218,206579,227309,65979,37041,37010,-161361,161330,31
2007-06-26,49411,237488,264063,77604,38357,36739,-188077,186459,1618
2007-07-03,43373,198511,244264,91434,38640,36332,-155138,152830,2308
2007-07-10,51549,177439,226591,104651,41663,37713,-125890,121940,3950
2007-07-17,50431,177204,212555,91657,40115,34240,-126773,120898,5875
2007-07-24,51088,143503,188343,106993,43995,32930,-92415,81350,11065
2007-07-31,46600,97762,174003,133513,42973,32301,-51162,40490,10672
2007-08-07,47110,81603,172806,152366,42762,28709,-34493,20440,14053
2007-08-14,57759,79648,178281,169749,39186,25829,-21889,8532,13357
2007-08-21,61218,59702,173550,187833,35606,22839,1516,-14283,12767
2007-08-28,66128,56282,173334,195871,35389,22698,9846,-22537,12691
2007-09-04,58339,65392,175469,178832,34023,23607,-7053,-3363,10416
2007-09-11,62733,57148,195252,214810,40348,26375,5585,-19558,13973
2007-09-18,41534,62601,93739,84116,31838,20394,-21067,9623,11444
2007-09-25,46051,48500,91652,101925,32831,20109,-2449,-10273,12722
2007-10-02,35521,63590,127380,109662,33020,22669,-28069,17718,10351
2007-10-09,36321,82078,154402,117142,32368,23871,-45757,37260,8497
2007-10-16,45607,84220,149731,117750,31706,25074,-38613,31981,6632
2007-10-23,46369,67723,145548,134904,32000,21290,-21354,10644,10710
2007-10-30,57461,67410,129666,133709,33822,19830,-9949,-4043,13992
2007-11-06,59945,68842,121629,126869,33452,19315,-8897,-5240,14137
2007-11-13,63338,42542,86879,126365,40022,21332,20796,-39486,18690
2007-11-20,68020,37619,83162,134908,41145,19800,30401,-51746,21345
2007-11-27,68104,36772,84172,137579,39199,17124,31332,-53407,22075
2007-12-04,73463,39378,82859,138141,38364,17167,34085,-55282,21197
2007-12-11,68557,37654,110434,159788,35886,17435,30903,-49354,18451
2007-12-18,54075,40718,92410,118024,29302,17045,13357,-25614,12257
2007-12-24,46961,42948,105179,117336,26914,18770,4013,-12157,8144
2007-12-31,45107,44187,107806,117255,27839,19310,920,-9449,8529
2008-01-08,62356,24883,97448,147328,31948,19541,37473,-49880,12407
2008-01-15,64712,27513,100897,151888,35273,21481,37199,-50991,13792
2008-01-22,67896,26054,88117,145237,35965,20687,41842,-57120,15278
2008-01-29,78810,25882,92355,160498,33876,18661,52928,-68143,15215
2008-02-05,83740,29050,104879,175163,35354,19760,54690,-70284,15594
2008-02-12,73955,30484,120344,175817,35826,23824,43471,-55473,12002
2008-02-19,80805,30361,117380,184665,37495,20654,50444,-67285,16841
2008-02-26,70188,35899,129969,177118,34327,21467,34289,-47149,12860
2008-03-04,94654,38369,116355,194159,42443,20924,56285,-77804,21519
2008-03-11,86383,36230,108059,178301,37547,17458,50153,-70242,20089
2008-03-18,82300,26541,76317,150981,33837,14932,55759,-74664,18905
2008-03-25,88691,22771,76963,158417,29768,14234,65920,-81454,15534
2008-04-01,78135,25837,79243,146195,30572,15918,52298,-66952,14654
2008-04-08,70424,27357,81728,138845,29368,15318,43067,-57117,14050
2008-04-15,68950,20978,79136,137228,28433,18313,47972,-58092,10120
2008-04-22,60353,25266,85279,128494,26097,17969,35087,-43215,8128
2008-04-29,73485,18035,64831,129122,27637,18796,55450,-64291,8841
2008-05-06,69355,20620,72209,126827,26481,20598,48735,-54618,5883
2008-05-13,62209,28393,85465,126576,25274,17979,33816,-41111,7295
2008-05-20,65203,25155,69969,121168,28580,17429,40048,-51199,11151
2008-05-27,62907,29603,79024,123067,28610,17871,33304,-44043,10739
2008-06-03,55009,31644,82305,100291,26597,31976,23365,-17986,-5379
2008-06-10,43391,35675,132747,133166,25413,32710,7716,-419,-7297
2008-06-17,39989,34132,96011,97236,24884,29516,5857,-1225,-4632
2008-06-24,34316,47063,105223,90770,24026,25732,-12747,14453,-1706
2008-07-01,45189,29184,103980,122231,25883,23637,16005,-18251,2246
2008-07-08,40519,35194,107907,117123,26473,22582,5325,-9216,3891
2008-07-15,77600,27495,103912,166517,32096,19596,50105,-62605,12500
2008-07-22,48433,37909,114167,130431,24541,18801,10524,-16264,5740
2008-07-29,39162,45442,117604,109446,21540,23418,-6280,8158,-1878
2008-08-05,45898,57979,130875,119020,23412,23186,-12081,11855,226
2008-08-12,46164,59413,141077,121647,20834,27015,-13249,19430,-6181
2008-08-19,40933,64071,148456,118462,23054,29910,-23138,29994,-6856
2008-08-26,40103,60073,146975,124878,21492,23619,-19970,22097,-2127
2008-09-02,38405,43425,143631,139542,22834,21903,-5020,4089,931
2008-09-09,39298,24477,143124,161962,23793,19776,14821,-18838,4017
2008-09-16,50625,24025,57162,88537,24013,19238,26600,-31375,4775
2008-09-23,51186,19247,67085,108729,23166,13461,31939,-41644,9705
2008-09-30,69373,26351,65155,119425,25083,13835,43022,-54270,11248
2008-10-07,61557,21744,68733,122528,26942,12960,39813,-53795,13982
2008-10-14,51709,21805,54900,100556,26177,10425,29904,-45656,15752
2008-10-21,51441,21320,54077,100011,33056,17243,30121,-45934,15813
2008-10-28,51215,19389,54901,97807,36700,25620,31826,-42906,11080
2008-11-04,46772,20278,54352,91675,28140,17311,26494,-37323,10829
2008-11-11,46353,21842,61251,96455,22126,11433,24511,-35204,10693
2008-11-18,46827,22693,59015,94368,23083,11864,24134,-35353,11219
2008-11-25,62066,24900,46145,95959,21954,9306,37166,-49814,12648
2008-12-02,67743,24840,43279,98731,27307,14758,42903,-55452,12549
2008-12-09,62978,19719,64530,132212,38463,14040,43259,-67682,24423
2008-12-16,59985,18604,25067,74010,25348,17786,41381,-48943,7562
2008-12-22,56334,16236,25419,71267,23484,17734,40098,-45848,5750
2008-12-30,57793,13917,25447,73898,22614,18039,43876,-48451,4575
2009-01-06,62615,16221,26681,74166,20789,19698,46394,-47485,1091
2009-01-13,60480,15585,27263,72250,19898,19806,44895,-44987,92
2009-01-20,62529,15439,29220,78405,21298,19203,47090,-49185,2095
2009-01-27,63369,14362,28783,83450,22757,17097,49007,-54667,5660
2009-02-03,65131,14613,28676,85167,23104,17131,50518,-56491,5973
2009-02-10,56870,13273,27908,71290,21602,21817,43597,-43382,-215
2009-02-17,54653,18465,33128,63323,20452,26445,36188,-30195,-5993
2009-02-24,47262,18627,43617,62725,17425,26952,28635,-19108,-9527
2009-03-03,46618,26548,48202,55160,15101,28213,20070,-6958,-13112
2009-03-10,43326,24420,52418,56921,13836,28239,18906,-4503,-14403
2009-03-17,27170,31866,33063,19259,10043,19151,-4696,13804,-9108
2009-03-24,25057,32719,29910,16662,14723,20309,-7662,13248,-5586
2009-03-31,26744,36207,34296,18118,15236,21951,-9463,16178,-6715
2009-04-07,25566,32564,44924,24710,13406,26622,-6998,20214,-13216
2009-04-14,21169,27264,44786,29770,15828,24749,-6095,15016,-8921
2009-04-21,18343,32038,40029,20007,15629,21956,-13695,20022,-6327
2009-04-28,22162,26741,36138,28240,17195,20514,-4579,7898,-3319
2009-05-05,21588,28106,38002,26617,15623,20490,-6518,11385,-4867
2009-05-12,28513,26125,36879,39091,19936,20112,2388,-2212,-176
2009-05-19,29526,23526,37571,46640,22712,19643,6000,-9069,3069
2009-05-26,34860,26851,37916,49511,23575,19989,8009,-11595,3586
2009-06-02,34077,24456,42726,54840,19644,17151,9621,-12114,2493
2009-06-09,25222,27521,53544,46448,14260,19057,-2299,7096,-4797
2009-06-16,18287,26850,29475,18002,14920,17830,-8563,11473,-2910
2009-06-23,22186,26193,31454,30287,19863,17023,-4007,1167,2840
2009-06-30,23261,24308,33018,33782,16835,15024,-1047,-764,1811
2009-07-07,36668,19551,31703,54421,21544,15943,17117,-22718,5601
