date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,2472,178,739,3451,1869,1451,2294,-2712,418
2006-01-10,3479,261,743,4261,1906,1606,3218,-3518,300
2006-01-17,3340,191,642,4293,2208,1706,3149,-3651,502
2006-01-24,2163,186,846,3816,2394,1401,1977,-2970,993
2006-01-31,1944,182,880,3498,2497,1641,1762,-2618,856
2006-02-07,1950,293,900,3256,2397,1698,1657,-2356,699
2006-02-14,1763,345,983,2849,2001,1553,1418,-1866,448
2006-02-21,1801,465,1030,2722,1919,1563,1336,-1692,356
2006-02-28,1663,676,1024,2247,1690,1454,987,-1223,236
2006-03-07,1675,535,770,1909,1413,1414,1140,-1139,-1
2006-03-14,1652,704,794,1700,1220,1262,948,-906,-42
2006-03-21,1508,815,779,1291,1295,1476,693,-512,-181
2006-03-28,1574,914,841,1237,1248,1512,660,-396,-264
2006-04-04,1753,866,1016,1458,1889,2334,887,-442,-445
2006-04-11,1796,778,1026,1450,1353,1947,1018,-424,-594
2006-04-18,1934,1062,999,1509,1536,1898,872,-510,-362
2006-04-25,2091,1225,939,1676,1775,1904,866,-737,-129
2006-05-02,2605,944,534,2043,1509,1661,1661,-1509,-152
2006-05-09,2296,788,571,1849,1251,1481,1508,-1278,-230
2006-05-16,2367,959,571,1576,1343,1746,1408,-1005,-403
2006-05-23,2278,1132,655,1329,954,1426,1146,-674,-472
2006-05-30,2231,1323,722,1085,1329,1874,908,-363,-545
2006-06-06,2502,1971,1138,1052,1421,2038,531,86,-617
2006-06-13,2336,2171,1320,1011,1524,1998,165,309,-474
2006-06-20,2312,2050,1293,1066,1526,2015,262,227,-489
2006-06-27,2525,2186,944,916,1573,1940,339,28,-367
2006-07-03,2634,2535,849,568,1341,1721,99,281,-380
2006-07-11,2567,2631,717,438,1515,1730,-64,279,-215
2006-07-18,2669,2670,750,474,1460,1735,-1,276,-275
2006-07-25,2578,2709,882,474,1496,1773,-131,408,-277
2006-08-01,2723,2766,1196,918,1823,2058,-43,278,-235
2006-08-08,2843,2814,1061,1019,1910,1981,29,42,-71
2006-08-15,3088,2897,1009,822,1778,2156,191,187,-378
2006-08-22,2947,2630,996,854,1715,2174,317,142,-459
2006-08-29,2697,2237,834,831,1908,2371,460,3,-463
2006-09-05,2631,2267,898,800,1609,2071,364,98,-462
2006-09-12,2838,2468,960,688,1389,2031,370,272,-642
2006-09-19,2944,2578,1009,719,1389,2045,366,290,-656
2006-09-26,2920,2874,1221,881,1594,1980,46,340,-386
2006-10-03,2818,2934,1344,1075,1839,1992,-116,269,-153
2006-10-10,2612,2741,1315,1061,1876,2001,-129,254,-125
2006-10-17,2777,2533,1299,1121,1771,2193,244,178,-422
2006-10-24,2970,2554,1246,1255,1796,2203,416,-9,-407
2006-10-31,1979,2525,2036,1198,1716,2008,-546,838,-292
2006-11-07,2123,2531,1924,1224,1693,1985,-408,700,-292
2006-11-14,2182,2469,1927,1212,1491,1919,-287,715,-428
2006-11-21,2264,2446,1788,1297,1487,1796,-182,491,-309
2006-11-28,2271,2486,1729,1319,1620,1815,-215,410,-195
2006-12-05,2387,2974,2051,1388,1992,2068,-587,663,-76
2006-12-12,2386,2991,2084,1446,2100,2133,-605,638,-33
2006-12-19,2088,3134,2095,1333,2116,1832,-1046,762,284
2006-12-26,2131,3194,1825,1267,2296,1791,-1063,558,505
2007-01-03,1877,2888,1587,1141,2028,1463,-1011,446,565
2007-01-09,2066,2453,1406,1531,2039,1527,-387,-125,512
2007-01-16,1997,2434,1509,1104,1817,1785,-437,405,32
2007-01-23,2558,3612,1753,901,1873,1671,-1054,852,202
2007-01-30,2643,3952,1952,1008,2174,1809,-1309,944,365
2007-02-06,2803,4188,2324,1254,2499,2184,-1385,1070,315
2007-02-13,2451,3869,2410,1329,2271,1934,-1418,1081,337
2007-02-20,2345,3646,2143,1220,2138,1760,-1301,923,378
2007-02-27,2573,3616,1880,1093,2017,1761,-1043,787,256
2007-03-06,2547,3363,1875,1126,2023,1956,-816,749,67
2007-03-13,2494,3361,2188,1474,2132,1979,-867,714,153
2007-03-20,2454,3495,2349,1593,2266,1981,-1041,756,285
2007-03-27,2631,3737,2382,1612,2382,2046,-1106,770,336
2007-04-03,2523,4011,2318,1441,2799,2188,-1488,877,611
2007-04-10,2531,3993,2364,1422,2553,2033,-1462,942,520
2007-04-17,2871,3999,2208,1449,2537,2168,-1128,759,369
2007-04-24,2952,3869,2356,1628,2449,2260,-917,728,189
2007-05-01,2914,3977,2556,1669,2392,2216,-1063,887,176
2007-05-08,2961,4136,2595,1717,2119,1822,-1175,878,297
2007-05-15,2654,3986,2134,937,1964,1829,-1332,1197,135
2007-05-22,2698,3684,2091,1171,1782,1716,-986,920,66
2007-05-29,2744,3264,2107,1739,2093,1941,-520,368,152
2007-06-05,2661,2745,1917,1891,1976,1918,-84,26,58
2007-06-12,2706,2654,1952,1995,2066,2075,52,-43,-9
2007-06-19,2753,2302,2174,2691,2205,2139,451,-517,66
2007-06-26,2841,2274,2306,2775,1964,2062,567,-469,-98
2007-07-03,2754,2054,1801,2376,1951,2076,700,-575,-125
2007-07-10,2822,1950,1800,2530,1670,1812,872,-730,-142
2007-07-17,2624,1762,1839,2471,1596,1826,862,-632,-230
2007-07-24,2574,1897,1988,2211,1358,1812,677,-223,-454
2007-07-31,2598,2075,2066,2143,1778,2224,523,-77,-446
2007-08-07,2707,2318,2463,2497,1631,1986,389,-34,-355
2007-08-14,2167,2443,2552,2170,1877,1983,-276,382,-106
2007-08-21,2229,2060,2498,2282,1663,2048,169,216,-385
2007-08-28,2431,2579,2189,1889,1694,1846,-148,300,-152
