date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,112799,104710,174732,163067,31531,51285,8089,11665,-19754
2006-01-10,109431,128717,214167,194238,19531,20174,-19286,19929,-643
2006-01-17,117973,95738,206148,234287,22987,17083,22235,-28139,5904
2006-01-24,109579,95226,214054,221768,27785,34424,14353,-7714,-6639
2006-01-31,111717,83973,219852,237207,25707,36096,27744,-17355,-10389
2006-02-07,111006,94106,221117,217888,23728,43857,16900,3229,-20129
2006-02-14,106205,103366,213347,198086,24600,42700,2839,15261,-18100
2006-02-21,109064,131814,244319,188392,25216,58393,-22750,55927,-33177
2006-02-28,105782,109785,235832,189277,25390,67942,-4003,46555,-42552
2006-03-07,113763,124100,262855,196807,23317,79028,-10337,66048,-55711
2006-03-14,116396,103456,311140,269960,36144,90264,12940,41180,-54120
2006-03-21,75475,105640,111392,100751,36705,17181,-30165,10641,19524
2006-03-28,70125,122330,142071,106845,33693,16714,-52205,35226,16979
2006-04-04,106121,113474,122523,147271,53550,21449,-7353,-24748,32101
2006-04-11,97794,114773,135832,157549,51989,13293,-16979,-21717,38696
2006-04-18,116103,110468,149247,185248,47922,17556,5635,-36001,30366
2006-04-25,111860,118084,159553,183685,48475,18119,-6224,-24132,30356
2006-05-02,106799,138043,206399,194555,38238,18838,-31244,11844,19400
2006-05-09,96900,132394,210913,209640,47102,12881,-35494,1273,34221
2006-05-16,79422,169271,260631,175484,30458,25756,-89849,85147,4702
2006-05-23,100386,193745,282386,186165,30155,33017,-93359,96221,-2862
2006-05-30,105598,207649,291033,173128,27984,43838,-102051,117905,-15854
2006-06-06,105415,216542,326331,176814,23754,62144,-111127,149517,-38390
2006-06-13,122616,250046,406005,243713,56461,91323,-127430,162292,-34862
2006-06-20,69447,170809,219960,133370,39594,24822,-101362,86590,14772
2006-06-27,69655,182433,241850,149034,40697,20735,-112778,92816,19962
2006-07-03,59317,131492,199967,174126,63456,17122,-72175,25841,46334
2006-07-11,88148,155390,214307,165379,38642,20328,-67242,48928,18314
2006-07-18,89172,191207,293628,204462,35507,22638,-102035,89166,12869
2006-07-25,83265,184396,291329,204568,37553,23183,-101131,86761,14370
2006-08-01,47398,198904,349535,191330,20527,27226,-151506,158205,-6699
2006-08-08,54657,181924,349778,209770,26889,39630,-127267,140008,-12741
2006-08-15,77688,168135,312934,240909,40388,21966,-90447,72025,18422
2006-08-22,60442,142921,294673,242050,54822,24966,-82479,52623,29856
2006-08-29,69621,150719,274789,224032,53696,23355,-81098,50757,30341
2006-09-05,72859,153389,271371,222902,61506,29445,-80530,48469,32061
2006-09-12,81314,165820,383557,318597,66809,47263,-84506,64960,19546
2006-09-19,59696,117068,288988,197122,24965,59459,-57372,91866,-34494
2006-09-26,72982,154283,316786,222611,26485,39359,-81301,94175,-12874
2006-10-03,83431,165576,316345,219817,22981,37364,-82145,96528,-14383
2006-10-10,101592,179205,304616,249402,46158,23759,-77613,55214,22399
2006-10-17,106352,139725,291356,286960,79881,50904,-33373,4396,28977
2006-10-24,110432,130995,247117,265462,62974,24066,-20563,-18345,38908
2006-10-31,110425,134379,190914,255056,113145,25049,-23954,-64142,88096
2006-11-07,143543,161066,192920,266664,115176,23909,-17523,-73744,91267
2006-11-14,156663,162904,193087,289160,125286,22972,-6241,-96073,102314
2006-11-21,172063,162229,202638,344250,153355,21577,9834,-141612,131778
2006-11-28,168888,162932,184713,312905,145166,22930,5956,-128192,122236
2006-12-05,181763,155160,185519,331020,154231,35333,26603,-145501,118898
2006-12-12,159020,169581,235028,361287,179411,42591,-10561,-126259,136820
2006-12-19,139859,83656,133624,181566,30063,38324,56203,-47942,-8261
2006-12-26,115461,99123,167159,167885,31685,47297,16338,-726,-15612
2007-01-03,118457,113636,203390,166774,31139,72576,4821,36616,-41437
2007-01-09,112770,84809,185358,187222,33262,59359,27961,-1864,-26097
2007-01-16,144320,111162,193786,232614,34823,29153,33158,-38828,5670
2007-01-23,145827,113980,194506,232801,37886,31438,31847,-38295,6448
2007-01-30,128940,125456,163290,172245,35985,30514,3484,-8955,5471
2007-02-06,114016,149149,177501,146133,38149,34384,-35133,31368,3765
2007-02-13,115345,157213,204933,158104,33579,38540,-41868,46829,-4961
2007-02-20,146154,167024,177943,161882,36202,31393,-20870,16061,4809
2007-02-27,112513,163611,220230,173445,42492,38179,-51098,46785,4313
2007-03-06,63195,148416,324337,185376,47174,100914,-85221,138961,-53740
2007-03-13,52695,177321,463804,271217,63616,131577,-124626,192587,-67961
2007-03-20,47691,136219,262613,156341,17387,35131,-88528,106272,-17744
2007-03-27,65226,135253,245823,178055,19220,16961,-70027,67768,2259
2007-04-03,88484,137020,225980,190222,31957,19179,-48536,35758,12778
2007-04-10,74384,149764,260138,207133,42147,19772,-75380,53005,22375
2007-04-17,92086,162166,248881,203362,47202,22641,-70080,45519,24561
2007-04-24,113222,179192,245275,209055,62599,32849,-65970,36220,29750
2007-05-01,155351,163933,230128,248544,62940,35942,-8582,-18416,26998
2007-05-08,162777,171709,236782,263366,62484,26968,-8932,-26584,35516
2007-05-15,149707,180772,243873,245536,57142,24414,-31065,-1663,32728
2007-05-22,172479,176004,235763,269680,58540,21098,-3525,-33917,37442
2007-05-29,145953,175150,257185,249948,47621,25661,-29197,7237,21960
2007-06-05,163399,196888,265325,254092,45155,22899,-33489,11233,22256
2007-06-12,146359,203800,383160,337438,60314,48595,-57441,45722,11719
2007-06-19,141631,97660,188565,231798,22166,22904,43971,-43233,-738
2007-06-26,123529,96965,215780,233839,25253,33758,26564,-18059,-8505
2007-07-03,138193,91679,227602,270187,23292,27221,46514,-42585,-3929
2007-07-10,137073,104877,225573,260750,25148,22167,32196,-35177,2981
2007-07-17,157808,111291,208737,269655,40438,26037,46517,-60918,14401
2007-07-24,176869,100138,199162,311493,54503,18903,76731,-112331,35600
2007-07-31,171115,110261,217652,309578,50304,19232,60854,-91926,31072
2007-08-07,150411,101856,231282,308969,52953,23821,48555,-77687,29132
2007-08-14,143306,116511,220760,282771,52859,17643,26795,-62011,35216
2007-08-21,128923,128436,234710,260662,42826,17361,487,-25952,25465
2007-08-28,124741,131035,234893,248291,37302,17610,-6294,-13398,19692
2007-09-04,114734,102016,245328,297226,62885,23705,12718,-51898,39180
2007-09-11,117571,107085,287344,349264,71277,19843,10486,-61920,51434
2007-09-18,130320,105712,336203,413985,79181,26007,24608,-77782,53174
2007-09-25,111158,102961,157913,196221,48816,18705,8197,-38308,30111
2007-10-02,143475,114495,153568,232497,69177,19228,28980,-78929,49949
2007-10-09,159155,126658,162157,251081,76678,20251,32497,-88924,56427
2007-10-16,175111,124606,165418,276074,76865,16714,50505,-110656,60151
2007-10-23,175217,134668,175143,267104,71356,19944,40549,-91961,51412
2007-10-30,164499,146656,184825,262460,77695,17903,17843,-77635,59792
2007-11-06,161728,165865,192754,258743,87551,17425,-4137,-65989,70126
2007-11-13,128989,153032,222615,245988,73933,26517,-24043,-23373,47416
2007-11-20,121218,177857,240800,218201,59958,25918,-56639,22599,34040
2007-11-27,127476,195723,229574,201804,60745,20268,-68247,27770,40477
2007-12-04,126995,182452,213495,205560,64534,17012,-55457,7935,47522
2007-12-11,113153,187144,232573,216865,80297,22014,-73991,15708,58283
2007-12-18,104296,182445,325508,286793,77013,37579,-78149,38715,39434
2007-12-24,77853,127795,160266,126851,36656,20129,-49942,33415,16527
2007-12-31,87463,138614,160740,125562,27980,12007,-51151,35178,15973
2008-01-08,116810,162852,170025,142628,38113,19468,-46042,27397,18645
2008-01-15,88063,174111,224715,148178,32050,22539,-86048,76537,9511
2008-01-22,111116,141030,187945,168228,66645,56448,-29914,19717,10197
2008-01-29,98959,155039,221663,172292,36492,29783,-56080,49371,6709
2008-02-05,92011,168355,247064,173334,36337,33723,-76344,73730,2614
2008-02-12,94463,176742,262484,177095,39678,42788,-82279,85389,-3110
2008-02-19,106532,200797,291155,186583,29756,40063,-94265,104572,-10307
2008-02-26,101866,177509,272162,192539,25486,29466,-75643,79623,-3980
2008-03-04,109977,198465,304229,202980,23208,35969,-88488,101249,-12761
2008-03-11,120915,176245,277032,207659,32494,46537,-55330,69373,-14043
2008-03-18,114849,197684,381165,273421,61574,86483,-82835,107744,-24909
2008-03-25,82094,159683,181995,126410,42527,20523,-77589,55585,22004
2008-04-01,77305,148097,176800,135145,53263,24126,-70792,41655,29137
2008-04-08,68513,151932,186389,135937,54225,21258,-83419,50452,32967
2008-04-15,65019,152282,194996,136526,48252,19459,-87263,58470,28793
2008-04-22,64642,130600,192052,159038,53048,20104,-65958,33014,32944
