date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,40809,84713,247597,243791,69120,29022,-43904,3806,40098
2006-01-10,43883,90830,251158,244506,72419,32124,-46947,6652,40295
2006-01-17,47493,98170,253762,245148,71147,29084,-50677,8614,42063
2006-01-24,49736,97668,249388,242441,70790,29805,-47932,6947,40985
2006-01-31,53616,90045,241398,240030,63849,28788,-36429,1368,35061
2006-02-07,53103,92870,256793,258967,67769,25828,-39767,-2174,41941
2006-02-14,54085,93072,271947,271505,68818,30273,-38987,442,38545
2006-02-21,49488,96125,279387,272520,69457,29687,-46637,6867,39770
2006-02-28,34317,73486,261765,266777,72455,28274,-39169,-5012,44181
2006-03-07,34002,75868,269027,272859,76767,31069,-41866,-3832,45698
2006-03-14,34501,76274,271529,274477,78493,33772,-41773,-2948,44721
2006-03-21,41665,80420,271321,278864,81709,35411,-38755,-7543,46298
2006-03-28,43993,72379,263733,279995,83857,39209,-28386,-16262,44648
2006-04-04,53474,82078,260459,277370,80656,35141,-28604,-16911,45515
2006-04-11,58583,91797,269386,281691,80439,34920,-33214,-12305,45519
2006-04-18,58825,87791,278654,301282,80110,28516,-28966,-22628,51594
2006-04-25,63221,76661,288713,319553,77971,33691,-13440,-30840,44280
2006-05-02,70093,96675,304227,322613,77491,32523,-26582,-18386,44968
2006-05-09,74909,103677,318978,330739,78714,38185,-28768,-11761,40529
2006-05-16,83664,109651,338320,350055,75460,37738,-25987,-11735,37722
2006-05-23,87136,109562,346593,357453,74471,41185,-22426,-10860,33286
2006-05-30,90804,103112,337077,362603,73375,35541,-12308,-25526,37834
2006-06-06,90364,94553,347025,378389,71682,36129,-4189,-31364,35553
2006-06-13,96536,87377,349076,392802,71281,36714,9159,-43726,34567
2006-06-20,88134,72315,349378,402866,76970,39301,15819,-53488,37669
2006-06-27,94092,76775,343105,399612,77451,38261,17317,-56507,39190
2006-07-03,95446,78401,345164,396559,70971,36621,17045,-51395,34350
2006-07-11,98769,84606,358314,407748,74363,39092,14163,-49434,35271
2006-07-18,94460,79415,364802,417586,77582,39843,15045,-52784,37739
2006-07-25,94860,72484,361379,419907,74005,37853,22376,-58528,36152
2006-08-01,90162,65051,365469,428222,71784,34142,25111,-62753,37642
2006-08-08,92800,63235,362169,433202,73776,32308,29565,-71033,41468
2006-08-15,97178,65441,357894,431906,75402,33127,31737,-74012,42275
2006-08-22,106283,72103,364803,439602,73536,32917,34180,-74799,40619
2006-08-29,110230,64969,387074,467778,65707,30264,45261,-80704,35443
2006-09-05,105576,73642,373207,440507,84171,48805,31934,-67300,35366
2006-09-12,121290,81232,380624,452038,74893,43537,40058,-71414,31356
2006-09-19,115749,82832,393169,457227,73129,41988,32917,-64058,31141
2006-09-26,139249,99014,387733,461442,75474,42000,40235,-73709,33474
2006-10-03,145386,98513,377429,456462,72044,39884,46873,-79033,32160
2006-10-10,131721,85978,372772,450415,72744,40844,45743,-77643,31900
2006-10-17,131505,89324,373284,447710,74975,42730,42181,-74426,32245
2006-10-24,130983,89750,369957,444260,72942,39872,41233,-74303,33070
2006-10-31,128025,80039,358142,434815,67441,38754,47986,-76673,28687
2006-11-07,123015,82764,362693,431995,65805,36754,40251,-69302,29051
2006-11-14,126703,81424,370715,440352,63904,39546,45279,-69637,24358
2006-11-21,125623,82145,373274,438908,59869,37713,43478,-65634,22156
2006-11-28,128252,76708,356768,426460,55397,37249,51544,-69692,18148
2006-12-05,135562,86482,354480,423640,59095,39015,49080,-69160,20080
2006-12-12,134167,93491,355970,425893,61205,31958,40676,-69923,29247
2006-12-19,120285,99040,364298,418947,70353,36949,21245,-54649,33404
2006-12-26,105902,96427,362159,409832,71157,32959,9475,-47673,38198
2007-01-03,110386,97986,359028,397590,63379,37217,12400,-38562,26162
2007-01-09,109091,106216,370544,396841,58462,35040,2875,-26297,23422
2007-01-16,108687,113676,388274,407866,63530,38949,-4989,-19592,24581
2007-01-23,98210,102131,389189,411145,64632,38755,-3921,-21956,25877
2007-01-30,90373,91797,377453,401103,61827,36753,-1424,-23650,25074
2007-02-06,89807,92364,371934,398134,67880,39123,-2557,-26200,28757
2007-02-13,89588,95858,381391,402473,62813,35461,-6270,-21082,27352
2007-02-20,88047,93621,379504,401263,61220,33887,-5574,-21759,27333
2007-02-27,80167,72522,344647,381773,60223,30742,7645,-37126,29481
2007-03-06,80368,81908,351610,381944,61878,30004,-1540,-30334,31874
2007-03-13,80665,95296,353484,370105,67178,35926,-14631,-16621,31252
2007-03-20,85424,109286,360453,368631,64654,32614,-23862,-8178,32040
2007-03-27,70851,100340,355061,359274,68109,34407,-29489,-4213,33702
2007-04-03,72245,93234,346433,359925,64588,30107,-20989,-13492,34481
2007-04-10,84560,103102,339325,359162,70670,32291,-18542,-19837,38379
2007-04-17,74185,101170,359727,366751,67014,33005,-26985,-7024,34009
2007-04-24,73269,102109,356875,361966,67999,34068,-28840,-5091,33931
2007-05-01,70113,97357,355545,359938,66011,34374,-27244,-4393,31637
2007-05-08,69683,90855,353969,367221,66297,31873,-21172,-13252,34424
2007-05-15,76183,89874,357052,376394,68659,35626,-13691,-19342,33033
2007-05-22,75234,89765,359846,380534,69322,34103,-14531,-20688,35219
2007-05-29,70433,91576,358747,368660,62364,31308,-21143,-9913,31056
2007-06-05,76788,94171,359091,372578,60897,30027,-17383,-13487,30870
2007-06-12,78208,106873,364224,364480,60816,31895,-28665,-256,28921
2007-06-19,76031,105264,381466,382418,64810,34625,-29233,-952,30185
2007-06-26,86249,124202,384252,373596,63192,35895,-37953,10656,27297
2007-07-03,85008,134721,384770,363603,60840,32294,-49713,21167,28546
2007-07-10,88761,145170,386510,364029,68244,34316,-56409,22481,33928
2007-07-17,90166,151315,384613,357204,66924,33184,-61149,27409,33740
2007-07-24,90629,163772,389230,350482,69836,35441,-73143,38748,34395
2007-07-31,84841,157122,377808,339192,68658,34993,-72281,38616,33665
2007-08-07,82516,148928,371559,335133,65466,35480,-66412,36426,29986
2007-08-14,79774,141577,366952,338781,65457,31825,-61803,28171,33632
2007-08-21,76413,136344,357121,334954,67423,29659,-59931,22167,37764
2007-08-28,78005,144423,361864,334024,71722,33144,-66418,27840,38578
2007-09-04,83596,148092,359143,330162,72291,36776,-64496,28981,35515
2007-09-11,90724,154018,372198,340852,66587,34639,-63294,31346,31948
2007-09-18,83898,143293,385546,355728,65179,35602,-59395,29818,29577
2007-09-25,70110,135091,365065,329903,65878,36059,-64981,35162,29819
2007-10-02,73895,129808,356413,329116,65017,36401,-55913,27297,28616
2007-10-09,74943,135830,347982,315567,63649,35177,-60887,32415,28472
2007-10-16,71759,128997,355033,327655,67906,38046,-57238,27378,29860
2007-10-23,79615,137950,353055,327661,67608,34667,-58335,25394,32941
2007-10-30,73480,124947,344184,321222,64419,35914,-51467,22962,28505
2007-11-06,70304,125662,353581,332515,66357,32065,-55358,21066,34292
2007-11-13,73910,140326,368937,334654,68791,36658,-66416,34283,32133
2007-11-20,75085,151322,378242,338262,69848,33591,-76237,39980,36257
2007-11-27,79413,154087,376461,336485,66471,31773,-74674,39976,34698
2007-12-04,90989,178785,399181,333610,57409,35184,-87796,65571,22225
2007-12-11,92260,186804,411509,334996,58945,40914,-94544,76513,18031
2007-12-18,95702,194068,419806,346514,62934,37860,-98366,73292,25074
2007-12-24,92848,207816,430441,340458,58647,33662,-114968,89983,24985
2007-12-31,90903,194392,428667,345256,55163,35085,-103489,83411,20078
2008-01-08,82425,178003,439739,367906,59314,35569,-95578,71833,23745
2008-01-15,76485,177759,447528,374512,62627,34369,-101274,73016,28258
2008-01-22,78138,184975,453739,376376,58163,28689,-106837,77363,29474
2008-01-29,80620,182103,448327,371024,62233,38053,-101483,77303,24180
2008-02-05,81066,185320,458476,379955,58192,32459,-104254,78521,25733
2008-02-12,111674,204898,440869,377196,62197,32646,-93224,63673,29551
2008-02-19,132138,210851,423104,372524,63091,34958,-78713,50580,28133
2008-02-26,137308,237252,415249,366446,96638,45497,-99944,48803,51141
2008-03-04,151830,229536,399284,369133,78839,31284,-77706,30151,47555
2008-03-11,135281,211021,396704,368196,81268,34036,-75740,28508,47232
2008-03-18,132878,201378,385400,359197,73381,31084,-68500,26203,42297
2008-03-25,136823,202843,378268,354270,71387,29365,-66020,23998,42022
2008-04-01,143900,209369,370766,342430,68639,31506,-65469,28336,37133
2008-04-08,142993,208132,362281,339819,70079,27402,-65139,22462,42677
2008-04-15,143674,209743,372246,349599,71236,27814,-66069,22647,43422
2008-04-22,150411,208093,363404,348477,73304,30549,-57682,14927,42755
2008-04-29,139079,212561,360952,332126,75069,30413,-73482,28826,44656
2008-05-06,140117,213217,357467,328289,73488,29566,-73100,29178,43922
2008-05-13,148119,214797,355136,334285,78603,32776,-66678,20851,45827
2008-05-20,155841,225037,359659,339113,78106,29456,-69196,20546,48650
2008-05-27,180898,252312,357185,332965,75450,28256,-71414,24220,47194
2008-06-03,194335,261238,351588,326768,74992,32909,-66903,24820,42083
2008-06-10,195983,265493,348380,328080,76123,26913,-69510,20300,49210
2008-06-17,190987,270198,353244,321036,81580,34577,-79211,32208,47003
2008-06-24,213616,295917,357583,319248,76441,32475,-82301,38335,43966
2008-07-01,205398,306725,358793,311272,85038,31232,-101327,47521,53806
2008-07-08,215328,310174,360778,306373,74995,34554,-94846,54405,40441
2008-07-15,217143,317791,363085,308216,79237,33458,-100648,54869,45779
2008-07-22,214567,314807,323023,271017,83540,35306,-100240,52006,48234
2008-07-29,206393,326027,327471,254762,78660,31735,-119634,72709,46925
2008-08-05,217336,342369,331138,249400,78066,34771,-125033,81738,43295
2008-08-12,216501,345730,330635,242011,74675,34070,-129229,88624,40605
2008-08-19,201203,348339,339054,233553,75750,34115,-147136,105501,41635
2008-08-26,203620,359764,340058,229444,75122,29592,-156144,110614,45530
2008-09-02,215883,376959,340396,222558,80613,37375,-161076,117838,43238
2008-09-09,213193,386026,339668,209884,79268,36219,-172833,129784,43049
2008-09-16,213675,384726,330234,199851,77596,36928,-171051,130383,40668
2008-09-23,220973,393752,335557,203318,74002,33462,-172779,132239,40540
2008-09-30,218592,396198,334786,194289,70263,33154,-177606,140497,37109
2008-10-07,209841,385734,338334,196389,68749,34801,-175893,141945,33948
2008-10-14,198012,370709,342918,205102,70409,35528,-172697,137816,34881
2008-10-21,188072,360204,343045,206268,72060,36705,-172132,136777,35355
2008-10-28,101251,267309,331080,202260,72035,34797,-166058,128820,37238
2008-11-04,93982,254303,319263,198448,71199,31693,-160321,120815,39506
2008-11-11,91844,252195,315522,192673,74000,36498,-160351,122849,37502
2008-11-18,84867,251207,315943,188126,73986,35463,-166340,127817,38523
2008-11-25,81662,233367,296707,179983,71203,36222,-151705,116724,34981
2008-12-02,80695,234434,293148,180440,74890,33859,-153739,112708,41031
2008-12-09,83331,242142,299191,179203,76375,37552,-158811,119988,38823
2008-12-16,79938,242772,301419,178382,75094,35297,-162834,123037,39797
2008-12-22,79264,233877,295732,175867,61057,26309,-154613,119865,34748
2008-12-30,72327,217141,284297,175635,69772,33620,-144814,108662,36152
2009-01-06,77702,225003,292777,183917,73439,34998,-147301,108860,38441
2009-01-13,78652,220555,297339,192147,76232,39521,-141903,105192,36711
2009-01-20,73988,219809,299812,188241,74861,40611,-145821,111571,34250
2009-01-27,72185,217658,288370,180250,79624,42271,-145473,108120,37353
2009-02-03,74971,219750,286695,176208,77313,43021,-144779,110487,34292
2009-02-10,70068,212750,285959,181713,78477,40041,-142682,104246,38436
2009-02-17,69878,210402,297237,195425,79188,40476,-140524,101812,38712
2009-02-24,69723,218627,269423,172462,79006,27063,-148904,96961,51943
2009-03-03,66171,193905,265809,176613,78118,39580,-127734,89196,38538
2009-03-10,74242,188306,254721,176621,76141,40177,-114064,78100,35964
2009-03-17,72875,188062,257737,180890,77395,39055,-115187,76847,38340
2009-03-24,73597,194615,253059,181915,82097,32223,-121018,71144,49874
2009-03-31,70441,192899,253851,172490,79209,38112,-122458,81361,41097
2009-04-07,75607,201812,256406,174753,84374,39822,-126205,81653,44552
2009-04-14,75773,202382,264604,183550,83171,37616,-126609,81054,45555
2009-04-21,72277,200264,264739,178671,81327,39408,-127987,86068,41919
2009-04-28,71879,200858,261319,172019,77461,37782,-128979,89300,39679
2009-05-05,77514,208364,265773,173688,79725,40960,-130850,92085,38765
2009-05-12,88069,219806,267829,179304,84146,40934,-131737,88525,43212
2009-05-19,79964,215174,278551,187130,81061,37272,-135210,91421,43789
2009-05-26,85537,217100,265703,181552,90982,43570,-131563,84151,47412
2009-06-02,85161,223920,275375,180421,74912,31107,-138759,94954,43805
2009-06-09,103569,243222,277029,183172,91303,45507,-139653,93857,45796
2009-06-16,80357,233720,294883,189931,93175,44764,-153363,104952,48411
2009-06-23,75220,229028,295530,187362,85801,40161,-153808,108168,45640
2009-06-30,94339,247608,299819,187175,84170,43545,-153269,112644,40625
2009-07-07,98502,258983,314386,193378,84326,44853,-160481,121008,39473
2009-07-14,99055,263737,305396,193504,94701,41911,-164682,111892,52790
2009-07-21,88207,246643,321954,204504,85008,44022,-158436,117450,40986
2009-07-28,89058,250008,303068,187245,88357,43230,-160950,115823,45127
