date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,4991,481,967,6839,2988,1539,4510,-5872,1449
2006-01-10,5008,561,981,6728,3172,1726,4447,-5747,1446
2006-01-17,5135,566,1030,6923,3224,1652,4569,-5893,1572
2006-01-24,4946,693,1350,6799,3239,1793,4253,-5449,1446
2006-01-31,5405,866,1194,7420,4651,2782,4539,-6226,1869
2006-02-07,6132,734,917,7715,4202,2478,5398,-6798,1724
2006-02-14,5627,520,811,7502,3881,1910,5107,-6691,1971
2006-02-21,5410,516,897,7419,3920,1875,4894,-6522,2045
2006-02-28,5166,355,901,7269,3765,1740,4811,-6368,2025
2006-03-07,5106,320,969,7298,3655,1601,4786,-6329,2054
2006-03-14,4696,216,1039,6930,3723,1790,4480,-5891,1933
2006-03-21,3552,708,1323,4985,3094,1885,2844,-3662,1209
2006-03-28,3239,789,1129,4363,3031,1786,2450,-3234,1245
2006-04-04,1257,688,751,2049,4321,2989,569,-1298,1332
2006-04-11,1141,626,898,1865,3306,2147,515,-967,1159
2006-04-18,994,666,783,1544,3451,2043,328,-761,1408
2006-04-25,77,0,0,229,3430,2182,77,-229,1248
2006-05-02,4621,156,2947,8613,3207,2006,4465,-5666,1201
2006-05-09,5336,357,2993,9452,3442,1962,4979,-6459,1480
2006-05-16,5780,263,3209,10319,4097,2504,5517,-7110,1593
2006-05-23,6065,305,3320,10907,3893,2066,5760,-7587,1827
2006-05-30,5131,254,3574,10372,3979,2058,4877,-6798,1921
2006-06-06,5037,277,4172,10235,3366,2063,4760,-6063,1303
2006-06-13,5243,278,3993,10175,3442,2226,4965,-6182,1216
2006-06-20,5679,252,4018,10485,3086,2046,5427,-6467,1040
2006-06-27,6826,178,3690,11364,3368,2343,6648,-7674,1025
2006-07-03,6449,258,3343,10774,3513,2274,6191,-7431,1239
2006-07-11,6890,499,3242,11376,3839,2097,6391,-8134,1742
2006-07-18,7352,342,3176,11379,3481,2293,7010,-8203,1188
2006-07-25,6470,334,3325,11127,3569,1919,6136,-7802,1650
2006-08-01,6271,336,2640,10231,3576,1921,5935,-7591,1655
2006-08-08,5846,334,2914,9837,3174,1765,5512,-6923,1409
2006-08-15,5361,178,2906,9226,3069,1929,5183,-6320,1140
2006-08-22,5331,307,2448,8587,3109,1971,5024,-6139,1138
2006-08-29,5234,320,2168,8027,2746,1764,4914,-5859,982
2006-09-05,5459,284,2165,8767,2903,1430,5175,-6602,1473
2006-09-12,5416,307,2300,8411,2669,1617,5109,-6111,1052
2006-09-19,5900,288,2439,9046,2902,1849,5612,-6607,1053
2006-09-26,6098,96,2997,9412,2770,2288,6002,-6415,482
2006-10-03,6421,234,2713,9537,2812,2106,6187,-6824,706
2006-10-10,6844,190,2948,10729,3140,1943,6654,-7781,1197
2006-10-17,6367,146,3916,11155,3011,1912,6221,-7239,1099
2006-10-24,6325,185,4371,11520,3161,2040,6140,-7149,1121
2006-10-31,6021,134,5040,11908,3326,2193,5887,-6868,1133
2006-11-07,5708,222,5015,11742,3273,1781,5486,-6727,1492
2006-11-14,5536,245,4530,11066,3288,1735,5291,-6536,1553
2006-11-21,5237,572,4470,10129,2621,1193,4665,-5659,1428
2006-11-28,4890,635,3538,9026,3338,1635,4255,-5488,1703
2006-12-05,4121,645,3752,8439,3261,1574,3476,-4687,1687
2006-12-12,3843,467,4026,8633,3333,1651,3376,-4607,1682
2006-12-19,3633,212,3328,8281,3666,1710,3421,-4953,1956
2006-12-26,3955,243,3276,8689,3785,1647,3712,-5413,2138
2007-01-03,4123,273,3377,8395,3683,1859,3850,-5018,1824
2007-01-09,3623,306,3764,7936,3324,1856,3317,-4172,1468
2007-01-16,3343,297,3831,7715,3301,1747,3046,-3884,1554
2007-01-23,3469,400,3889,7881,3541,1898,3069,-3992,1643
2007-01-30,3217,510,3656,7274,3753,2091,2707,-3618,1662
2007-02-06,2996,503,4099,7457,3536,1851,2493,-3358,1685
2007-02-13,2340,798,3876,6352,3555,1908,1542,-2476,1647
2007-02-20,2038,1236,3724,5496,3845,2028,802,-1772,1817
2007-02-27,2049,1004,3510,5520,3906,1673,1045,-2010,2233
2007-03-06,1779,1281,3604,4849,3666,1690,498,-1245,1976
2007-03-13,2283,611,3348,5588,3769,1746,1672,-2240,2023
2007-03-20,3039,204,3025,6474,4132,1863,2835,-3449,2269
2007-03-27,3739,472,2800,6829,5153,2248,3267,-4029,2905
2007-04-03,2927,257,658,4253,5519,2664,2670,-3595,2855
2007-04-10,2652,265,652,3913,5440,2330,2387,-3261,3110
2007-04-17,1364,142,347,1888,5154,2457,1222,-1541,2697
2007-04-24,389,36,273,700,4380,2115,353,-427,2265
2007-05-01,6213,3,7044,15025,3987,2216,6210,-7981,1771
2007-05-08,5898,6,7161,14947,3952,2058,5892,-7786,1894
2007-05-15,5720,131,7201,14648,3996,2138,5589,-7447,1858
2007-05-22,6511,1533,6862,13722,3948,2066,4978,-6860,1882
2007-05-29,7100,1382,5990,13620,4106,2194,5718,-7630,1912
2007-06-05,7803,1424,6150,14612,4233,2150,6379,-8462,2083
2007-06-12,7896,1469,6216,14774,4260,2129,6427,-8558,2131
2007-06-19,7518,121,6366,15772,3752,1743,7397,-9406,2009
2007-06-26,7176,7,6069,15006,3432,1665,7169,-8937,1767
2007-07-03,6382,6,5623,13417,3121,1685,6376,-7794,1436
2007-07-10,6408,10,5573,13635,3255,1592,6398,-8062,1663
2007-07-17,5874,68,5926,13312,3427,1829,5806,-7386,1598
2007-07-24,5241,336,5445,11408,3249,2173,4905,-5963,1076
2007-07-31,5202,559,5468,11243,3211,2061,4643,-5775,1150
2007-08-07,5225,433,4838,10895,3047,1764,4792,-6057,1283
2007-08-14,5326,520,4938,11013,3001,1732,4806,-6075,1269
2007-08-21,4850,559,5367,10594,2875,1922,4291,-5227,953
