date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,10153,4332,14456,21672,3393,2000,5821,-7216,1393
2006-01-10,11609,4324,13116,22303,3845,1966,7285,-9187,1879
2006-01-17,10687,3696,14443,22619,3041,1875,6991,-8176,1166
2006-01-24,7606,3732,15198,19536,3134,2688,3874,-4338,446
2006-01-31,7160,5720,16415,18734,3297,2425,1440,-2319,872
2006-02-07,10627,4554,15274,22587,3513,2281,6073,-7313,1232
2006-02-14,13265,4956,14951,24220,3620,2663,8309,-9269,957
2006-02-21,13826,6980,16105,23913,3781,2823,6846,-7808,958
2006-02-28,15510,7653,12551,22117,3783,2060,7857,-9566,1723
2006-03-07,15835,7397,11122,20812,3710,2442,8438,-9690,1268
2006-03-14,16991,7365,11058,22105,3878,2431,9626,-11047,1447
2006-03-21,17762,7683,10824,22100,4061,2801,10079,-11276,1260
2006-03-28,19128,8934,10470,21867,4949,3689,10194,-11397,1260
2006-04-04,19671,8410,9630,21556,4547,3818,11261,-11926,729
2006-04-11,16906,7352,10810,21339,3757,2715,9554,-10529,1042
2006-04-18,15902,6739,10904,21414,3873,2464,9163,-10510,1409
2006-04-25,15286,5420,11719,23325,5695,3890,9866,-11606,1805
2006-05-02,17438,6960,8961,21619,4343,2096,10478,-12658,2247
2006-05-09,18765,5203,8195,24297,4762,2178,13562,-16102,2584
2006-05-16,19433,4853,6523,23807,4826,2026,14580,-17284,2800
2006-05-23,15304,3529,6450,20773,4200,1557,11775,-14323,2643
2006-05-30,15008,3436,5898,19987,4521,1930,11572,-14089,2591
2006-06-06,12967,3214,6347,18230,5150,2919,9753,-11883,2231
2006-06-13,13704,3382,6474,18571,3858,2007,10322,-12097,1851
2006-06-20,13542,4044,5792,17536,4873,2294,9498,-11744,2579
2006-06-27,15185,4093,5917,19174,4336,1895,11092,-13257,2441
2006-07-03,15893,3561,5480,20099,4478,1884,12332,-14619,2594
2006-07-11,13981,2287,5541,19220,3800,1502,11694,-13679,2298
2006-07-18,11904,3079,6616,17350,3987,1808,8825,-10734,2179
2006-07-25,11640,2701,6454,17313,3866,1658,8939,-10859,2208
2006-08-01,12391,3166,6305,17463,4121,1857,9225,-11158,2264
2006-08-08,12963,3759,6606,17396,3867,1974,9204,-10790,1893
2006-08-15,13617,3795,6800,18111,3870,2125,9822,-11311,1745
2006-08-22,12184,2625,7990,19335,4123,1990,9559,-11345,2133
2006-08-29,13173,2909,6762,18808,4285,2138,10264,-12046,2147
2006-09-05,12823,2462,5338,17012,3811,2131,10361,-11674,1680
2006-09-12,12619,2795,6172,16987,3616,2246,9824,-10815,1370
2006-09-19,11192,3111,6595,15399,3521,2329,8081,-8804,1192
2006-09-26,9431,2926,6738,13336,3219,2584,6505,-6598,635
2006-10-03,7899,1994,6514,12586,4342,3531,5905,-6072,811
2006-10-10,6882,2304,5305,9440,2559,2551,4578,-4135,8
2006-10-17,6830,2698,4172,8450,3174,1812,4132,-4278,1362
2006-10-24,1872,462,3771,5279,3458,1617,1410,-1508,1841
