date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,6835,1282,3618,12398,3477,250,5553,-8780,3227
2006-01-10,6513,1486,3272,11478,3556,377,5027,-8206,3179
2006-01-17,6857,1604,3332,11979,3630,236,5253,-8647,3394
2006-01-24,6878,1588,3782,12247,3414,239,5290,-8465,3175
2006-01-31,8099,1668,2940,12899,3970,442,6431,-9959,3528
2006-02-07,8380,1665,2816,13290,4346,587,6715,-10474,3759
2006-02-14,8112,1689,3030,12853,3995,595,6423,-9823,3400
2006-02-21,8201,1816,3370,13046,3949,658,6385,-9676,3291
2006-02-28,8224,1703,4289,14017,3486,279,6521,-9728,3207
2006-03-07,8525,1791,2861,12850,3852,597,6734,-9989,3255
2006-03-14,8334,1923,2185,11419,3534,711,6411,-9234,2823
2006-03-21,8852,1863,2140,11757,3308,680,6989,-9617,2628
2006-03-28,10585,2435,1523,12344,3377,706,8150,-10821,2671
2006-04-04,11184,2498,1452,12906,3466,698,8686,-11454,2768
2006-04-11,11378,2618,2304,14045,3526,545,8760,-11741,2981
2006-04-18,11125,2718,2041,13549,3670,569,8407,-11508,3101
2006-04-25,10538,2978,2643,13122,3539,620,7560,-10479,2919
2006-05-02,11461,3143,2593,13770,3480,621,8318,-11177,2859
2006-05-09,11180,3258,2891,13704,3430,539,7922,-10813,2891
2006-05-16,10825,3086,2628,13461,3451,357,7739,-10833,3094
2006-05-23,9887,3182,2799,12139,3646,1011,6705,-9340,2635
2006-05-30,9973,2616,4956,14848,3241,706,7357,-9892,2535
2006-06-06,9018,2300,2601,11682,2925,562,6718,-9081,2363
2006-06-13,7810,2215,2678,10427,3079,925,5595,-7749,2154
2006-06-20,7370,2008,2891,9885,2735,1103,5362,-6994,1632
2006-06-27,7380,2535,2943,9513,2366,641,4845,-6570,1725
2006-07-03,7635,2734,2837,9553,2533,718,4901,-6716,1815
2006-07-11,8169,2745,2790,10091,2512,635,5424,-7301,1877
2006-07-18,8671,2697,2688,10449,2447,660,5974,-7761,1787
2006-07-25,8663,2690,2746,10471,2393,641,5973,-7725,1752
2006-08-01,7852,2658,2770,9789,2175,350,5194,-7019,1825
2006-08-08,6399,2151,2943,9097,2299,393,4248,-6154,1906
2006-08-15,6535,1685,3140,9865,2309,434,4850,-6725,1875
2006-08-22,6663,1461,2847,10022,2331,358,5202,-7175,1973
2006-08-29,6343,1393,4233,11063,2091,211,4950,-6830,1880
2006-09-05,6455,1905,2802,9327,2138,163,4550,-6525,1975
2006-09-12,5879,2247,3601,8855,1967,345,3632,-5254,1622
2006-09-19,5111,2381,3871,8015,1839,425,2730,-4144,1414
2006-09-26,4839,1873,4149,8452,1796,459,2966,-4303,1337
2006-10-03,5094,2106,4129,8422,2121,816,2988,-4293,1305
2006-10-10,5187,2368,4354,8432,2140,881,2819,-4078,1259
2006-10-17,5194,2404,4272,8423,1912,551,2790,-4151,1361
2006-10-24,5592,2469,4182,8900,2238,643,3123,-4718,1595
2006-10-31,5803,2519,4439,9463,2360,620,3284,-5024,1740
2006-11-07,6258,2583,4346,10017,2309,313,3675,-5671,1996
2006-11-14,5916,2372,4029,9572,2303,304,3544,-5543,1999
2006-11-21,5137,2190,4369,8853,2072,535,2947,-4484,1537
2006-11-28,4717,2226,3996,8361,2394,520,2491,-4365,1874
2006-12-05,4598,2496,4118,8278,2261,203,2102,-4160,2058
2006-12-12,4685,2598,4092,8264,2356,271,2087,-4172,2085
2006-12-19,4504,2600,4238,8120,2395,417,1904,-3882,1978
2006-12-26,4545,2684,4341,8224,2436,414,1861,-3883,2022
2007-01-03,5736,2838,4277,9197,2400,378,2898,-4920,2022
2007-01-09,6375,2881,3922,9562,2425,279,3494,-5640,2146
2007-01-16,6479,2769,3788,9809,2547,236,3710,-6021,2311
2007-01-23,8325,2905,3624,11281,2529,292,5420,-7657,2237
2007-01-30,9125,2615,3518,12450,2843,421,6510,-8932,2422
2007-02-06,9154,2543,3557,12685,2807,290,6611,-9128,2517
2007-02-13,8930,2666,3962,12783,2997,440,6264,-8821,2557
2007-02-20,8260,2475,4180,12472,2873,366,5785,-8292,2507
2007-02-27,9147,2500,5124,14014,2808,565,6647,-8890,2243
2007-03-06,8741,1951,4253,13030,2559,572,6790,-8777,1987
2007-03-13,8973,1953,4263,13235,2264,312,7020,-8972,1952
2007-03-20,8715,1928,4345,13154,2258,236,6787,-8809,2022
2007-03-27,8821,2171,4184,13107,2624,351,6650,-8923,2273
2007-04-03,8965,2007,4036,13282,2649,361,6958,-9246,2288
2007-04-10,9493,1981,4045,14046,2767,278,7512,-10001,2489
2007-04-17,12094,2323,3801,16143,2882,311,9771,-12342,2571
2007-04-24,13226,2405,3605,17131,3050,345,10821,-13526,2705
2007-05-01,13710,2234,3427,17545,2651,9,11476,-14118,2642
