date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,5527,701,1336,7619,2518,1061,4826,-6283,1457
2006-01-10,6046,846,1473,7967,2382,1088,5200,-6494,1294
2006-01-17,6937,916,1564,8575,2328,1338,6021,-7011,990
2006-01-24,7460,1087,1314,8944,2501,1244,6373,-7630,1257
2006-01-31,7772,1114,1178,9292,2609,1153,6658,-8114,1456
2006-02-07,7170,1278,1398,8599,2667,1358,5892,-7201,1309
2006-02-14,5197,1404,1709,7112,2582,972,3793,-5403,1610
2006-02-21,4149,1020,1861,6349,2563,1204,3129,-4488,1359
2006-02-28,4302,1169,1552,6026,2488,1147,3133,-4474,1341
2006-03-07,4467,1107,1767,6181,2437,1383,3360,-4414,1054
2006-03-14,3702,1177,1682,5488,2371,1090,2525,-3806,1281
2006-03-21,4063,1119,1594,5392,2266,1412,2944,-3798,854
2006-03-28,4390,972,1882,6214,2587,1673,3418,-4332,914
2006-04-04,4962,1144,1681,6669,2460,1290,3818,-4988,1170
2006-04-11,4962,1059,1701,6998,2627,1233,3903,-5297,1394
2006-04-18,5176,959,1729,7330,2654,1270,4217,-5601,1384
2006-04-25,5422,964,1676,7707,2614,1041,4458,-6031,1573
2006-05-02,5581,1064,1526,7680,2801,1164,4517,-6154,1637
2006-05-09,5513,1211,1626,7695,2822,1055,4302,-6069,1767
2006-05-16,4481,1328,2035,6852,2841,1177,3153,-4817,1664
2006-05-23,4503,1446,2078,6292,2841,1684,3057,-4214,1157
2006-05-30,4745,1878,1979,6467,2633,1012,2867,-4488,1621
2006-06-06,4079,2198,2181,5491,2573,1144,1881,-3310,1429
2006-06-13,3619,3164,2491,4045,2504,1405,455,-1554,1099
2006-06-20,3224,2018,2106,4268,2045,1089,1206,-2162,956
2006-06-27,3336,1968,2418,4770,2120,1136,1368,-2352,984
2006-07-03,3425,1238,1841,5171,2069,926,2187,-3330,1143
2006-07-11,4389,946,1489,6410,2332,854,3443,-4921,1478
2006-07-18,4949,893,1494,6938,2331,943,4056,-5444,1388
2006-07-25,4623,648,1575,6855,2119,814,3975,-5280,1305
2006-08-01,5315,512,1579,7670,2134,846,4803,-6091,1288
2006-08-08,5785,528,1654,8411,2429,929,5257,-6757,1500
2006-08-15,5652,443,1594,8165,2314,952,5209,-6571,1362
2006-08-22,5533,383,1576,8047,2332,1011,5150,-6471,1321
2006-08-29,5368,525,1662,7679,2138,964,4843,-6017,1174
2006-09-05,5890,645,1791,8531,2507,1012,5245,-6740,1495
2006-09-12,5647,600,1679,7528,1949,1147,5047,-5849,802
2006-09-19,4771,550,1835,6529,1807,1334,4221,-4694,473
2006-09-26,4611,744,1825,6240,1951,1403,3867,-4415,548
2006-10-03,4303,964,1775,5697,1571,988,3339,-3922,583
2006-10-10,3412,1643,1845,4106,1711,1219,1769,-2261,492
2006-10-17,3320,1572,2250,4498,1716,1216,1748,-2248,500
2006-10-24,3464,1668,1837,3988,1744,1389,1796,-2151,355
2006-10-31,3356,1874,2443,4449,1848,1324,1482,-2006,524
2006-11-07,4112,1548,3060,6372,1842,1094,2564,-3312,748
2006-11-14,4084,1336,2163,5986,2011,936,2748,-3823,1075
2006-11-21,3642,804,1764,5631,2174,1145,2838,-3867,1029
2006-11-28,3315,873,1904,6148,2737,935,2442,-4244,1802
2006-12-05,2902,961,2244,6183,2869,871,1941,-3939,1998
2006-12-12,2870,982,2293,5859,2792,1114,1888,-3566,1678
2006-12-19,2977,946,2294,5710,2605,1220,2031,-3416,1385
2006-12-26,2743,1031,2581,5959,2799,1133,1712,-3378,1666
2007-01-03,3715,1143,2347,6216,2285,988,2572,-3869,1297
2007-01-09,3357,1295,2358,5523,2333,1230,2062,-3165,1103
2007-01-16,3646,1141,2540,6340,2305,1010,2505,-3800,1295
2007-01-23,4527,1118,2138,7023,2434,958,3409,-4885,1476
2007-01-30,5187,1241,2231,7654,2393,916,3946,-5423,1477
2007-02-06,5118,1199,2320,7780,2863,1322,3919,-5460,1541
2007-02-13,5599,1404,2325,7842,2581,1259,4195,-5517,1322
2007-02-20,5911,1367,2463,8283,2277,1001,4544,-5820,1276
2007-02-27,6781,1435,2445,9192,2667,1266,5346,-6747,1401
2007-03-06,5521,789,2436,8592,2709,1285,4732,-6156,1424
2007-03-13,5724,710,2396,8694,2234,950,5014,-6298,1284
2007-03-20,6292,1106,2216,8806,2308,904,5186,-6590,1404
2007-03-27,6515,962,2237,9253,2358,895,5553,-7016,1463
2007-04-03,7215,1509,2069,9382,2375,768,5706,-7313,1607
2007-04-10,8067,1726,1995,10117,2512,731,6341,-8122,1781
2007-04-17,9385,1409,1966,11634,2437,745,7976,-9668,1692
2007-04-24,9753,1490,2010,12559,3004,718,8263,-10549,2286
2007-05-01,9662,1104,1871,12881,2936,484,8558,-11010,2452
2007-05-08,10140,1018,1828,13072,2996,874,9122,-11244,2122
2007-05-15,11118,999,1931,14064,2910,896,10119,-12133,2014
2007-05-22,10248,1283,2062,12981,2717,763,8965,-10919,1954
2007-05-29,9483,1023,1888,12442,2846,752,8460,-10554,2094
2007-06-05,9635,923,1927,12434,2633,838,8712,-10507,1795
2007-06-12,10196,938,1930,12939,2633,882,9258,-11009,1751
2007-06-19,10151,927,1961,13041,2798,942,9224,-11080,1856
2007-06-26,9289,1186,2457,12682,2997,875,8103,-10225,2122
2007-07-03,9629,1088,2227,12656,2581,693,8541,-10429,1888
2007-07-10,10889,1355,1741,13739,3171,707,9534,-11998,2464
2007-07-17,12132,1323,1721,14763,3148,915,10809,-13042,2233
2007-07-24,13685,1409,1745,16470,3338,889,12276,-14725,2449
2007-07-31,9037,878,2768,13139,2968,756,8159,-10371,2212
2007-08-07,8946,994,2530,12766,3097,813,7952,-10236,2284
2007-08-14,7150,768,3045,11314,2738,851,6382,-8269,1887
2007-08-21,5740,1351,3087,8227,2292,1541,4389,-5140,751
2007-08-28,5478,1106,2957,8253,1942,1018,4372,-5296,924
2007-09-04,5273,979,3025,8324,2044,1039,4294,-5299,1005
2007-09-11,6066,971,2948,9512,2233,764,5095,-6564,1469
2007-09-18,7103,1148,2554,10163,2375,721,5955,-7609,1654
2007-09-25,8772,841,1765,11282,2496,910,7931,-9517,1586
2007-10-02,9569,1714,1774,12076,3189,742,7855,-10302,2447
2007-10-09,9492,1631,2202,12230,3051,884,7861,-10028,2167
2007-10-16,10009,1771,1601,12171,3209,877,8238,-10570,2332
2007-10-23,10584,1774,1766,12690,3007,893,8810,-10924,2114
2007-10-30,10462,2144,1820,12524,3412,1026,8318,-10704,2386
2007-11-06,11377,2385,1691,13119,3314,878,8992,-11428,2436
2007-11-13,9208,2030,1929,10963,2728,872,7178,-9034,1856
2007-11-20,9381,2134,1667,10587,2801,1128,7247,-8920,1673
2007-11-27,8781,2492,1522,9885,3193,1119,6289,-8363,2074
2007-12-04,8928,2939,1474,9565,3438,1336,5989,-8091,2102
2007-12-11,9306,2803,1411,10107,3269,1076,6503,-8696,2193
2007-12-18,10916,2713,1397,12559,3796,837,8203,-11162,2959
2007-12-24,11733,2524,1084,12948,3704,1049,9209,-11864,2655
2007-12-31,12647,2259,990,14115,3706,969,10388,-13125,2737
2008-01-08,14569,2816,1080,15713,3739,859,11753,-14633,2880
2008-01-15,12945,2787,1241,14040,3671,1030,10158,-12799,2641
2008-01-22,12144,2361,1202,13391,3416,1010,9783,-12189,2406
2008-01-29,11413,2677,1542,12711,3602,1169,8736,-11169,2433
2008-02-05,10648,2779,1498,11587,3427,1207,7869,-10089,2220
2008-02-12,10105,3013,1273,10665,3579,1279,7092,-9392,2300
2008-02-19,10078,3043,2145,11152,3879,1907,7035,-9007,1972
2008-02-26,9138,2943,1920,11215,4394,1294,6195,-9295,3100
2008-03-04,8539,2673,2167,10957,4307,1383,5866,-8790,2924
2008-03-11,7596,1989,2670,10654,3394,1017,5607,-7984,2377
2008-03-18,6385,1933,2075,9090,4043,1480,4452,-7015,2563
2008-03-25,6363,1566,1815,8820,3216,1008,4797,-7005,2208
2008-04-01,7281,1678,1912,9140,2650,1025,5603,-7228,1625
2008-04-08,7606,1680,1574,9346,2706,860,5926,-7772,1846
2008-04-15,8306,1863,1224,9900,2972,739,6443,-8676,2233
2008-04-22,9592,1905,1213,11060,3041,881,7687,-9847,2160
2008-04-29,9596,2004,1377,10797,2977,1149,7592,-9420,1828
2008-05-06,9726,1662,1527,10744,2583,1430,8064,-9217,1153
2008-05-13,10432,1557,1566,12515,3661,1587,8875,-10949,2074
2008-05-20,11671,1925,1336,13456,3829,1455,9746,-12120,2374
2008-05-27,11729,2082,1472,13635,3705,1189,9647,-12163,2516
2008-06-03,10045,2713,1878,11321,3001,890,7332,-9443,2111
2008-06-10,10811,2729,1819,12026,3038,913,8082,-10207,2125
2008-06-17,10767,2450,1815,12171,3262,1223,8317,-10356,2039
2008-06-24,10179,1900,1640,12160,2942,701,8279,-10520,2241
2008-07-01,9846,2107,1783,12001,3390,911,7739,-10218,2479
2008-07-08,9052,2543,2372,10938,3193,1136,6509,-8566,2057
2008-07-15,8799,2464,2016,10519,3102,934,6335,-8503,2168
2008-07-22,8235,3776,3429,9719,2960,1129,4459,-6290,1831
2008-07-29,7102,3683,3806,8633,2495,1087,3419,-4827,1408
2008-08-05,6275,4115,3467,6719,2330,1238,2160,-3252,1092
2008-08-12,6117,4127,4063,6821,2078,1310,1990,-2758,768
2008-08-19,6552,3562,3725,7390,2286,1611,2990,-3665,675
2008-08-26,6403,2992,3911,7812,2041,1551,3411,-3901,490
2008-09-02,6679,3137,3924,7977,2241,1730,3542,-4053,511
2008-09-09,6609,3240,4256,8051,2251,1825,3369,-3795,426
2008-09-16,6798,3257,4011,8375,2469,1646,3541,-4364,823
2008-09-23,7853,3177,3833,9165,2780,2124,4676,-5332,656
2008-09-30,7745,1656,4316,11040,2421,1786,6089,-6724,635
2008-10-07,8409,1670,4121,11394,2192,1658,6739,-7273,534
2008-10-14,8581,1683,4367,11854,2173,1584,6898,-7487,589
2008-10-21,8128,1198,4430,11969,2373,1764,6930,-7539,609
2008-10-28,8440,1256,4431,12539,2484,1560,7184,-8108,924
2008-11-04,8299,1502,4838,12827,2598,1406,6797,-7989,1192
2008-11-11,9086,1337,4718,13059,2195,1603,7749,-8341,592
2008-11-18,9339,1252,4965,13755,2371,1668,8087,-8790,703
2008-11-25,9766,2017,5464,13903,1982,1292,7749,-8439,690
2008-12-02,8993,2108,5566,13461,2625,1615,6885,-7895,1010
2008-12-09,8361,2439,5382,12011,2250,1543,5922,-6629,707
2008-12-16,8880,1750,5243,13488,2822,1707,7130,-8245,1115
2008-12-22,9467,1778,5495,14345,3016,1855,7689,-8850,1161
2008-12-30,9389,2054,5772,14481,2873,1499,7335,-8709,1374
2009-01-06,9777,1785,5671,15110,2728,1281,7992,-9439,1447
2009-01-13,9758,1619,5602,15437,2769,1073,8139,-9835,1696
2009-01-20,9212,1969,5652,14592,2841,1144,7243,-8940,1697
2009-01-27,9778,2394,5514,15017,3163,1044,7384,-9503,2119
2009-02-03,10342,1729,5389,16042,3166,1126,8613,-10653,2040
2009-02-10,10869,1669,5502,17054,3536,1184,9200,-11552,2352
2009-02-17,11736,1607,5168,17673,3523,1147,10129,-12505,2376
2009-02-24,11390,1961,5956,17487,3422,1320,9429,-11531,2102
2009-03-03,10226,2075,5836,15970,3240,1257,8151,-10134,1983
2009-03-10,10676,2426,6074,16172,3301,1453,8250,-10098,1848
2009-03-17,9592,2640,6569,15507,3647,1661,6952,-8938,1986
2009-03-24,10176,2187,6262,17191,4294,1354,7989,-10929,2940
