date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,28578,51848,219853,212901,25481,9163,-23270,6952,16318
2006-01-10,35184,52963,216710,208664,22597,12864,-17779,8046,9733
2006-01-17,34902,60666,219557,201594,21421,13620,-25764,17963,7801
2006-01-24,41901,58337,204764,194714,19901,13515,-16436,10050,6386
2006-01-31,48898,56882,198365,198403,19193,11171,-7984,-38,8022
2006-02-07,44810,60851,207251,198297,18932,11845,-16041,8954,7087
2006-02-14,38212,62089,211701,200145,21886,9565,-23877,11556,12321
2006-02-21,34380,59143,219991,203083,20413,12558,-24763,16908,7855
2006-02-28,35616,65309,225777,208657,22930,10357,-29693,17120,12573
2006-03-07,31710,72179,243629,215415,25445,13190,-40469,28214,12255
2006-03-14,32191,69515,284454,255961,25656,16825,-37324,28493,8831
2006-03-21,70276,62478,191900,212937,26433,13194,7798,-21037,13239
2006-03-28,74502,63497,195545,212552,20299,14297,11005,-17007,6002
2006-04-04,78627,66886,199912,221869,21952,11736,11741,-21957,10216
2006-04-11,72406,65331,220544,235107,20220,12732,7075,-14563,7488
2006-04-18,77639,72973,219200,229540,20468,14794,4666,-10340,5674
2006-04-25,76421,79108,237356,241155,21536,15050,-2687,-3799,6486
2006-05-02,73343,97672,258032,242476,22482,13709,-24329,15556,8773
2006-05-09,75795,102779,256769,239432,25852,16205,-26984,17337,9647
2006-05-16,72459,108479,309384,275301,26786,24849,-36020,34083,1937
2006-05-23,78136,102412,317653,294856,18611,17132,-24276,22797,1479
2006-05-30,75788,101424,333955,295728,13387,25978,-25636,38227,-12591
2006-06-06,74119,112620,375689,317340,19191,39039,-38501,58349,-19848
2006-06-13,91120,126980,444378,381408,45471,72581,-35860,62970,-27110
2006-06-20,133716,128737,263762,274016,19734,14459,4979,-10254,5275
2006-06-27,126562,112202,276436,293969,19592,16419,14360,-17533,3173
2006-07-03,122909,111809,284952,298064,18375,16363,11100,-13112,2012
2006-07-11,118021,104759,282555,299055,18754,15516,13262,-16500,3238
2006-07-18,119616,101810,294486,317514,19345,14123,17806,-23028,5222
2006-07-25,121382,98036,306329,332289,19084,16470,23346,-25960,2614
2006-08-01,50736,96919,377117,339711,25817,17040,-46183,37406,8777
2006-08-08,46853,107532,381956,335144,29265,15398,-60679,46812,13867
2006-08-15,45375,111238,389856,337495,30717,17215,-65863,52361,13502
2006-08-22,41713,112458,399346,337287,27315,18629,-70745,62059,8686
2006-08-29,45291,118029,371446,305216,44874,38366,-72738,66230,6508
2006-09-05,49718,116856,364812,309424,42853,31103,-67138,55388,11750
2006-09-12,49092,118486,414292,351849,49729,42778,-69394,62443,6951
2006-09-19,32583,113360,328315,270652,41004,17890,-80777,57663,23114
2006-09-26,37272,132722,336567,271220,45562,15459,-95450,65347,30103
2006-10-03,34884,141007,341690,265835,46062,15794,-106123,75855,30268
2006-10-10,43092,143645,344124,264689,37911,16793,-100553,79435,21118
2006-10-17,46109,120842,317116,275002,50943,18324,-74733,42114,32619
2006-10-24,56457,117256,299845,277985,55107,16168,-60799,21860,38939
2006-10-31,66065,123571,293820,277230,55811,14895,-57506,16590,40916
2006-11-07,50902,145274,299891,246285,55303,14537,-94372,53606,40766
2006-11-14,54751,147208,306383,251507,52251,14670,-92457,54876,37581
2006-11-21,56558,126064,294384,263252,53543,15169,-69506,31132,38374
2006-11-28,53287,133144,289840,248303,53198,14878,-79857,41537,38320
2006-12-05,52941,135090,316464,270668,53346,16993,-82149,45796,36353
2006-12-12,55138,135381,338543,293433,65641,30508,-80243,45110,35133
2006-12-19,63454,118921,246078,207914,31023,13720,-55467,38164,17303
2006-12-26,69110,119098,248230,213191,29594,14645,-49988,35039,14949
2007-01-03,67897,124694,249833,207234,28713,14515,-56797,42599,14198
2007-01-09,68271,120537,249798,212679,33492,18345,-52266,37119,15147
2007-01-16,71224,118895,255418,227054,34913,15606,-47671,28364,19307
2007-01-23,66470,123217,267100,225496,34173,19030,-56747,41604,15143
2007-01-30,67763,126816,269767,223455,32434,19693,-59053,46312,12741
2007-02-06,71023,133786,274990,225498,31488,18217,-62763,49492,13271
2007-02-13,70484,137012,279090,227939,30245,14868,-66528,51151,15377
2007-02-20,72133,162976,299527,215353,24032,17363,-90843,84174,6669
2007-02-27,66973,179561,346057,238087,23554,18936,-112588,107970,4618
2007-03-06,63888,179509,400259,271606,17861,30893,-115621,128653,-13032
2007-03-13,62580,196246,469536,320778,29836,44928,-133666,148758,-15092
2007-03-20,54626,186445,331123,196363,18338,21279,-131819,134760,-2941
2007-03-27,59775,193704,332627,197656,17409,18451,-133929,134971,-1042
2007-04-03,63897,194487,332390,201678,17569,17691,-130590,130712,-122
2007-04-10,66835,201899,337571,205010,18893,16390,-135064,132561,2503
2007-04-17,67987,208622,350147,209350,19528,19690,-140635,140797,-162
2007-04-24,72084,213491,358549,216699,23685,24128,-141407,141850,-443
2007-05-01,68618,222644,383670,227655,21988,23977,-154026,156015,-1989
2007-05-08,68086,233599,402176,232966,22041,25738,-165513,169210,-3697
2007-05-15,65009,249730,455243,263320,15506,22708,-184721,191923,-7202
2007-05-22,71081,240733,476815,281767,12914,38310,-169652,195048,-25396
2007-05-29,66503,260784,485075,279881,14061,24974,-194281,205194,-10913
2007-06-05,72191,265033,511826,309447,13924,23461,-192842,202379,-9537
2007-06-12,65140,265256,603647,397436,32905,39000,-200116,206211,-6095
2007-06-19,74650,229475,423927,263629,16389,21862,-154825,160298,-5473
2007-06-26,73012,242134,432323,256646,16336,22891,-169122,175677,-6555
2007-07-03,74116,250721,451191,263811,14120,24895,-176605,187380,-10775
2007-07-10,75502,259441,474699,276393,13647,28014,-183939,198306,-14367
2007-07-17,80749,262802,482287,288865,12902,24271,-182053,193422,-11369
2007-07-24,76068,268680,522383,313159,14904,31516,-192612,209224,-16612
2007-07-31,68978,278845,574302,339283,11364,36516,-209867,235019,-25152
2007-08-07,64606,290574,607581,356976,11633,36270,-225968,250605,-24637
2007-08-14,60390,263440,578684,347040,12911,41505,-203050,231644,-28594
2007-08-21,60767,222218,512251,323920,14085,40965,-161451,188331,-26880
2007-08-28,62708,229658,521130,329309,11675,36546,-166950,191821,-24871
2007-09-04,63805,228777,521327,328225,10620,38750,-164972,193102,-28130
2007-09-11,73618,258319,567041,347349,9127,44118,-184701,219692,-34991
2007-09-18,77800,267611,607605,375875,29700,71619,-189811,231730,-41919
2007-09-25,60683,252586,499339,270740,9734,46430,-191903,228599,-36696
2007-10-02,60483,239746,496800,274175,11859,55221,-179263,222625,-43362
2007-10-09,61263,240326,489791,270583,12453,52598,-179063,219208,-40145
2007-10-16,65580,235811,490684,281527,13929,52855,-170231,209157,-38926
2007-10-23,64806,243053,502953,277554,10182,57334,-178247,225399,-47152
2007-10-30,61224,246225,503502,277895,13316,53922,-185001,225607,-40606
2007-11-06,61786,244713,540706,311267,13993,60505,-182927,229439,-46512
2007-11-13,68849,235265,548293,322392,11712,71197,-166416,225901,-59485
2007-11-20,74355,237290,562540,347332,12688,64961,-162935,215208,-52273
2007-11-27,75375,233882,571168,354900,10664,68425,-158507,216268,-57761
2007-12-04,69560,237000,578745,352749,11744,70300,-167440,225996,-58556
2007-12-11,66581,238430,588626,361321,16233,71689,-171849,227305,-55456
2007-12-18,69916,238256,706368,467107,28626,99547,-168340,239261,-70921
2007-12-24,58400,234214,490983,277141,12529,50557,-175814,213842,-38028
2007-12-31,57175,252973,511857,276850,15500,54709,-195798,235007,-39209
2008-01-08,61045,267553,544476,295897,17744,59815,-206508,248579,-42071
2008-01-15,60783,255388,563753,318650,18665,69163,-194605,245103,-50498
2008-01-22,67080,250200,550449,338662,20170,48837,-183120,211787,-28667
2008-01-29,63640,233067,527413,305399,18857,71444,-169427,222014,-52587
2008-02-05,61723,255994,542768,290349,17957,76105,-194271,252419,-58148
2008-02-12,75215,271076,544257,293778,22747,77365,-195861,250479,-54618
2008-02-19,87053,279008,553701,295914,10538,76370,-191955,257787,-65832
2008-02-26,91435,290856,558622,297094,10938,73045,-199421,261528,-62107
2008-03-04,86483,306844,593053,304558,13341,81475,-220361,288495,-68134
2008-03-11,71719,308948,643136,333903,14605,86609,-237229,309233,-72004
2008-03-18,69860,292426,766658,462299,22168,103961,-222566,304359,-81793
2008-03-25,64735,279769,557256,289186,9662,62698,-215034,268070,-53036
2008-04-01,67667,268927,557137,300877,12885,67885,-201260,256260,-55000
2008-04-08,66804,268027,566747,310780,10197,64941,-201223,255967,-54744
2008-04-15,64212,272896,576317,312560,15212,70285,-208684,263757,-55073
2008-04-22,64297,267286,579100,315985,11542,71668,-202989,263115,-60126
2008-04-29,65365,268402,587380,324150,11167,71360,-203037,263230,-60193
2008-05-06,69170,273320,590865,323173,12134,75676,-204150,267692,-63542
2008-05-13,72368,291829,611465,325298,12429,79135,-219461,286167,-66706
2008-05-20,65771,301687,627369,323198,12890,81145,-235916,304171,-68255
2008-05-27,75221,297144,630280,339220,12941,82078,-221923,291060,-69137
2008-06-03,75587,307821,643956,340934,11999,82787,-232234,303022,-70788
2008-06-10,82113,310572,636864,337044,13685,85046,-228459,299820,-71361
2008-06-17,78413,303848,645751,351532,30026,98810,-225435,294219,-68784
