date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,66488,7108,25456,108045,32716,9507,59380,-82589,23209
2006-01-10,64551,5580,24497,106949,33796,10315,58971,-82452,23481
2006-01-17,64299,5452,23658,107107,35809,11207,58847,-83449,24602
2006-01-24,66946,7114,21056,102171,34265,12982,59832,-81115,21283
2006-01-31,66502,10246,19688,98383,36812,14373,56256,-78695,22439
2006-02-07,62794,10006,19361,95241,37439,14347,52788,-75880,23092
2006-02-14,59275,8687,21658,94525,33205,10926,50588,-72867,22279
2006-02-21,59943,8096,22009,95930,35559,13485,51847,-73921,22074
2006-02-28,56871,12249,23583,88793,31909,11321,44622,-65210,20588
2006-03-07,61688,9732,22142,96007,33544,11635,51956,-73865,21909
2006-03-14,59251,8062,21128,94462,33475,11330,51189,-73334,22145
2006-03-21,62687,8786,19905,95536,34705,12975,53901,-75631,21730
2006-03-28,63054,10691,20856,95008,34006,12217,52363,-74152,21789
2006-04-04,62676,10830,21029,97020,36468,12323,51846,-75991,24145
2006-04-11,60028,13889,22847,94633,38692,13045,46139,-71786,25647
2006-04-18,56968,14792,20866,90823,40583,12802,42176,-69957,27781
2006-04-25,43242,7187,24842,84940,36712,12669,36055,-60098,24043
2006-05-02,41659,10448,20888,75446,33261,9914,31211,-54558,23347
2006-05-09,38664,8838,21432,73721,31768,9305,29826,-52289,22463
2006-05-16,35419,9349,21968,70788,32863,10113,26070,-48820,22750
2006-05-23,34795,8554,23353,71231,31729,10092,26241,-47878,21637
2006-05-30,35169,8797,19930,68855,30699,8146,26372,-48925,22553
2006-06-06,32662,9728,24724,68330,29661,8989,22934,-43606,20672
2006-06-13,33080,8612,25567,69445,29113,9703,24468,-43878,19410
2006-06-20,32276,9803,27978,68486,27009,8974,22473,-40508,18035
2006-06-27,30746,10906,31229,69199,26578,8448,19840,-37970,18130
2006-07-03,31220,7219,24618,66362,25851,8108,24001,-41744,17743
2006-07-11,31855,7464,23466,65328,26069,8598,24391,-41862,17471
2006-07-18,31264,8077,23009,63733,26622,9085,23187,-40724,17537
2006-07-25,31142,7320,20804,62454,25993,8165,23822,-41650,17828
2006-08-01,32228,7889,18452,62793,26554,6552,24339,-44341,20002
2006-08-08,37564,8994,18336,66232,28244,8918,28570,-47896,19326
2006-08-15,36719,8978,21360,68455,26813,7459,27741,-47095,19354
2006-08-22,38914,9361,22594,71848,27253,7552,29553,-49254,19701
2006-08-29,38861,9400,21262,70022,27841,8542,29461,-48760,19299
2006-09-05,40920,11100,19816,70364,27311,6583,29820,-50548,20728
2006-09-12,32926,10553,24162,64270,25324,7589,22373,-40108,17735
2006-09-19,29367,10286,26450,62338,25354,8547,19081,-35888,16807
2006-09-26,28267,9800,27140,62995,24675,7287,18467,-35855,17388
2006-10-03,27302,8089,26222,62108,25086,8413,19213,-35886,16673
2006-10-10,27850,8370,27313,63119,24263,7937,19480,-35806,16326
2006-10-17,31433,9026,26641,66698,25340,7690,22407,-40057,17650
2006-10-24,34851,8496,25365,68469,25447,8698,26355,-43104,16749
2006-10-31,36672,8570,23248,69930,27373,8793,28102,-46682,18580
2006-11-07,38784,8467,23035,72927,29330,9755,30317,-49892,19575
2006-11-14,43634,8540,25283,79548,27218,8047,35094,-54265,19171
2006-11-21,44371,6905,23322,80486,27474,7776,37466,-57164,19698
2006-11-28,46095,7051,21989,80386,26962,7609,39044,-58397,19353
2006-12-05,49012,7352,21287,82054,26335,7228,41660,-60767,19107
2006-12-12,51968,8364,21075,84037,27232,7874,43604,-62962,19358
2006-12-19,43218,6432,23977,78315,25452,7900,36786,-54338,17552
2006-12-26,41044,6541,24528,75759,24030,7302,34503,-51231,16728
2007-01-03,40337,8056,23649,74480,27323,8773,32281,-50831,18550
2007-01-09,40894,7262,23402,72775,24708,8967,33632,-49373,15741
2007-01-16,39984,7212,22897,72820,25833,8682,32772,-49923,17151
2007-01-23,43051,7398,23868,78117,27247,8651,35653,-54249,18596
2007-01-30,47120,8123,23938,82394,27734,8275,38997,-58456,19459
2007-02-06,49943,8816,24398,85387,28081,8219,41127,-60989,19862
