date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,31717,11017,57762,87663,27263,17762,20700,-29901,9501
2006-01-10,23667,11761,55287,75636,24897,16148,11906,-20349,8749
2006-01-17,21035,12209,55112,72618,26410,17634,8826,-17506,8776
2006-01-24,20650,16804,53542,63545,26760,20645,3846,-10003,6115
2006-01-31,20800,17586,54067,61349,24250,19904,3214,-7282,4346
2006-02-07,21117,20855,55135,56740,23641,22297,262,-1605,1344
2006-02-14,23054,20056,51649,56404,24264,22680,2998,-4755,1584
2006-02-21,20965,17918,54813,58334,24548,25063,3047,-3521,-515
2006-02-28,16610,29792,59780,47655,25019,25721,-13182,12125,-702
2006-03-07,20364,33059,63200,50481,23700,25448,-12695,12719,-1748
2006-03-14,20034,34821,63695,50058,26528,26608,-14787,13637,-80
2006-03-21,20048,35952,61741,47650,27773,27487,-15904,14091,286
2006-03-28,23769,32069,57592,51299,27864,27166,-8300,6293,698
2006-04-04,23349,38445,68720,53883,27155,28172,-15096,14837,-1017
2006-04-11,26339,48858,76738,53072,26687,28969,-22519,23666,-2282
2006-04-18,26828,40393,67648,55249,26703,26344,-13565,12399,359
2006-04-25,27637,40149,65681,56685,28427,25281,-12512,8996,3146
2006-05-02,31734,37517,59949,58964,26692,22340,-5783,985,4352
2006-05-09,30236,36968,60373,60872,28193,21342,-6732,-499,6851
2006-05-16,28121,39377,63819,57270,28283,23616,-11256,6549,4667
2006-05-23,29021,50072,74573,55232,27516,24280,-21051,19341,3236
2006-05-30,31530,55882,82463,59334,27338,24448,-24352,23129,2890
2006-06-06,34037,31062,60107,67935,30061,23321,2975,-7828,6740
2006-06-13,32318,26488,52127,63134,29651,22579,5830,-11007,7072
2006-06-20,23512,20560,50670,56626,29087,25137,2952,-5956,3950
2006-06-27,14033,15623,47705,50319,27236,25569,-1590,-2614,1667
2006-07-03,14774,11094,41288,47403,25702,22542,3680,-6115,3160
2006-07-11,14489,10941,38802,45506,26772,20827,3548,-6704,5945
2006-07-18,14400,10225,37338,45007,27488,20935,4175,-7669,6553
2006-07-25,13307,8286,33990,42811,29381,22737,5021,-8821,6644
2006-08-01,8925,6282,29663,35176,29990,23530,2643,-5513,6460
2006-08-08,8994,6959,26601,30820,28376,22700,2035,-4219,5676
2006-08-15,9394,5748,22665,28654,28805,22215,3646,-5989,6590
2006-08-22,7355,6516,18870,21930,32140,23724,839,-3060,8416
2006-08-29,4499,2124,6834,9741,29428,22561,2375,-2907,6867
