date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,28767,37271,84094,76278,25454,24268,-8504,7816,1186
2006-01-10,29498,28433,85219,85113,21341,22069,1065,106,-728
2006-01-17,26685,34378,88353,78551,21024,22892,-7693,9802,-1868
2006-01-24,29694,40647,91021,78610,22328,23229,-10953,12411,-901
2006-01-31,28318,37298,94446,85000,23157,23074,-8980,9446,83
2006-02-07,28924,32825,92784,90554,22692,19935,-3901,2230,2757
2006-02-14,29702,32061,94104,92141,22348,20626,-2359,1963,1722
2006-02-21,32202,26063,88382,97415,24398,20098,6139,-9033,4300
2006-02-28,31529,21906,84792,99279,26138,20132,9623,-14487,6006
2006-03-07,45187,19520,85462,117020,24919,18489,25667,-31558,6430
2006-03-14,49568,20024,86949,122248,23923,17092,29544,-35299,6831
2006-03-21,41491,20091,90602,113198,20599,18603,21400,-22596,1996
2006-03-28,41132,25465,87494,104037,20551,18545,15667,-16543,2006
2006-04-04,41842,29335,84576,94442,22287,23498,12507,-9866,-1211
2006-04-11,40217,34869,88572,93486,20473,19583,5348,-4914,890
2006-04-18,42072,34689,88668,97413,24763,21944,7383,-8745,2819
2006-04-25,54749,25171,82110,120878,26056,15233,29578,-38768,10823
2006-05-02,69940,21367,80478,138921,29216,18046,48573,-58443,11170
2006-05-09,71373,23867,79179,136070,29055,18344,47506,-56891,10711
2006-05-16,73613,26512,78795,137486,30283,16868,47101,-58691,13415
2006-05-23,62741,26686,80396,126510,27010,15034,36055,-46114,11976
2006-05-30,63751,28825,76790,123157,28138,14110,34926,-46367,14028
2006-06-06,64541,32056,64742,108148,28530,14525,32485,-43406,14005
2006-06-13,58657,26493,26475,68446,29814,18285,32164,-41971,11529
2006-06-20,35413,23156,31655,46551,24169,18379,12257,-14896,5790
2006-06-27,18774,15813,28896,34108,25155,18940,2961,-5212,6215
2006-07-03,22865,11421,22492,35995,26710,15424,11444,-13503,11286
2006-07-11,25669,10383,16538,35763,29280,15352,15286,-19225,13928
2006-07-18,16067,8180,23791,34171,26639,15061,7887,-10380,11578
2006-07-25,12139,9419,21789,26425,29582,17502,2720,-4636,12080
2006-08-01,9376,7142,16671,21381,33402,18974,2234,-4710,14428
2006-08-08,7044,5893,12540,16434,31632,18562,1151,-3894,13070
2006-08-15,6072,7746,10277,10441,27356,20621,-1674,-164,6735
2006-08-22,6531,7676,5233,5160,22720,20290,-1145,73,2430
2006-08-29,2777,3318,5260,5165,23817,20139,-541,95,3678
2006-09-05,68390,37627,120286,154215,23933,19860,30763,-33929,4073
2006-09-12,63176,44103,124385,146619,23970,19720,19073,-22234,4250
2006-09-19,66935,48714,124033,144804,23554,20113,18221,-20771,3441
2006-09-26,57009,51593,130589,134633,25042,25905,5416,-4044,-863
2006-10-03,54477,56613,128974,128436,25623,23431,-2136,538,2192
2006-10-10,54173,50205,132939,139292,24567,21957,3968,-6353,2610
2006-10-17,58722,39674,132011,156129,26739,21593,19048,-24118,5146
2006-10-24,62292,19770,116745,171956,31258,18583,42522,-55211,12675
2006-10-31,63151,15577,119718,180882,34069,20889,47574,-61164,13180
