date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,54032,50215,134071,118414,48491,79731,3817,15657,-31240
2006-01-10,53263,60789,142820,113843,50114,84558,-7526,28977,-34444
2006-01-17,52128,75958,152107,109316,55514,87752,-23830,42791,-32238
2006-01-24,51256,85393,157598,107258,53587,85318,-34137,50340,-31731
2006-01-31,57657,86114,156193,110693,57756,92971,-28457,45500,-35215
2006-02-07,57963,80676,162528,123260,57677,94486,-22713,39268,-36809
2006-02-14,58803,77608,164521,133957,60104,93228,-18805,30564,-33124
2006-02-21,63607,65870,162916,139673,65023,108409,-2263,23243,-43386
2006-02-28,57834,78313,160110,124987,54317,92310,-20479,35123,-37993
2006-03-07,59426,82488,156527,120397,53617,90947,-23062,36130,-37330
2006-03-14,53899,89207,157495,109910,54755,91648,-35308,47585,-36893
2006-03-21,51535,102320,164367,98985,53622,92557,-50785,65382,-38935
2006-03-28,50360,103415,164845,98861,57017,95473,-53055,65984,-38456
2006-04-04,56605,119504,169932,88773,57320,103581,-62899,81159,-46261
2006-04-11,58041,124988,169456,89142,61312,102534,-66947,80314,-41222
2006-04-18,56329,116025,159900,90079,58297,96350,-59696,69821,-38053
2006-04-25,46067,105205,155973,81381,57780,101633,-59138,74592,-43853
2006-05-02,55601,90559,139629,95652,46506,86508,-34958,43977,-40002
2006-05-09,58293,85951,134452,98442,57777,97930,-27658,36010,-40153
2006-05-16,62738,79489,130355,106069,65824,105396,-16751,24286,-39572
2006-05-23,51618,85866,131493,87502,59137,98253,-34248,43991,-39116
2006-05-30,54630,95738,133497,82899,57782,94771,-41108,50598,-36989
2006-06-06,55387,86216,122047,82445,56244,93889,-30829,39602,-37645
2006-06-13,63669,59950,56085,55698,59721,95309,3719,387,-35588
2006-06-20,46271,39462,43300,50672,58647,92863,6809,-7372,-34216
2006-06-27,26379,20825,33968,40342,48787,80875,5554,-6374,-32088
2006-07-03,23346,14173,20234,26860,46916,81542,9173,-6626,-34626
2006-07-11,23963,12536,19271,29475,48602,77185,11427,-10204,-28583
2006-07-18,20845,8256,18187,31030,48100,76463,12589,-12843,-28363
2006-07-25,9159,3383,11082,18825,50420,76240,5776,-7743,-25820
2006-08-01,62964,101614,173731,111477,50260,75032,-38650,62254,-24772
2006-08-08,67154,111172,170662,104961,52254,74757,-44018,65701,-22503
2006-08-15,64021,111757,176492,106221,49468,72865,-47736,70271,-23397
2006-08-22,64488,110631,180416,112922,50906,73004,-46143,67494,-22098
2006-08-29,64759,109297,184555,115633,50136,74902,-44538,68922,-24766
2006-09-05,67845,112844,185445,113269,49432,76980,-44999,72176,-27548
2006-09-12,67662,115138,186965,112987,48828,75517,-47476,73978,-26689
2006-09-19,67891,113078,185276,114634,49554,75483,-45187,70642,-25929
2006-09-26,63028,110883,191860,118174,50034,76556,-47855,73686,-26522
2006-10-03,63400,107891,197299,126131,49986,77997,-44491,71168,-28011
2006-10-10,64192,89937,197853,150011,55280,78456,-25745,47842,-23176
2006-10-17,68949,75256,194526,164344,54432,79888,-6307,30182,-25456
2006-10-24,69392,59491,190342,172756,50577,79959,9901,17586,-29382
2006-10-31,57536,58057,196321,167593,48165,78297,-521,28728,-30132
2006-11-07,66324,58550,190082,173168,51560,77752,7774,16914,-26192
2006-11-14,72635,61516,195887,177671,50653,83106,11119,18216,-32453
2006-11-21,70154,64702,198214,170945,46652,83095,5452,27269,-36443
2006-11-28,78756,63392,192292,179382,50317,82673,15364,12910,-32356
2006-12-05,72436,61971,196421,181326,55567,85780,10465,15095,-30213
2006-12-12,78269,62114,183753,175881,52859,82051,16155,7872,-29192
2006-12-19,73784,60146,191158,179093,50247,80368,13638,12065,-30121
2006-12-26,67643,56169,179641,168101,47734,75730,11474,11540,-27996
2007-01-03,80691,54821,167169,172954,48683,74709,25870,-5785,-26026
2007-01-09,76600,58654,166223,163725,47391,75146,17946,2498,-27755
2007-01-16,83762,62201,167813,172779,57460,81740,21561,-4966,-24280
2007-01-23,93508,59305,165552,182827,57720,83214,34203,-17275,-25494
2007-01-30,96710,57423,164504,188833,60906,84922,39287,-24329,-24016
2007-02-06,105912,48916,163744,203993,63031,89750,56996,-40249,-26719
2007-02-13,109620,57144,161780,199263,66645,93552,52476,-37483,-26907
