date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,202214,281600,542526,670911,308863,101092,-79386,-128385,207771
2006-01-10,191126,318972,612184,690162,323152,117328,-127846,-77978,205824
2006-01-17,184738,325812,588733,691867,357890,113682,-141074,-103134,244208
2006-01-24,198593,355078,599666,675465,340138,107854,-156485,-75799,232284
2006-01-31,237561,361937,604909,734487,361673,107719,-124376,-129578,253954
2006-02-07,239465,434355,578985,621129,351417,114383,-194890,-42144,237034
2006-02-14,224169,413121,580388,619559,335236,107113,-188952,-39171,228123
2006-02-21,222747,431755,607443,642372,358812,114875,-209008,-34929,243937
2006-02-28,252103,434187,637835,643158,311855,124448,-182084,-5323,187407
2006-03-07,247771,397818,767000,787228,292157,121882,-150047,-20228,170275
2006-03-14,257022,388229,1020940,1022051,363013,230695,-131207,-1111,132318
2006-03-21,219294,282984,537607,756134,406641,124424,-63690,-218527,282217
2006-03-28,162646,301486,559933,699649,400131,121575,-138840,-139716,278556
2006-04-04,202834,315377,622999,705464,314803,119795,-112543,-82465,195008
2006-04-11,173993,372905,713454,667279,278217,125480,-198912,46175,152737
2006-04-18,189188,378535,696504,680509,292248,118896,-189347,15995,173352
2006-04-25,198252,438196,769143,689209,277256,117246,-239944,79934,160010
2006-05-02,213579,425888,800917,735852,275048,127804,-212309,65065,147244
2006-05-09,247863,432321,806744,789049,284274,117511,-184458,17695,166763
2006-05-16,207357,423150,853835,789452,272651,121241,-215793,64383,151410
2006-05-23,196500,453312,974775,854980,262549,125532,-256812,119795,137017
2006-05-30,217857,438229,1012748,888429,223805,127752,-220372,124319,96053
2006-06-06,229749,479507,1099351,910826,201269,140036,-249758,188525,61233
2006-06-13,235392,470466,1102367,1260610,556711,163394,-235074,-158243,393317
2006-06-20,192329,380103,675620,757400,406720,137166,-187774,-81780,269554
2006-06-27,208915,388717,685878,752631,383105,136550,-179802,-66753,246555
2006-07-03,226286,304824,712009,876858,372535,129148,-78538,-164849,243387
2006-07-11,207068,324822,747431,863466,364988,131199,-117754,-116035,233789
2006-07-18,189559,393530,836206,861717,350275,120793,-203971,-25511,229482
2006-07-25,192380,353505,828688,873544,333924,127943,-161125,-44856,205981
2006-08-01,168150,362796,869369,868575,320657,126805,-194646,794,193852
2006-08-08,194010,394246,899799,917394,342648,124817,-200236,-17595,217831
2006-08-15,230513,400259,856923,951756,390305,125726,-169746,-94833,264579
2006-08-22,232641,424305,880108,965288,412619,135775,-191664,-85180,276844
2006-08-29,250158,400641,855679,1002656,433696,136236,-150483,-146977,297460
2006-09-05,282833,492001,914620,1011490,436319,130281,-209168,-96870,306038
2006-09-12,262291,468912,1225325,1301993,455848,172559,-206621,-76668,283289
2006-09-19,206163,279636,696883,860545,383688,146553,-73473,-163662,237135
2006-09-26,276678,343784,729243,920376,404743,146504,-67106,-191133,258239
2006-10-03,306657,330398,723022,969998,401587,130870,-23741,-246976,270717
2006-10-10,297772,341739,736865,992695,440073,140276,-43967,-255830,299797
2006-10-17,353595,327439,763390,1071043,418719,137222,26156,-307653,281497
2006-10-24,387262,344273,768175,1087825,421764,145103,42989,-319650,276661
2006-10-31,420368,323552,795221,1171489,406483,127031,96816,-376268,279452
2006-11-07,424597,340753,805968,1192325,434704,132191,83844,-386357,302513
2006-11-14,457652,356472,811861,1223300,435693,125434,101180,-411439,310259
2006-11-21,453399,341088,872212,1268172,421868,138219,112311,-395960,283649
2006-11-28,459413,342765,918064,1273707,389656,150661,116648,-355643,238995
2006-12-05,479055,393720,1040194,1370522,393276,148283,85335,-330328,244993
2006-12-12,511473,408126,1238051,1640685,531832,232545,103347,-402634,299287
2006-12-19,348753,237951,843901,1113251,284378,125830,110802,-269350,158548
2006-12-26,298877,216573,861400,1134015,302387,112076,82304,-272615,190311
2007-01-03,312818,221793,847013,1137514,327664,128188,91025,-290501,199476
2007-01-09,330127,232355,909919,1183521,313939,138109,97772,-273602,175830
2007-01-16,373591,232598,895011,1238906,340647,137745,140993,-343895,202902
2007-01-23,356626,282212,941573,1224841,338808,129954,74414,-283268,208854
2007-01-30,350983,310695,968185,1215319,331853,125007,40288,-247134,206846
2007-02-06,396781,333617,1013435,1239264,284767,122102,63164,-225829,162665
2007-02-13,405234,347024,1021255,1282488,324148,121125,58210,-261233,203023
2007-02-20,421264,411111,1065108,1301024,353660,127897,10153,-235916,225763
