date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,132491,38804,275312,407563,75573,37009,93687,-132251,38564
2006-01-10,133129,41978,278782,405570,71795,36158,91151,-126788,35637
2006-01-17,131518,34304,267303,402447,80191,42261,97214,-135144,37930
2006-01-24,124501,35815,270728,399233,75663,35844,88686,-128505,39819
2006-01-31,119581,37750,277705,399312,78663,38887,81831,-121607,39776
2006-02-07,120658,33240,289515,411633,68873,34173,87418,-122118,34700
2006-02-14,112496,29540,277240,395481,68158,32873,82956,-118241,35285
2006-02-21,111957,32834,282019,389089,60100,32153,79123,-107070,27947
2006-02-28,107994,36234,269899,371315,57899,28243,71760,-101416,29656
2006-03-07,105980,34106,267024,370440,56474,24932,71874,-103416,31542
2006-03-14,105243,32187,266065,367714,56459,27866,73056,-101649,28593
2006-03-21,106525,33655,264441,372739,64409,28981,72870,-108298,35428
2006-03-28,107516,33112,261107,375687,76639,36463,74404,-114580,40176
2006-04-04,115542,28351,256135,385550,78098,35874,87191,-129415,42224
2006-04-11,117223,28140,251562,374180,74732,41197,89083,-122618,33535
2006-04-18,104045,21675,255378,375535,78599,40812,82370,-120157,37787
2006-04-25,101262,25467,270242,368224,70872,48685,75795,-97982,22187
2006-05-02,101646,25508,268982,375165,72014,41969,76138,-106183,30045
2006-05-09,109170,31885,272478,383156,75765,42372,77285,-110678,33393
2006-05-16,113003,35015,274889,382468,72790,43199,77988,-107579,29591
2006-05-23,99567,38142,282537,365695,68031,46298,61425,-83158,21733
2006-05-30,99708,42126,279360,355031,65238,47149,57582,-75671,18089
2006-06-06,96537,37700,274786,340439,65173,58357,58837,-65653,6816
2006-06-13,93720,37233,272963,335529,57626,51547,56487,-62566,6079
2006-06-20,92870,34518,261112,334802,60039,44701,58352,-73690,15338
2006-06-27,92724,36128,250829,321370,62440,48495,56596,-70541,13945
2006-07-03,90999,38281,247477,321409,61082,39868,52718,-73932,21214
2006-07-11,97847,46897,257392,340989,66967,34320,50950,-83597,32647
2006-07-18,98625,45237,262315,335371,61883,42215,53388,-73056,19668
2006-07-25,95546,40319,261164,331733,61665,46323,55227,-70569,15342
2006-08-01,97723,48628,264976,325020,58928,47979,49095,-60044,10949
2006-08-08,88709,51235,278997,319044,55407,52834,37474,-40047,2573
2006-08-15,88311,57226,286859,320570,58029,55403,31085,-33711,2626
2006-08-22,87551,61322,281967,309557,59171,57810,26229,-27590,1361
2006-08-29,89986,63434,294374,319803,60475,61598,26552,-25429,-1123
2006-09-05,95058,73453,300001,325262,64575,60919,21605,-25261,3656
2006-09-12,97243,64408,308603,338989,63950,66399,32835,-30386,-2449
2006-09-19,96650,56701,298486,339866,59413,57982,39949,-41380,1431
2006-09-26,91428,56474,289562,324474,51074,51116,34954,-34912,-42
2006-10-03,90108,61469,252811,277201,51613,55862,28639,-24390,-4249
2006-10-10,90259,58022,262729,285758,45470,54678,32237,-23029,-9208
2006-10-17,94475,52881,268745,306162,51760,55937,41594,-37417,-4177
2006-10-24,90993,55833,277490,310277,52306,54679,35160,-32787,-2373
2006-10-31,91922,58402,288777,322094,55104,55307,33520,-33317,-203
2006-11-07,91596,63948,298770,332207,60272,54483,27648,-33437,5789
2006-11-14,87770,58243,308911,343666,61754,56526,29527,-34755,5228
2006-11-21,82442,60819,321263,349087,60026,53825,21623,-27824,6201
2006-11-28,85511,58689,328351,366110,63713,52776,26822,-37759,10937
2006-12-05,86166,59893,338149,380257,71360,55525,26273,-42108,15835
2006-12-12,90543,70809,342861,370785,79968,71778,19734,-27924,8190
2006-12-19,92404,64467,350233,380297,68783,66656,27937,-30064,2127
2006-12-26,94206,64825,353111,397140,66732,52084,29381,-44029,14648
2007-01-03,94032,74777,361281,389655,66135,57016,19255,-28374,9119
2007-01-09,89577,88240,373492,375307,68631,68153,1337,-1815,478
2007-01-16,87024,105352,407062,387169,70497,72062,-18328,19893,-1565
2007-01-23,92993,106668,423001,405691,69161,72796,-13675,17310,-3635
2007-01-30,92417,118375,434050,407352,76647,77387,-25958,26698,-740
2007-02-06,93228,130673,450896,415539,81548,79460,-37445,35357,2088
2007-02-13,90488,133457,478204,439874,75562,70923,-42969,38330,4639
2007-02-20,92825,112286,466651,446954,78644,78880,-19461,19697,-236
2007-02-27,100054,112790,437180,431212,77154,70386,-12736,5968,6768
2007-03-06,106147,88657,432535,463856,61354,47523,17490,-31321,13831
2007-03-13,103059,91274,423364,453695,69729,51183,11785,-30331,18546
2007-03-20,106745,114883,418241,420583,67943,57463,-8138,-2342,10480
2007-03-27,108762,132440,408078,397750,78165,64815,-23678,10328,13350
2007-04-03,113502,141889,422111,404878,71891,60737,-28387,17233,11154
2007-04-10,117973,157873,428251,399973,76855,65233,-39900,28278,11622
2007-04-17,123233,151786,436638,417823,76089,66351,-28553,18815,9738
2007-04-24,122875,163614,459325,425139,66471,59918,-40739,34186,6553
2007-05-01,133619,169092,452606,421546,70373,65960,-35473,31060,4413
2007-05-08,141514,177947,456438,424649,65310,60666,-36433,31789,4644
2007-05-15,136675,186135,473132,426794,73095,69973,-49460,46338,3122
2007-05-22,138950,179973,481389,446989,73565,66942,-41023,34400,6623
2007-05-29,135655,168003,484966,467120,78148,63646,-32348,17846,14502
2007-06-05,144134,173329,460856,462105,93867,63423,-29195,-1249,30444
2007-06-12,149113,140044,415441,432500,77247,69257,9069,-17059,7990
2007-06-19,136826,145534,422125,424327,70104,59194,-8708,-2202,10910
2007-06-26,142745,141670,410418,418690,64250,57053,1075,-8272,7197
2007-07-03,144707,154414,400676,398091,60245,53123,-9707,2585,7122
2007-07-10,148132,148186,394592,410796,68782,52524,-54,-16204,16258
2007-07-17,154025,149956,391486,420043,77844,53356,4069,-28557,24488
2007-07-24,160746,137915,425760,477249,79139,50481,22831,-51489,28658
2007-07-31,155102,130804,429469,482156,61081,32692,24298,-52687,28389
2007-08-07,141417,129519,427829,459659,53269,33337,11898,-31830,19932
2007-08-14,130836,146977,428411,427338,61218,46150,-16141,1073,15068
2007-08-21,129410,161530,412385,391245,63887,52907,-32120,21140,10980
2007-08-28,132737,141856,400395,400601,61983,52658,-9119,-206,9325
2007-09-04,132910,141956,404105,404022,65534,56571,-9046,83,8963
2007-09-11,131293,151255,407868,396125,72042,63823,-19962,11743,8219
2007-09-18,126274,152873,408335,383819,72101,70018,-26599,24516,2083
2007-09-25,140893,124212,397581,432859,77852,59255,16681,-35278,18597
2007-10-02,143845,119434,385103,427549,70114,52079,24411,-42446,18035
2007-10-09,144162,110658,385123,429456,65694,54865,33504,-44333,10829
2007-10-16,177201,114255,390916,474334,73905,53433,62946,-83418,20472
2007-10-23,204370,109746,394200,514913,80047,53958,94624,-120713,26089
2007-10-30,208057,102614,406889,527147,94280,79465,105443,-120258,14815
2007-11-06,211401,101038,439017,574867,83603,58116,110363,-135850,25487
2007-11-13,210948,118341,436100,552276,80523,56954,92607,-116176,23569
2007-11-20,217422,137702,426962,522119,83469,68032,79720,-95157,15437
2007-11-27,219295,154700,432276,510389,78718,65200,64595,-78113,13518
2007-12-04,222154,140130,448486,542027,80832,69315,82024,-93541,11517
2007-12-11,241643,120638,434854,582918,93007,65948,121005,-148064,27059
2007-12-18,258778,123398,447413,617861,97464,62396,135380,-170448,35068
2007-12-24,268865,111961,451812,650681,91852,49887,156904,-198869,41965
2007-12-31,298496,108338,458167,697355,102712,53682,190158,-239188,49030
2008-01-08,323222,102479,471493,757236,121268,56268,220743,-285743,65000
2008-01-15,352969,112177,521402,828479,134589,68304,240792,-307077,66285
2008-01-22,299286,111554,554072,794030,138595,86369,187732,-239958,52226
2008-01-29,278874,109583,541554,770015,117522,58352,169291,-228461,59170
2008-02-05,279191,109743,542826,777683,125196,59787,169448,-234857,65409
2008-02-12,253006,90594,543496,769528,105300,41680,162412,-226032,63620
2008-02-19,255432,80743,529350,776633,119426,46832,174689,-247283,72594
2008-02-26,260423,66860,546356,812572,125460,52807,193563,-266216,72653
2008-03-04,256948,63240,524694,788915,116295,45782,193708,-264221,70513
2008-03-11,235940,61670,533022,774076,110953,44169,174270,-241054,66784
2008-03-18,226311,71880,540907,750942,97552,41948,154431,-210035,55604
2008-03-25,227408,59598,533771,742087,76344,35838,167810,-208316,40506
2008-04-01,222372,59629,547449,745988,78783,42987,162743,-198539,35796
2008-04-08,230019,71828,550978,752053,79288,36404,158191,-201075,42884
2008-04-15,225366,64478,536767,747900,97444,47199,160888,-211133,50245
2008-04-22,229248,64648,541117,753568,94376,46525,164600,-212451,47851
