date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,397835,260878,902982,894497,242991,388433,136957,8485,-145442
2006-01-10,392256,284265,927954,884466,237686,389165,107991,43488,-151479
2006-01-17,411951,293955,954307,958381,265016,378938,117996,-4074,-113922
2006-01-24,512492,349225,991591,1006799,242359,390418,163267,-15208,-148059
2006-01-31,564521,405778,1097190,1073646,221366,403653,158743,23544,-182287
2006-02-07,583985,446072,1170392,1125468,215016,397853,137913,44924,-182837
2006-02-14,583546,432712,1114937,1078126,245347,432992,150834,36811,-187645
2006-02-21,587819,441223,1048977,1020520,221667,396720,146596,28457,-175053
2006-02-28,610418,427660,1020295,1047929,272192,427316,182758,-27634,-155124
2006-03-07,685602,537629,1130248,1105650,253132,425703,147973,24598,-172571
2006-03-14,675787,492450,1121007,1111826,239250,431768,183337,9181,-192518
2006-03-21,629702,365979,1096767,1094730,207229,472989,263723,2037,-265760
2006-03-28,608531,434869,1146426,1097135,207147,430100,173662,49291,-222953
2006-04-04,635445,484224,1219554,1156181,214640,429234,151221,63373,-214594
2006-04-11,678685,506005,1284450,1254627,212196,414699,172680,29823,-202503
2006-04-18,705614,529132,1313185,1292773,222248,419142,176482,20412,-196894
2006-04-25,616933,617420,1417712,1240920,242388,418693,-487,176792,-176305
2006-05-02,670231,642045,1355059,1191626,185644,377263,28186,163433,-191619
2006-05-09,693873,666573,1411041,1231666,255716,462391,27300,179375,-206675
2006-05-16,694078,587507,1320333,1232608,266385,460681,106571,87725,-194296
2006-05-23,638046,545438,1232379,1158526,282182,448643,92608,73853,-166461
2006-05-30,556693,496677,1169178,1095873,272905,406226,60016,73305,-133321
2006-06-06,548436,477682,1165145,1100565,257911,393245,70754,64580,-135334
2006-06-13,475381,432788,1133218,1060668,264861,380004,42593,72550,-115143
2006-06-20,569159,506906,1217789,1160299,275449,395192,62253,57490,-119743
2006-06-27,576188,487148,1316370,1281939,266699,390170,89040,34431,-123471
2006-07-03,549727,401503,1297652,1308100,253499,391275,148224,-10448,-137776
2006-07-11,529622,390924,1278230,1295118,262216,384026,138698,-16888,-121810
2006-07-18,546315,427055,1260844,1260103,254008,374009,119260,741,-120001
2006-07-25,493464,340571,1212489,1250278,266717,381821,152893,-37789,-115104
2006-08-01,545646,347995,1209731,1310646,278408,375144,197651,-100915,-96736
2006-08-08,607675,346460,1169727,1355541,308506,383907,261215,-185814,-75401
2006-08-15,623077,310585,1178963,1445694,334239,380000,312492,-266731,-45761
2006-08-22,675003,327444,1161106,1483259,352445,377851,347559,-322153,-25406
2006-08-29,698037,267507,1135995,1542330,375922,400117,430530,-406335,-24195
