date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,13920,3392,8908,19628,1786,1594,10528,-10720,192
2006-01-10,10112,5170,9967,14208,1716,2417,4942,-4241,-701
2006-01-17,9982,5278,11877,15160,2077,3498,4704,-3283,-1421
2006-01-24,10273,6446,13898,15559,1285,3451,3827,-1661,-2166
2006-01-31,10676,6615,13050,15516,1656,3251,4061,-2466,-1595
2006-02-07,11004,5006,11801,17464,2113,2448,5998,-5663,-335
2006-02-14,15244,3095,9792,22075,2247,2113,12149,-12283,134
2006-02-21,19027,4040,9182,24123,2022,2068,14987,-14941,-46
2006-02-28,18146,2793,8055,23155,2076,2329,15353,-15100,-253
2006-03-07,17143,2597,9302,23515,2142,2475,14546,-14213,-333
2006-03-14,18310,2801,6012,21918,2440,2043,15509,-15906,397
2006-03-21,11114,4491,13169,18465,1401,2728,6623,-5296,-1327
2006-03-28,13693,3363,9887,19712,1576,2081,10330,-9825,-505
2006-04-04,11227,4483,12902,19073,1524,2097,6744,-6171,-573
2006-04-11,11162,4107,12827,18505,1476,2853,7055,-5678,-1377
2006-04-18,11223,4994,14048,18336,1378,3319,6229,-4288,-1941
2006-04-25,10782,8504,18038,17477,1104,3943,2278,561,-2839
2006-05-02,8667,14090,25797,17594,1898,4678,-5423,8203,-2780
2006-05-09,10076,16794,27692,17756,1065,4283,-6718,9936,-3218
2006-05-16,11455,15590,23557,16309,1123,4236,-4135,7248,-3113
2006-05-23,10257,16835,24459,15270,1389,4000,-6578,9189,-2611
2006-05-30,10388,18663,26005,15090,1276,3916,-8275,10915,-2640
2006-06-06,10586,17847,24805,14565,1102,4081,-7261,10240,-2979
2006-06-13,8426,17233,27723,17406,1656,3166,-8807,10317,-1510
2006-06-20,7476,15555,12605,3151,1320,2695,-8079,9454,-1375
2006-06-27,10176,13334,7105,2861,1465,2551,-3158,4244,-1086
2006-07-03,7089,11135,8711,2884,934,2715,-4046,5827,-1781
