date,spec_long,spec_short,comm_long,comm_short,nonrept_long,nonrept_short,spec_net,comm_net,small_spec_net
2006-01-03,58145,76352,143084,123630,26726,40209,-18207,19454,-13483
2006-01-10,56601,76501,147549,125022,26705,41629,-19900,22527,-14924
2006-01-17,53151,79408,155343,125169,27614,44464,-26257,30174,-16850
2006-01-24,53260,85024,154361,120484,27107,41084,-31764,33877,-13977
2006-01-31,58852,86544,151126,123030,33013,48837,-27692,28096,-15824
2006-02-07,64087,87070,151858,130632,33874,49606,-22983,21226,-15732
2006-02-14,65404,84859,150558,130872,36996,55262,-19455,19686,-18266
2006-02-21,62521,92689,157176,129967,34628,51430,-30168,27209,-16802
2006-02-28,57398,84175,151923,125805,34362,53145,-26777,26118,-18783
2006-03-07,58081,83688,151702,126939,32488,52585,-25607,24763,-20097
2006-03-14,53300,81990,145781,119206,33753,52576,-28690,26575,-18823
2006-03-21,41243,80190,143299,103354,31595,54725,-38947,39945,-23130
2006-03-28,38731,82005,134364,91672,32267,57827,-43274,42692,-25560
2006-04-04,30281,74410,112491,63970,37172,60863,-44129,48521,-23691
2006-04-11,26095,43433,58802,41029,33682,56189,-17338,17773,-22507
2006-04-18,12930,16605,14941,12267,30500,52617,-3675,2674,-22117
2006-04-25,5448,5255,5808,6601,35414,61299,193,-793,-25885
2006-05-02,63517,80444,218964,183167,23365,50414,-16927,35797,-27049
2006-05-09,72974,81385,223411,200012,32003,56584,-8411,23399,-24581
2006-05-16,93785,89109,231375,219463,41367,69022,4676,11912,-27655
2006-05-23,109851,105524,241957,227193,39807,72671,4327,14764,-32864
2006-05-30,116877,109241,240362,229478,38459,71512,7636,10884,-33053
2006-06-06,101281,104484,237400,218739,40370,70138,-3203,18661,-29768
2006-06-13,82032,94292,229637,202383,38497,68328,-12260,27254,-29831
2006-06-20,66750,87319,228953,194756,34242,62512,-20569,34197,-28270
2006-06-27,66231,83159,219854,188682,31974,60868,-16928,31172,-28894
2006-07-03,66998,91847,221098,183519,32548,60111,-24849,37579,-27563
2006-07-11,74138,88348,220866,195632,33287,59104,-14210,25234,-25817
2006-07-18,76288,86856,221260,201218,34266,59710,-10568,20042,-25444
2006-07-25,78069,84825,218572,201212,34743,61804,-6756,17360,-27061
2006-08-01,73208,90449,217193,188425,37142,66444,-17241,28768,-29302
2006-08-08,73887,91782,211835,182425,36940,65652,-17895,29410,-28712
2006-08-15,69677,95192,210495,170044,34818,66053,-25515,40451,-31235
2006-08-22,64802,104427,213602,158982,32302,63897,-39625,54620,-31595
2006-08-29,61897,107062,219038,157306,30493,64430,-45165,61732,-33937
2006-09-05,61011,103112,214659,161148,29429,59268,-42101,53511,-29839
2006-09-12,63387,103870,206488,153849,30001,60210,-40483,52639,-30209
2006-09-19,61035,106495,207548,151133,32336,61431,-45460,56415,-29095
2006-09-26,64745,104163,201843,153767,32619,61276,-39418,48076,-28657
2006-10-03,74026,83589,196295,178714,38519,69001,-9563,17581,-30482
2006-10-10,67691,69345,198016,188181,41853,69759,-1654,9835,-27906
2006-10-17,66899,73160,201828,189852,41891,65587,-6261,11976,-23696
2006-10-24,74462,75847,197083,188623,37412,62217,-1385,8460,-24805
2006-10-31,67798,68702,185687,178901,37300,61189,-904,6786,-23889
2006-11-07,67167,67122,176482,171838,39509,62937,45,4644,-23428
2006-11-14,64423,63865,167603,162298,37927,62267,558,5305,-24340
2006-11-21,56873,61799,167962,159475,36951,57961,-4926,8487,-21010
2006-11-28,53292,65731,166220,150763,38647,58579,-12439,15457,-19932
2006-12-05,60595,69255,166920,153756,36664,58060,-8660,13164,-21396
2006-12-12,50317,68313,168092,144841,36496,58687,-17996,23251,-22191
2006-12-19,50292,70066,173849,148148,32241,55728,-19774,25701,-23487
2006-12-26,55276,69059,175906,154980,33662,59560,-13783,20926,-25898
2007-01-03,56536,77278,178036,149338,33649,60418,-20742,28698,-26769
2007-01-09,53574,78466,178784,145965,34041,59801,-24892,32819,-25760
2007-01-16,51594,73347,165224,135698,32796,60221,-21753,29526,-27425
2007-01-23,54480,72969,163657,136787,33583,62189,-18489,26870,-28606
2007-01-30,48981,73104,162734,129096,33756,63090,-24123,33638,-29334
2007-02-06,47716,75136,163757,128158,34417,62128,-27420,35599,-27711
2007-02-13,46665,71851,157034,125815,34855,60055,-25186,31219,-25200
2007-02-20,44161,75670,156578,120078,34654,59312,-31509,36500,-24658
2007-02-27,50210,74826,150678,122415,32939,57654,-24616,28263,-24715
2007-03-06,39775,74938,147951,109693,28786,52253,-35163,38258,-23467
2007-03-13,41061,73985,142738,104627,28766,54216,-32924,38111,-25450
2007-03-20,37210,81851,136411,84346,29281,56447,-44641,52065,-27166
2007-03-27,39120,85205,131896,79681,30306,57657,-46085,52215,-27351
2007-04-03,28504,74327,108076,55722,30028,56700,-45823,52354,-26672
2007-04-10,26728,50856,74373,45036,32970,57840,-24128,29337,-24870
2007-04-17,13619,16192,21263,18408,32874,57354,-2573,2855,-24480
2007-04-24,5697,1549,5891,8758,30298,56781,4148,-2867,-26483
2007-05-01,74791,89256,192523,161578,29169,50575,-14465,30945,-21406
2007-05-08,70149,84551,193883,161448,28494,51553,-14402,32435,-23059
2007-05-15,71146,86518,195172,162463,29565,51738,-15372,32709,-22173
2007-05-22,65757,88648,195767,152402,24888,50368,-22891,43365,-25480
2007-05-29,69095,87639,194803,156393,25706,50913,-18544,38410,-25207
2007-06-05,80347,86215,201003,175773,32885,57491,-5868,25230,-24606
2007-06-12,78970,79146,192262,172494,33401,58796,-176,19768,-25395
2007-06-19,91374,83224,198397,187711,38870,62984,8150,10686,-24114
2007-06-26,91373,83398,200576,189090,36424,61380,7975,11486,-24956
2007-07-03,80090,87356,194853,169293,34377,57963,-7266,25560,-23586
2007-07-10,80415,85531,193847,171112,34261,57788,-5116,22735,-23527
2007-07-17,82125,86496,193722,169377,38558,64912,-4371,24345,-26354
2007-07-24,84575,89797,196907,170386,35661,63640,-5222,26521,-27979
2007-07-31,84991,91205,196301,170654,39874,66437,-6214,25647,-26563
2007-08-07,94056,89743,189156,168692,36866,68714,4313,20464,-31848
2007-08-14,90495,86972,185784,163890,35260,68458,3523,21894,-33198
2007-08-21,81656,86826,177397,149772,40546,70356,-5170,27625,-29810
2007-08-28,76412,81902,174394,145011,38268,70401,-5490,29383,-32133
2007-09-04,74417,80832,169295,140292,37111,69323,-6415,29003,-32212
2007-09-11,68300,86665,179707,138586,35312,68265,-18365,41121,-32953
2007-09-18,70512,88555,174759,136507,36681,67719,-18043,38252,-31038
2007-09-25,72682,85940,173773,136220,38062,73885,-13258,37553,-35823
2007-10-02,68578,98293,175854,126795,40070,70681,-29715,49059,-30611
2007-10-09,67601,99600,172145,120515,40282,71289,-31999,51630,-31007
2007-10-16,63237,97588,169870,115201,38629,71677,-34351,54669,-33048
2007-10-23,65700,98349,169976,112112,40092,78339,-32649,57864,-38247
2007-10-30,62961,102566,166319,107187,42425,74110,-39605,59132,-31685
2007-11-06,64790,101708,160573,103486,40524,74532,-36918,57087,-34008
2007-11-13,63448,96830,157495,103931,41818,75276,-33382,53564,-33458
2007-11-20,49244,85479,152600,96731,46574,79031,-36235,55869,-32457
2007-11-27,51230,85155,151562,103235,41711,70084,-33925,48327,-28373
2007-12-04,57725,90201,147314,101232,39408,66093,-32476,46082,-26685
2007-12-11,60389,96414,146763,98498,42448,66942,-36025,48265,-24494
2007-12-18,59947,97675,153155,104875,40175,63718,-37728,48280,-23543
2007-12-24,57321,97659,156339,106177,40199,66199,-40338,50162,-26000
2007-12-31,54139,92730,156615,109827,40001,61395,-38591,46788,-21394
2008-01-08,56574,92743,155224,109645,45417,66197,-36169,45579,-20780
2008-01-15,62431,88217,137397,101106,45603,68700,-25786,36291,-23097
2008-01-22,53435,84074,138604,99951,49370,69547,-30639,38653,-20177
2008-01-29,50280,88584,137938,91917,45618,67470,-38304,46021,-21852
2008-02-05,53626,88081,136614,88725,39366,68468,-34455,47889,-29102
2008-02-12,51325,92335,129087,82847,41033,62092,-41010,46240,-21059
2008-02-19,48059,92782,129484,79001,37105,58006,-44723,50483,-20901
2008-02-26,40365,76140,122606,78426,36042,58424,-35775,44180,-22382
2008-03-04,34485,76813,115531,71044,35852,52115,-42328,44487,-16263
