date,equity_pc_ratio,total_pc_ratio,index_pc_ratio
2003-10-17,0.46,,
2003-10-21,0.59,,
2003-10-22,0.77,,
2003-10-23,0.72,,
2003-10-24,0.79,,
2003-10-27,0.51,,
2003-10-28,0.66,,
2003-10-29,0.53,,
2003-10-30,0.7,,
2003-10-31,1.03,,
2003-11-03,0.47,,
2003-11-04,0.49,,
2003-11-05,0.55,,
2003-11-06,0.61,,
2003-11-07,0.61,,
2003-11-10,0.78,,
2003-11-11,0.73,,
2003-11-12,0.68,,
2003-11-13,0.63,,
2003-11-14,0.55,,
2003-11-17,0.65,,
2003-11-18,0.63,,
2003-11-19,0.77,,
2003-11-20,0.65,,
2003-11-21,0.66,,
2003-11-24,0.51,,
2003-11-25,0.48,,
2003-11-26,0.54,,
2003-11-28,0.55,,
2003-12-01,0.54,,
2003-12-02,0.52,,
2003-12-03,0.74,,
2003-12-04,0.57,,
2003-12-05,0.68,,
2003-12-08,0.71,,
2003-12-09,0.56,,
2003-12-10,0.69,,
2003-12-11,0.5,,
2003-12-12,0.5,,
2003-12-15,0.54,,
2003-12-16,0.5,,
2003-12-17,0.49,,
2003-12-18,0.51,,
2003-12-19,0.61,,
2003-12-22,0.61,,
2003-12-23,0.58,,
2003-12-24,0.5,,
2003-12-26,0.38,,
2003-12-29,0.38,,
2003-12-30,0.37,,
2003-12-31,0.95,,
2004-01-02,0.53,,
2004-01-05,0.53,,
2004-01-06,0.4,,
2004-01-07,0.51,,
2004-01-08,0.52,,
2004-01-09,0.45,,
2004-01-12,0.61,,
2004-01-13,0.48,,
2004-01-14,0.52,,
2004-01-15,0.46,,
2004-01-16,0.35,,
2004-01-20,0.52,,
2004-01-21,0.47,,
2004-01-22,0.74,,
2004-01-23,0.6,,
2004-01-26,0.47,,
2004-01-27,0.64,,
2004-01-28,0.66,,
2004-01-29,0.64,,
2004-01-30,0.71,,
2004-02-02,0.61,,
2004-02-03,0.58,,
2004-02-04,0.64,,
2004-02-05,0.66,,
2004-02-06,0.46,,
2004-02-09,0.59,,
2004-02-10,0.62,,
2004-02-11,0.56,,
2004-02-12,0.43,,
2004-02-13,0.59,,
2004-02-17,0.81,,
2004-02-18,0.64,,
2004-02-19,0.59,,
2004-02-20,0.66,,
2004-02-23,0.47,,
2004-02-24,0.65,,
2004-02-25,0.62,,
2004-02-26,0.52,,
2004-02-27,0.59,,
2004-03-01,0.55,,
2004-03-02,0.51,,
2004-03-03,0.6,,
2004-03-04,0.6,,
2004-03-05,0.61,,
2004-03-08,0.66,,
2004-03-09,0.86,,
2004-03-10,0.72,,
2004-03-11,0.96,,
2004-03-12,0.82,,
2004-03-15,0.85,,
2004-03-16,0.93,,
2004-03-17,0.67,,
2004-03-18,0.65,,
2004-03-19,0.89,,
2004-03-22,0.74,,
2004-03-23,0.57,,
2004-03-24,0.73,,
2004-03-25,0.6,,
2004-03-26,0.62,,
2004-03-29,0.47,,
2004-03-30,0.46,,
2004-03-31,1.1,,
2004-04-01,0.47,,
2004-04-02,0.53,,
2004-04-05,0.49,,
2004-04-06,0.69,,
2004-04-07,0.54,,
2004-04-08,0.59,,
2004-04-12,0.57,,
2004-04-13,0.77,,
2004-04-14,0.6,,
2004-04-15,0.67,,
2004-04-16,0.61,,
2004-04-19,0.56,,
2004-04-20,0.69,,
2004-04-21,0.54,,
2004-04-22,0.54,,
2004-04-23,0.63,,
2004-04-26,0.54,,
2004-04-27,0.57,,
2004-04-28,0.65,,
2004-04-29,0.77,,
2004-04-30,0.95,,
2004-05-03,0.64,,
2004-05-04,0.5,,
2004-05-05,0.66,,
2004-05-06,0.97,,
2004-05-07,0.79,,
2004-05-10,0.87,,
2004-05-11,0.92,,
2004-05-12,0.94,,
2004-05-13,0.77,,
2004-05-14,0.82,,
2004-05-17,0.96,,
2004-05-18,0.75,,
2004-05-19,0.56,,
2004-05-20,1.02,,
2004-05-21,0.81,,
2004-05-24,0.62,,
2004-05-25,0.69,,
2004-05-26,0.73,,
2004-05-27,0.63,,
2004-05-28,0.7,,
2004-06-01,0.73,,
2004-06-02,0.64,,
2004-06-03,1.01,,
2004-06-04,0.83,,
2004-06-07,0.63,,
2004-06-08,0.66,,
2004-06-09,0.73,,
2004-06-10,1.01,,
2004-06-14,1.19,,
2004-06-15,0.63,,
2004-06-16,0.53,,
2004-06-17,0.63,,
2004-06-18,0.6,,
2004-06-21,0.63,,
2004-06-22,0.69,,
2004-06-23,0.57,,
2004-06-24,0.49,,
2004-06-25,0.57,,
2004-06-28,0.51,,
2004-06-29,0.77,,
2004-06-30,0.73,,
2004-07-01,0.74,,
2004-07-02,0.71,,
2004-07-06,1.0,,
2004-07-07,0.91,,
2004-07-08,0.82,,
2004-07-09,0.67,,
2004-07-12,0.91,,
2004-07-13,0.63,,
2004-07-14,0.76,,
2004-07-15,0.62,,
2004-07-16,0.93,,
2004-07-19,0.58,,
2004-07-20,0.57,,
2004-07-21,0.6,,
2004-07-22,0.71,,
2004-07-23,0.63,,
2004-07-26,0.71,,
2004-07-27,0.55,,
2004-07-28,0.55,,
2004-07-29,0.56,,
2004-07-30,0.53,,
2004-08-02,0.66,,
2004-08-03,0.54,,
2004-08-04,0.72,,
2004-08-05,0.7,,
2004-08-06,1.28,,
2004-08-09,0.87,,
2004-08-10,0.89,,
2004-08-11,0.69,,
2004-08-12,0.98,,
2004-08-13,0.75,,
2004-08-16,0.67,,
2004-08-17,0.69,,
2004-08-18,0.82,,
2004-08-19,0.73,,
2004-08-20,0.72,,
2004-08-23,0.72,,
2004-08-24,0.59,,
2004-08-25,0.6,,
2004-08-26,0.7,,
2004-08-27,0.73,,
2004-08-30,0.69,,
2004-08-31,0.59,,
2004-09-01,0.77,,
2004-09-02,0.72,,
2004-09-03,0.79,,
2004-09-07,0.7,,
2004-09-08,0.81,,
2004-09-09,0.72,,
2004-09-10,0.61,,
2004-09-13,0.56,,
2004-09-14,0.67,,
2004-09-15,0.64,,
