date,am_long,am_short,am_net,am_net_change
2013-01-08,358858,133694,225164,-655093.0
2013-01-08,77692,28579,49113,-176051.0
2013-01-15,355387,131149,224238,175125.0
2013-01-15,73028,28246,44782,-179456.0
2013-01-15,1440522,543243,897279,852497.0
2013-01-22,362105,128735,233370,-663909.0
2013-01-22,70708,28230,42478,-190892.0
2013-01-22,1485463,531003,954460,911982.0
2013-01-29,1545624,527961,1017663,63203.0
2013-01-29,374121,128694,245427,-772236.0
2013-01-29,70079,28184,41895,-203532.0
2013-02-05,359570,133753,225817,183922.0
2013-02-05,66304,28147,38157,-187660.0
2013-02-05,1494436,556136,938300,900143.0
2013-02-12,1463970,553938,910032,-28268.0
2013-02-12,352318,133101,219217,-690815.0
2013-02-12,65151,27940,37211,-182006.0
2013-02-19,1450599,551734,898865,861654.0
2013-02-19,62697,30962,31735,-867130.0
2013-02-19,346110,134602,211508,179773.0
2013-02-26,340947,139286,201661,-9847.0
2013-02-26,1436779,581395,855384,653723.0
2013-02-26,60333,29749,30584,-824800.0
2013-03-05,1289261,541873,747388,716804.0
2013-03-05,59245,29451,29794,-717594.0
2013-03-05,309481,130210,179271,149477.0
2013-03-12,65265,29229,36036,-143235.0
2013-03-12,320023,128493,191530,155494.0
2013-03-12,1307495,530023,777472,585942.0
2013-03-19,63474,28596,34878,-742594.0
2013-03-19,335604,130731,204873,169995.0
2013-03-19,1390430,540455,849975,645102.0
2013-03-26,343814,129925,213889,-636086.0
2013-03-26,61850,29672,32178,-181711.0
2013-03-26,1437341,528784,908557,876379.0
2013-04-02,347261,129715,217546,-691011.0
2013-04-02,1449993,526261,923732,706186.0
2013-04-02,62627,29827,32800,-890932.0
2013-04-09,63583,29461,34122,1322.0
2013-04-09,349107,138679,210428,176306.0
2013-04-09,1457231,575702,881529,671101.0
2013-04-16,348994,129986,219008,-662521.0
2013-04-16,1467930,533666,934264,715256.0
2013-04-16,61635,29480,32155,-902109.0
2013-04-23,338406,131563,206843,174688.0
2013-04-23,60737,28924,31813,-175030.0
2013-04-23,1418364,543216,875148,843335.0
2013-04-30,338920,129645,209275,-665873.0
2013-04-30,1424237,524315,899922,690647.0
2013-04-30,58598,29307,29291,-870631.0
2013-05-07,339607,128628,210979,181688.0
2013-05-07,57863,31301,26562,-184417.0
2013-05-07,1438419,516334,922085,895523.0
2013-05-14,345770,124194,221576,-700509.0
2013-05-14,59975,30542,29433,-192143.0
2013-05-14,1454321,493607,960714,931281.0
2013-05-21,60721,33992,26729,-933985.0
2013-05-21,1534526,484029,1050497,1023768.0
2013-05-21,363392,126564,236828,-813669.0
2013-05-28,1560238,487247,1072991,836163.0
2013-05-28,61477,36126,25351,-1047640.0
2013-05-28,368767,128818,239949,214598.0
2013-06-04,1523901,518023,1005878,765929.0
2013-06-04,61603,36513,25090,-980788.0
2013-06-04,361309,135043,226266,201176.0
2013-06-11,57377,31883,25494,-200772.0
2013-06-11,1504277,564691,939586,914092.0
2013-06-11,351860,138449,213411,-726175.0
2013-06-18,1512577,537360,975217,761806.0
2013-06-18,60812,31613,29199,-946018.0
2013-06-18,358846,134604,224242,195043.0
2013-06-25,332368,153015,179353,-44889.0
2013-06-25,1320813,652266,668547,489194.0
2013-06-25,71094,25450,45644,-622903.0
2013-07-02,323720,143924,179796,134152.0
2013-07-02,1268769,597541,671228,491432.0
2013-07-02,72957,27406,45551,-625677.0
2013-07-09,1310487,564527,745960,700409.0
2013-07-09,331386,138605,192781,-553179.0
2013-07-09,72688,29099,43589,-149192.0
2013-07-16,72349,29345,43004,-585.0
2013-07-16,335096,134768,200328,157324.0
2013-07-16,1331030,544407,786623,586295.0
2013-07-23,1368069,517924,850145,63522.0
2013-07-23,343892,129252,214640,-635505.0
2013-07-23,73671,29060,44611,-170029.0
2013-07-30,1377587,514013,863574,818963.0
2013-07-30,345706,129018,216688,-646886.0
2013-07-30,73740,29767,43973,-172715.0
2013-08-06,1368867,511183,857684,813711.0
2013-08-06,73654,30284,43370,-814314.0
2013-08-06,343609,128702,214907,171537.0
2013-08-13,1348028,523267,824761,609854.0
2013-08-13,336626,129284,207342,-617419.0
2013-08-13,70903,28513,42390,-164952.0
2013-08-20,70645,28436,42209,-181.0
